name,genre,director,plot,certificate,country,language,runtime,rating,polarity
Bromwell High,Animation,NA,school,NA,ca,en,30,9,pos
Bromwell High,Animation,NA,school,NA,ca,en,30,7,pos
Bromwell High,Animation,NA,school,NA,ca,en,30,9,pos
Futz,Comedy,Tom O'Horgan,pig,NA,us,en,92,10,pos
Futz,Comedy,Tom O'Horgan,pig,NA,us,en,92,8,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,10,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,10,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,9,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,9,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,9,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,10,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,9,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,10,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,9,pos
Stanley & Iris,Drama,Martin Ritt,love,NA,us,en,104,7,pos
Puss in Boots,Fantasy,Eugene Marner,king,NA,us,en,96,8,pos
Puss in Boots,Fantasy,Eugene Marner,king,NA,us,en,96,7,pos
Puss in Boots,Fantasy,Eugene Marner,king,NA,us,en,96,8,pos
Puss in Boots,Fantasy,Eugene Marner,king,NA,us,en,96,7,pos
Puss in Boots,Fantasy,Eugene Marner,king,NA,us,en,96,9,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,10,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,10,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,10,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,7,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,8,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,10,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,7,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,8,pos
The Lady in Red Kills Seven Times,Horror,Emilio Miraglia,killer,NA,it,it,100,8,pos
Who Done It?,Comedy,Edward Bernds,private detective,NA,us,en,16,10,pos
Who Done It?,Comedy,Edward Bernds,private detective,NA,us,en,16,9,pos
Who Done It?,Comedy,Edward Bernds,private detective,NA,us,en,16,10,pos
Who Done It?,Comedy,Edward Bernds,private detective,NA,us,en,16,9,pos
Who Done It?,Comedy,Edward Bernds,private detective,NA,us,en,16,8,pos
Who Done It?,Comedy,Edward Bernds,private detective,NA,us,en,16,9,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,8,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,9,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,8,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,7,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,9,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,9,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,7,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,8,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,10,pos
Home Room,Crime,Paul F. Ryan,school,NA,us,en,133,7,pos
