"C_EIN"|"C_Org_Name"|"bmf_id"|"ein"|"org_name"|"address_id"|"grp_exmpt"|"subsection_code"|"affil_code"|"deductn_code"|"ruling_yr"|"ruling_mo"|"foundn_code"|"activity_code1"|"activity_code2"|"activity_code3"|"org_code"|"district"|"advrule_expyr"|"advrule_expmo"|"class_code1"|"class_code2"|"class_code3"|"class_code4"|"tax_year"|"tax_month"|"income_code"|"income"|"acct_period"|"ntee_code"|"assets"|"ntee_qual"|"asset_code"|"second_name"|"filing_req_code"|"npo_active"|"submit_date"|"dummy_p"|"last_modified"|"care_of"|"idle_date"|"exempt_status_code"|"f990_revenue"
"00-0889899"|"Academic & Behavioral Clinic, Inc"|"100674902"|"00-0889899"|"Academic and Behavioral Clinic Inc"|"108170642"|"0000 "|"03"|"3"|"1"|"2005"|"06"|"16"|"000"|"000"|"000"|"1"|"04"|"2009  "|"06"|"2"|""|""|""|"2008"|"06"|"0"|"0.0000"|"06 "|"F60"|"0.0000"|" "|"0"|"                                   "|"010"|"?"|"7/27/2005 4:40:00 PM"|"0"|"3/5/2010 11:00:00 AM"|""|"6/4/2010 10:39:00 AM"|"01"|"836909.0000"
"00-0889899"|"Academic & Behavioral Clinic, Inc"|"100674902"|"00-0889899"|"Academic and Behavioral Clinic Inc"|"108170642"|"0000 "|"03"|"3"|"1"|"2005"|"06"|"16"|"000"|"000"|"000"|"1"|"04"|"2009  "|"06"|"2"|""|""|""|"2008"|"06"|"0"|"0.0000"|"06 "|"F60"|"0.0000"|" "|"0"|"                                   "|"010"|"?"|"7/27/2005 4:40:00 PM"|"0"|"3/5/2010 11:00:00 AM"|""|"6/4/2010 10:39:00 AM"|"01"|"836909.0000"
"00-0889899"|"Academic & Behavioral Clinic, Inc"|"100674902"|"00-0889899"|"Academic and Behavioral Clinic Inc"|"108170642"|"0000 "|"03"|"3"|"1"|"2005"|"06"|"16"|"000"|"000"|"000"|"1"|"04"|"2009  "|"06"|"2"|""|""|""|"2008"|"06"|"0"|"0.0000"|"06 "|"F60"|"0.0000"|" "|"0"|"                                   "|"010"|"?"|"7/27/2005 4:40:00 PM"|"0"|"3/5/2010 11:00:00 AM"|""|"6/4/2010 10:39:00 AM"|"01"|"836909.0000"
"01-0018927"|"AMERICAN LEGION POST 5 BOURQUE-LANIGAN"|"821737"|"01-0018927"|"AMERICAN LEGION POST 0005 BOURQUE LANIGAN"|"101673444"|"0925 "|"19"|"9"|"1"|"1946"|"03"|"00"|"907"|"908"|""|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"5"|"716053.0000"|"12 "|"W30"|"644359.0000"|" "|"5"|""|"010"|"?"|"9/20/2001 5:17:00 PM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"147236.0000"
"01-0018927"|"AMERICAN LEGION POST 5 BOURQUE-LANIGAN"|"821737"|"01-0018927"|"AMERICAN LEGION POST 0005 BOURQUE LANIGAN"|"101673444"|"0925 "|"19"|"9"|"1"|"1946"|"03"|"00"|"907"|"908"|""|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"5"|"716053.0000"|"12 "|"W30"|"644359.0000"|" "|"5"|""|"010"|"?"|"9/20/2001 5:17:00 PM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"147236.0000"
"01-0018927"|"AMERICAN LEGION POST 5 BOURQUE-LANIGAN"|"821737"|"01-0018927"|"AMERICAN LEGION POST 0005 BOURQUE LANIGAN"|"101673444"|"0925 "|"19"|"9"|"1"|"1946"|"03"|"00"|"907"|"908"|""|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"5"|"716053.0000"|"12 "|"W30"|"644359.0000"|" "|"5"|""|"010"|"?"|"9/20/2001 5:17:00 PM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"147236.0000"
"01-0019705"|"ANCIENT FREE AND ACCEPTED MASONS OF MAINE GRAND LODGE"|"824729"|"01-0019705"|"ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE"|"101673446"|"0275 "|"10"|"6"|"1"|"1941"|"01"|"00"|"260"|"279"|""|"5"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"4"|"374388.0000"|"03 "|""|"1704310.0000"|" "|"6"|""|"010"|"?"|"9/20/2001 5:25:00 PM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"354447.0000"
"01-0019705"|"Ancient Free and Accepted Masons of Maine Grand Lodge"|"824729"|"01-0019705"|"ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE"|"101673446"|"0275 "|"10"|"6"|"1"|"1941"|"01"|"00"|"260"|"279"|""|"5"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"4"|"374388.0000"|"03 "|""|"1704310.0000"|" "|"6"|""|"010"|"?"|"9/20/2001 5:25:00 PM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"354447.0000"
"01-0019705"|"Ancient Free and Accepted Masons of Maine Grand Lodge"|"824729"|"01-0019705"|"ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE"|"101673446"|"0275 "|"10"|"6"|"1"|"1941"|"01"|"00"|"260"|"279"|""|"5"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"4"|"374388.0000"|"03 "|""|"1704310.0000"|" "|"6"|""|"010"|"?"|"9/20/2001 5:25:00 PM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"354447.0000"
"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"100297321"|"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"105883266"|"0000 "|"06"|"3"|"2"|"1921"|"10"|"00"|"205"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"06"|"6"|"1634260.0000"|"06 "|"S41"|"658550.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:00:00 AM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1589312.0000"
