"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOT_REV_CURRENT"|"DISCONTINUED_OPS_CBX"|"TOT_VOLUNTEERS"|"TOT_UBR"|"NET_UBR_990T"|"CONTRIB_ALL_PRIOR"|"SERVICE_REVENUE_PRIOR"|"INCOME_INVESTMENT_PRIOR"|"REVENUE_OTHER_PRIOR"|"TOT_REV_PRIOR"|"GRANTS_PRIOR"|"BENEFITS_TOTAL_PRIOR"|"COMP_BENEFITS_PRIOR"|"FUNDRAISING_TOTAL_PRIOR"|"OTHER_EXPENSES_PRIOR"|"EXPENSES_TOTAL_PRIOR"|"REV_EXP_PRIOR"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|"40284.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"1313373.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|"2395173.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"366159.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0532835"|"SAFE PASSAGE"|"639788"|"1873870.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|"102157.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0052260"|"Cumberland Club"|"638152"|"494344.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|"5587349.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0262323"|"Northern Maine General"|"636949"|"10851056.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"4676795.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
