"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FIRM_NAME"|"FIRM_STREET"|"FIRM_CITY"|"FIRM_STATE"|"FIRM_COUNTRY"|"FIRM_ZIP"|"FIRM_EIN"|"FIRM_PHONE"|"DISCUSS_WITH_PREPARER_CBX"|"PREP_SELF_EMP_CBX"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|"HOWE RILEY & HOWE PLLC"|"660 CHESTNUT STREET"|"MANCHESTER"|"NH"|"USA"|"03104-3500"|""|"603-627-3838"|"Y"|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|""|""|""|""|""|""|""|""|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"Macdonald Page & Co LLC"|"30 Long Creek Dr"|"South Portland"|"ME"|"USA"|"04106"|""|"207-774-5701"|""|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|"Joseph W. Bowley & Co. L.L.P."|"27 W. Church Street"|""|""|"USA"|""|""|""|""|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|"ALBIN RANDALL & BENNETT"|"PO BOX 445, 130 MIDDLE STREET"|"PORTLAND"|"ME"|"USA"|"04112-0445"|""|"207-772-1981"|"Y"|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"Hession & Pare, P.C."|"62 Stark Street"|"Manchester"|"NH"|"USA"|"03101-1970"|"02-0428003"|"603-669-5477"|"Y"|""
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"CHARLES A. CALLIGAN, CPA, P.A."|"P.O. BOX 599"|"MANCHESTER"|"ME"|"USA"|"04351"|"01-0517653"|""|"Y"|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|"OTIS ATWELL"|"324 GANNETT DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|""|"207-780-1100"|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"Gerard R. Gravel, EA, MST"|"P. O. Box 1326"|"Rochester"|"NH"|"USA"|"03866-1326"|""|"603-332-1326"|"Y"|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"MARTIN J GOLDBERG P C"|"72 GUY LOMBARDO AVE STE 3"|"FREEPORT"|"NY"|"USA"|"11520"|""|"516-868-8854"|"Y"|""
"01-0525615"|"Maine Winter Sports Center"|"562836"|"Chester M. Kearney, PA"|"P.O. BOX 1550"|"Presque Isle"|"ME"|"USA"|"04769"|"01-0411241"|"207-764-3171"|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|"G.W. ADAMS CPA MBA"|"216 HIGH ST 121"|"ELLSWORTH"|"ME"|"USA"|"04605-1742"|""|"207-951-9957"|"Y"|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|"Chester M. Kearney, PA"|"P.O. Box 1550"|"Presque Isle"|"ME"|"USA"|"04769"|"01-0411241"|"207-764-3171"|""|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|"ALBIN RANDALL & BENNETT"|"PO BOX 445,130 MIDDLE STREET"|"PORTLAND"|"ME"|"USA"|"04112-0445"|""|"207-772-1981"|"Y"|""
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|"Henry J. Hurford, Jr., CPA"|"P.O. Box 1"|"Boothbay Harbor"|"ME"|"USA"|"04538-0001"|""|"207-633-4040"|"Y"|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|"BHA, LLC"|"344 Ellsworth Rd, P.0. Box 697"|"Blue Hill"|"ME"|"USA"|"04614"|"20-1530518"|"207-374-9985"|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|"Simensky, Engstrom & Associates, CPA's"|"P.O. Box 760"|"Saco"|"ME"|"USA"|"04072"|"01-0353028"|"207-284-5943"|""|""
"01-0215910"|"Bangor Humane Society"|"620171"|"LEIGHTON and LONGTIN CPA LLP"|"338 N MAIN STREET"|"BREWER"|"ME"|"USA"|"04412"|""|"207-942-2024"|"Y"|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|"Chester M. Kearney, PA"|"P.O. Box 1550"|"Presque Isle"|"ME"|"USA"|"04769"|"01-0411241"|"207-764-3171"|""|""
"01-0509802"|"CAFE, INC."|"620175"|"ROBUSTELLI SOUCY HUSSEY, P. A"|"1071 LISBON ST"|"LEWISTON"|"ME"|"USA"|"04240-5768"|""|"207-783-2839"|"Y"|""
"01-0538232"|"Big Rock"|"620176"|"AG Tax and Accounting Services"|"PO Box 127"|"Caribou"|"ME"|"USA"|"04736"|""|"207-493-1361"|"Y"|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"NICHOLSON & ASSOCIATES, PA"|"76 SILVER STREET"|"WATERVILLE"|"ME"|"USA"|"04901"|""|"207-872-7077"|"Y"|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"Berry Dunn McNeil & Parker"|"36 Pleasant St"|"Bangor"|"ME"|"USA"|"04401"|""|"207-942-1600"|"Y"|""
"01-0733041"|"SARASOTA CREW, INC"|"620180"|"CARL G SMITH, CPA"|"2332 AUBREY LANE"|"SARASOTA"|"FL"|"USA"|"34231"|""|"941-927-3345"|"Y"|""
"01-0785049"|"Queens Community Center, Inc."|"620181"|"DANIEL WING-YU NG, PLLC"|"2 EAST BROADWAY, SUITE 301"|"NEW YORK"|"NY"|"USA"|"10038"|"26-4164621"|"347-292-8745"|"Y"|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"DOWNEAST ACCOUNTING SERVICE"|"PO BOX 561"|"WELLS"|"ME"|"USA"|"04090-0561"|"13-4220640"|"207-646-1828"|"Y"|""
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|"Bruce A. Bachelder, CPA"|"PO Box 1479"|"Damariscotta"|"ME"|"USA"|"04543"|""|"207-563-7540"|"Y"|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"ROBUSTELLI SOUCY HUSSEY, P.A"|"P.O. BOX 1727"|"LEWISTON"|"ME"|"USA"|"04241-1727"|""|"207-783-2839"|"Y"|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|"Chester M. Kearney, PA"|"P.O. Box 1550"|"Presque Isle"|"ME"|"USA"|"04769"|"01-0411241"|"207-764-3171"|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"APICELLA, TESTA & COMPANY, P. C."|"680 BRIDGEPORT AVENUE"|"SHELTON"|"CT"|"USA"|"06484"|""|"203-925-9494"|"Y"|""
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|"NICHOLSON & ASSOCIATES, PA"|"76 SILVER STREET"|"WATERVILLE"|"ME"|"USA"|"04901"|""|"207-872-7077"|"Y"|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|"Sullivan & Folan, LLC"|"325 Wood Road, Ste 105"|"Braintree"|"MA"|"USA"|"02184"|""|"781-849-6060"|"Y"|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"Gibson LeClair, LLC."|"150 Capitol Street"|"Augusta"|"MA"|"USA"|"04330"|""|"207-623-8401"|""|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|"Simensky, Engstrom & Associates/CPA's"|"P.O. Box 760"|"Saco"|"ME"|"USA"|"04072"|"01-0353028"|"207-284-5943"|""|""
"01-0061310"|"Fraternal Order of Eagles"|"595509"|"BRUCE J CORT, EA"|"472 ROOSEVELT TRAIL - P O BOX 1014"|"WINDHAM"|"ME"|"USA"|"04062"|"01-0399898"|"207-892-5224"|"Y"|""
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|""|""|""|""|""|""|""|""|""|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|"OTIS ATWELL"|"324 GANNET DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|""|"207-780-1100"|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"MACDONALD PAGE & CO LLC"|"227 WATER STREET, PO BOX 2749"|"AUGUSTA"|"ME"|"USA"|"04338"|"01-0242373"|"207-622-4766"|"Y"|""
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|"ROY MAGRUDER - EA, CFE & ATA"|"10670 43RD ST N #203"|"CLEARWATER"|"FL"|"USA"|"33762"|""|"727-420-8932"|"Y"|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|"BAKER NEWMAN & NOYES"|"BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|"Y"|""
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|"ROBERTS & ASSOCIATES PLLC"|"1660 E RIVER RD STE 100"|"TUCSON"|"AZ"|"USA"|"85718-5834"|"56-2386438"|"520-881-7211"|"Y"|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
