"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|"NH Odd Fellows Home, dba Presidential Oaks, is committed to providing innovative opportunities to our community so that it may reach its potential in an atmosphere of compassion, dignity, and respect"|"N"|"N"|""|""|""|"8076323.0000"|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"The YMCA creates a community where all are welcome. The YMCA builds a healty spirit, mind and body in children, individuals and families while instilling the values of caring, honesty, respect and responsibility through our practices and programs."|"N"|"N"|""|""|""|"10337278.0000"|"Y"
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"SKCDC is dedicated to providing and supporting the development of, and access to quality early care and education programs that are responsive to children, families and professionals."|"N"|"N"|"0.0000"|"888399.0000"|"0.0000"|"4562060.0000"|"Y"
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"Since 1991, the Maine Migrant Health Program (MMHP) has championed the health care needs of migrant and seasonal farmworkers (MSFWs) and their families. The organization provides quality primary, preventive, and chronic health care services to MSFWs across the state. MSFWs are one of the nation's most vulnerable and invisible populations."|"N"|"N"|""|"122166.0000"|"6245.0000"|"521874.0000"|"Y"
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|"Public library"|"N"|"N"|""|""|""|"801152.0000"|""
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|"Childcare"|""|""|""|""|""|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|"Christian elementary day school"|"N"|"N"|""|""|""|"289041.0000"|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"Environmental Advocacay"|"N"|"N"|""|""|""|"1564901.0000"|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|"Lowincome housing"|"N"|"N"|""|""|""|"452168.0000"|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|"To provide decent and affordable housing for seniors through HUD subsidy programs"|"N"|"N"|""|""|""|"0.0000"|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|"Provided members with social and recreational opportunities."|"N"|"N"|""|""|""|""|""
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|"Public library the Patten Free Library will provide recreational, informational, and educational resources to the region's children, youth, and adults as citizens of their community and the world"|"N"|"N"|""|""|""|"644805.0000"|""
"01-0061310"|"Fraternal Order of Eagles"|"595509"|"Social club programs for the mutual benefit, improvement and social enjoyment of members"|"N"|"N"|""|""|""|"0.0000"|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|"Our Mission To inspire and enable all young people and their families, especially those from disadvantaged circumstances, to realize their full potential as productive, responsible, and caring citizens"|"N"|"N"|""|"261293.0000"|"106669.0000"|"1037725.0000"|""
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|""|"N"|"N"|""|""|""|"209350.0000"|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"He Friends of the Kotzschmar Organ raises funds to maintain and upgrade the city of Portland, Maine's municipal pipe organ and provides educational, and cultural activities to that end."|"N"|"N"|""|""|""|"136788.0000"|""
"01-0525615"|"Maine Winter Sports Center"|"562836"|"Train amateur athletes"|"N"|"N"|""|""|""|"1127292.0000"|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|"To inculcate the principles of Charity, Justice, brotherly love & fidelity; to recognize a belief in God; to promote the welfare & enhance the happiness of its members; to quicken the spirit if American patriotism; to cultivate good fellowship; to contribute to the community & youth activities by charitable donations & functions."|"N"|"N"|""|""|""|""|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|"Health services to low income individuals in the area"|"N"|"N"|""|""|""|"3113214.0000"|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|"The organization's mission is to promote and foster receational, athletic, and other activities for members and their families: to manage, maintain, protect, and preserve the community and its properties and facilities; and to operate and maintain, or provide for"|"N"|"N"|""|""|""|"1493736.0000"|"Y"
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|"Operation of a free public library"|"N"|"N"|""|""|""|"219989.0000"|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|"The mission of Fish River Rural Health is to provide access to comprehensive primary and preventive care of the highest quality to the underserved population and to improve the health care status of the residents of the St. John valley."|"N"|"N"|""|""|""|"2064197.0000"|"Y"
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|"To promote the general welfare of mentally retarded persons"|"N"|"N"|""|""|""|"628332.0000"|""
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|"Provide financial aid for higher education"|"N"|"N"|""|""|""|"175375.0000"|""
"01-0215910"|"Bangor Humane Society"|"620171"|"To provide shelter and adoption services for unwanted animals."|"N"|"N"|""|""|""|"665774.0000"|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|"To protect life and property from fire."|"N"|"N"|""|""|""|"38990.0000"|""
"01-0509802"|"CAFE, INC."|"620175"|"Habilitative services to mentally retarded adults and children"|"N"|"N"|""|""|""|"3456867.0000"|""
"01-0538232"|"Big Rock"|"620176"|"Provide management to oversee facilities and to coach and support the training and development of amateur athletes seeking to engage in, and for the general promotion of winter sports with an emphasis on nordic skiing."|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"514285.0000"|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"Waterville Main Street will advance efforts to develop the downtown area itno a thriving, energetic, commercial, social, cultural and entertainment destinantion."|"N"|"N"|""|""|""|"554723.0000"|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"To provide awards and scholarships to students"|"N"|"N"|""|""|""|"37618.0000"|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|"Library and museum services"|"N"|"N"|""|""|""|"762983.0000"|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|"The organization owns and operates a 22 unit housing complex for individuals with special needs and living requirements"|"N"|"N"|""|""|""|"351433.0000"|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"Promotion of the professional improvement and well being of Maine school principals and promotions of educationally sound student activities conducted by Maine schools"|"N"|"N"|""|""|""|"1752678.0000"|""
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|"Serve poor, destitute & underprivileged families of greater pinella s county"|"N"|"N"|""|""|""|""|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|"Long-term care"|"N"|"N"|""|""|""|"8276600.0000"|""
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|"Tanque Verde Soccer Club seeks to contribute to the continued positive development of youth in our community by providing recreational, instructional and competitive soccer opportunities that grow character, sportsmanship, encourage physical fitness and a healthy lifestyle, while furthering love for the game of soccer. As well as supporting the development of the student athlete in our community."|"N"|"N"|""|""|""|"247766.0000"|"Y"
