"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|""|"8076323.0000"|""|"8788127.0000"|"Provided board and care for an average of 107 residents per day during the year"|""|""|""|""|""|""|""|""|""|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|""|"452168.0000"|""|"470904.0000"|"The organization operates a 44 unit apartment complex for low income tenants"|""|""|""|""|""|""|""|""|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|""|"289041.0000"|""|""|"Christian elementary day school"|""|""|""|""|""|""|""|""|""|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|""|"840042.0000"|""|""|"State licensed home for disadvantaged Boys and Girls along with professional counseling services. An average of 12 youth were served."|""|""|""|""|""|""|""|""|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|""|"1564901.0000"|""|""|"Programs to unite and coordinate the efforts for the advancement of Natural Resources conservation and relate the economy of Maine to its Natural Resources Issues addressed include air and water pollution, rivers, land use, public lands, energy and forestry"|""|""|""|""|""|""|""|""|""|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|""|"5008672.0000"|"1128233.0000"|"5098034.0000"|"Healthy living - the YMCA is responding in a pro-active manner to the health crisis in our community's youth, adults and families by focusing on preventative and interventional programs that fight the proliferation of chronic diseases. We are very concerned about childhood obesity and family health practices that lead to lifelong health problems."|""|"4541615.0000"|"178590.0000"|"4543171.0000"|"Youth development - the YMCA recognizes and celebrates its role as a major service provider in the area of childhood and youth development. The YMCA is committed to increasing opportunities for youth to deepen values and build positive assets. All youth programs reinforce our core values of honesty, respect, caring and responsibility."|""|"786991.0000"|"316734.0000"|"379251.0000"|"Social responsibility - the YMCA acts as a community partner whenever possible to address critical community needs. in this context, our community has experienced a significantly higher percentage of school drop outs and school failures than other communities in the state. The YMCA has taken the lead to impact this important issue by offering three special programs to reduce school dropout."
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|""|"2748806.0000"|"0.0000"|"0.0000"|"Full-year, part-day head start program providing comprehensive services to children ages birth through 5 and their families in southern kennebec county."|""|"488545.0000"|"0.0000"|"0.0000"|"Child care food program provided meals to eligible children enrolled in head start & daycare programs"|""|"436310.0000"|"0.0000"|"0.0000"|"Full time daycare program provided day care services to children at twelve centers in southern kennebec county."
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|""|"187316.0000"|""|""|"Community Service - The Maine Migrant Health Program is a 330g migrant voucher program. As such, it does not operate out of a fixed site or ""bricks and mortar"" health center. All direct services are provided in the community, so the engagement of patients and clients is always from an ""outreach"" perspective."|""|"146379.0000"|""|"8472.0000"|"Medical Services - MMHP's direct medical services include comprehensive mobile care, access to referral services, emergency room care, and coverage for laboratory and radiology testing. MMHP accomplishes this by bringing services directly into MSFW camps, communities, and work sites, as well as utilizing its statewide referral (voucher) network of medical, dental, and behavioral health providers."|""|"66013.0000"|""|""|"Mobile Medical Unit - As discussed previously, part of Maine Migrant's unique model of service delivery is to go directly to the migrant and seasonal farmworker camps, communities, and work sites. To accomplish this, MMHP operates a fleet of vehicles designed and utilized as mobile medical centers. These mobile medical units (MMUs) are staffed by, at a minimum, one provider and one outreach and/or intake worker."
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|""|"801152.0000"|""|""|"Public library serving the residents of biddeford, Maine and surrounding communities - serves 10,778 patrons."|""|""|""|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"595509"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|""|""|""|""|"all activities paid for by the paients"|""|""|""|""|""|""|""|""|""|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|""|"351433.0000"|""|"96369.0000"|"The organation owns and operates a 22 unit housing complex for individuals with special needs and living requirements"|""|""|""|""|""|""|""|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|""|"1488488.0000"|""|"1179275.0000"|"Interscholastic - to promote, organize, and regulate interscholastic activities in the state of Maine. The MPA currently sponsors invitational championship competition in 19 different interscholastic activities for the young men and 15 different interscholastics activities for young women in Maine's high schools. All public high schools and a number of private schools are MPA members; they currently total 153."|""|"264190.0000"|""|"294380.0000"|"Profesonal division-professional organization serving more then 900 elementary, middle school, and high school principals, technology center directors, and assistant principals throughout the state of Maine. With a focus on assuring quality education for all students, the first two goals in the MPA's mission statement are: 1) to promote the principalship; and 2) to support principals as educational leaders."|""|""|""|""|""
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|""|""|""|"2030808.0000"|"Sweetbay supermarket in kind $ 565,218 Sam's club in kind $1,389,590 St Vincent depaul in kind $ 45,000 wal-Mart Cash $ 25,000 publix foundation cash $ 3,000 jill Somers Cash $ 1,150 Nancy Bruno Cash $ 800 pat Williams Cash $ 150 Evelyn Bethel Cash $ 400 Evans Jackson Cash $ 500"|""|""|""|""|""|""|""|""|""|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|""|"8276600.0000"|""|"11345859.0000"|"Provision of long-term care for the sick and elderly operations include 63 nursing home beds and 39 rehabilitation care beds additional information available upon request"|""|""|""|""|""|""|""|""|""|""
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|""|"247766.0000"|""|"238705.0000"|"Provide an environment in which to train and play youth soccer."|""|""|""|""|""|""|""|""|""|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|""|"347201.0000"|""|"61146.0000"|"After School Program The after school program provides children with a nutritious meal after school, a wide variety of activities in state-of-the-art facilities, and a fun atmosphere for ages 6 to 12"|""|"312812.0000"|""|"84679.0000"|"The Boys and Girls Club of America provides funding to support the creation and expansion of new Boys & Girls Club programs in surrounding areas and in Indian Nation locations"|""|"116419.0000"|""|"43730.0000"|"The athletic program is comprised of several activities with the ultimate intention of the promotion of health and fitness"
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|""|"209350.0000"|"53749.0000"|"209967.0000"|"Teaching and training of electrical workers provided through an apprenticeship program The Organization has 15 to 25 students per year"|""|""|""|""|""|""|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|""|"5161.0000"|""|""|"Needy families - elks national foundation - elks national home other charity programs - elks national service -veterans programs"|""|"13609.0000"|""|""|"Youth programs and activities"|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|""|"362816.0000"|""|"360190.0000"|"The organization is involved with the development of amateur sports for lacrosse in order to raise the skill level of high school students interested in playing lacrosse on a higher level than achieved in their school"|""|""|""|""|""|""|""|""|""|""
"01-0525615"|"Maine Winter Sports Center"|"562836"|""|"577521.0000"|""|""|"Provide facilities, coaching and support for the training and development of amateur athletes seeking to engage in, and for the general promotion of winter sports, with an emphasis on nordic skiing and the biathlon."|""|"549771.0000"|""|""|"Provide equipment for amateur athletes seeking to engage in and for the general promotion of winter sports with an emphasis on nordic skiing and the biathlon."|""|""|""|""|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|""|"3113214.0000"|""|""|"To provide health care services to underserved populations in the downeast Maine area. Services are primarily provided to low income households."|""|""|""|""|""|""|""|""|""|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|""|"1493736.0000"|"15000.0000"|"1654488.0000"|"The organization provides recreational and social activities, administers common services and maintains common facilities"|""|""|""|""|""|""|""|""|""|""
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|""|"219989.0000"|"0.0000"|"4665.0000"|"The organization operates a free public library for the residents of and visitors to the Boothbay Harbor Region of Maine, serving a year-round population of 5,800 people and a seasonal population of 20,000 people. Over 23,000 people visited the library this year. Circulation approximated 45,000 volumes."|""|""|""|""|""|""|""|""|""|""
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|""|"644805.0000"|"0.0000"|"0.0000"|"The library provides a full range of library services free to the public of the six communities served"|""|""|""|""|""|""|""|""|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|""|""|""|""|"The lodge , through its membership, devotes countless volunteer hours and donates financial assistance to various charitable, educational, welfare, disaster relief, and patriotic endeavors. Specifically, $10,074 was spent on charitable contributions; $4,970 was spent on member conventions and meetings; and $2,971 was spent publishing the lodge bulletin for our community."|""|""|""|""|""|""|""|""|""|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|""|"136788.0000"|""|"86273.0000"|"Restoration and maintenance of the kotzschmar memorial organ located in Merrill auditorium, city Hall, Portland, Maine. Arranging a series of organ music concerts and educational events for the general public."|""|""|""|""|""|""|""|""|""|""
"01-0211807"|"Sweetser"|"631557"|""|"38108254.0000"|""|"42348294.0000"|"Sweetser operates programs throughout Maine and is grounded in the vision of helping people create promising futures by providing inclusive, effective and efficient mental health and substance abuse services The Training Institute provides training and seminars to mental health and substance abuse professionals Operating since 1828, Sweetser is one of Maine's most comprehensive mental health organizations, serving approximately 15,000 per year"|""|""|""|""|""|""|""|""|""|""
"01-0358732"|"MOBIUS INC"|"631560"|""|"163790.0000"|""|"132900.0000"|"Provide a 12 bed board care facility for 12 residents"|""|"3313918.0000"|""|"3974219.0000"|"Provide supported living options in the community for approximately 27 clients"|""|"1099688.0000"|""|"806211.0000"|"Operate an activity center providing training, activities, habilitation, counseling, and employment services for approximately 35 clients"
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|""|"2520031.0000"|""|"2602511.0000"|"Education: the academy provides secondary education for approximately 100 students."|""|""|""|""|""|""|""|""|""|""
"01-0388637"|"New England Baptist Bible College"|"631562"|""|"92822.0000"|""|""|"Wages for Professors at the college"|""|"27405.0000"|""|""|"Other Employee Benefits"|""|"14081.0000"|""|""|"Payrool taxes for employees"
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|""|"1361477.0000"|""|"1460680.0000"|"This program provides facilitative, learning and community based opportunities for adults with developmental disabilities and autism"|""|""|""|""|""|""|""|""|""|""
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|""|"6927261.0000"|""|"7788083.0000"|"This organization provides personal care, homemaking and other supportive services to Maine residents to enable them to continue living independent lives in fiscal year 2011 Home Care for Maine delivered 502,117 hours of care"|""|""|""|""|""|""|""|""|""|""
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|""|"217522.0000"|""|""|"Provided psycological testing and training for approximately 85 teenagers in addition, provided for extra curricular activities & outings with the teenagers"|""|""|""|""|""|""|""|""|""|""
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|""|"3003501.0000"|""|"649851.0000"|"Housing services program - this program works with families and singles through Human Services' rapid exit partnership to help them move quickly out of shelters Human Services also offers homeless prevention for people in danger of losing their housing"|""|"3496708.0000"|""|""|"Ending long-term homelessness - this program works with single adults who have been homeless over many years and are stuck in a cycle of shelters, jail treatment programs, and living outside the programs work intensively to connect people to permanent housing with supportive services"|""|"1359809.0000"|""|""|"Kateri residence - kateri residence provides sober transitional housing to American Indian women recovering from chemical dependency kateri blends traditional recovery methods such as AA and 12-step with a focus on American Indian culture and spirituality"
