"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"GRANTS_ORGS_US"|"GRANTS_INDIVIDUALS_US"|"GRANTS_ORGS_NON_US"|"BENEFITS_TOTAL"|"COMPENSATION_CURRENT"|"COMPENSATION_DISQUALIFIED"|"WAGES_TOTAL"|"PENSION_TOTAL"|"EMPLOYEE_BENEFITS_TOTAL"|"PAYROLL_TAX_TOTAL"|"FEES_MANAGEMENT"|"FEES_LEGAL"|"ACCOUNTING_FEES_TOTAL"|"FEES_LOBBYING"|"FUNDRAISING_TOTAL"|"FEES_INVESTMENTS"|"FEES_OTHER"|"ADS_PROMO"|"OFFICE"|"INFO_TECH"|"EXP_ROYALTIES"|"OCCUPANCY_TOTAL"|"TRAVEL_TOTAL"|"ENTERTAIN_OFFICIALS"|"MEETINGS_TOTAL"|"INTEREST_TOTAL"|"PAYMENTS"|"DEPRECIATION_TOTAL"|"INSURANCE"|"EXPENSE_A_TOTAL"|"EXPENSE_B_TOTAL"|"EXPENSE_C_TOTAL"|"EXPENSE_D_TOTAL"|"EXPENSE_E_TOTAL"|"EXPENSES_TOTAL"|"TOTAL_PROGRAM_SERVICES"|"TOTAL_MANAGEMENT"|"TOTAL_FUNDRAISING"|"REPORT_COSTS_CBX"|"JOINT_TOTAL"|"JOINT_SERVICES"|"JOINT_GENERAL"|"JOINT_FUNDRAISING"|"ALL_OTHER_EXPENSES"|"EXPENSE_A_DESC"|"EXPENSE_B_DESC"|"EXPENSE_C_DESC"|"EXPENSE_D_DESC"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|""|""|""|""|"108741.0000"|""|"4347607.0000"|"21898.0000"|"835891.0000"|"386557.0000"|""|"6733.0000"|"53920.0000"|""|""|"7228.0000"|"590371.0000"|""|"20047.0000"|"19147.0000"|""|"420850.0000"|"2893.0000"|""|"7530.0000"|"260588.0000"|""|"440651.0000"|"128977.0000"|"330864.0000"|"317578.0000"|"276213.0000"|"218484.0000"|""|"8996329.0000"|"8076323.0000"|"920006.0000"|"0.0000"|""|""|""|""|""|"193561.0000"|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|""|""|""|""|"66883.0000"|""|"259019.0000"|""|"56211.0000"|"30488.0000"|""|""|"12207.0000"|""|""|""|"87224.0000"|""|"16049.0000"|""|""|"19524.0000"|"27267.0000"|""|"335.0000"|""|""|"38236.0000"|"21372.0000"|"137040.0000"|"27503.0000"|"19242.0000"|"15053.0000"|"6554.0000"|"857771.0000"|"521874.0000"|"335897.0000"|"0.0000"|""|""|""|""|""|"17564.0000"|""|""|""|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|""|""|""|""|""|""|"470711.0000"|"21511.0000"|"58015.0000"|"37430.0000"|""|""|"4950.0000"|""|""|"9237.0000"|""|""|"16249.0000"|""|""|"74762.0000"|""|""|"4494.0000"|""|""|"66085.0000"|"9357.0000"|"81253.0000"|"13736.0000"|"12878.0000"|"1621.0000"|""|"882289.0000"|"801152.0000"|"81137.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|""|"2023378.0000"|""|""|""|""|""|""|""|""|""|""|"1000.0000"|""|""|""|"5000.0000"|""|""|""|""|""|""|""|""|""|""|"1849.0000"|""|"4619.0000"|"544.0000"|"962.0000"|"86.0000"|"2160.0000"|"2041112.0000"|""|""|""|""|""|""|""|""|"1514.0000"|""|""|""|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|""|""|""|""|""|""|""|""|""|""|"1945887.0000"|"30790.0000"|"41496.0000"|""|""|""|"6244890.0000"|"3978.0000"|"28468.0000"|""|""|"357982.0000"|""|""|"4709.0000"|"311840.0000"|""|"360129.0000"|"35809.0000"|"1189151.0000"|"601351.0000"|"31588.0000"|"29067.0000"|""|"11217135.0000"|"8276600.0000"|"2940535.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|""|""|""|""|"0.0000"|"0.0000"|"30245.0000"|""|""|""|""|""|""|""|""|""|"82015.0000"|"955.0000"|""|""|""|"10426.0000"|""|""|""|""|""|""|""|"56206.0000"|"44054.0000"|"8522.0000"|"8002.0000"|"4091.0000"|"252182.0000"|"247766.0000"|"4416.0000"|"0.0000"|""|""|""|""|""|"7666.0000"|""|""|""|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|""|""|""|""|""|""|"385895.0000"|""|"37372.0000"|"29032.0000"|""|""|"4867.0000"|""|""|""|"19579.0000"|"437.0000"|"16037.0000"|""|""|"74908.0000"|"6208.0000"|""|"160.0000"|""|"222597.0000"|""|""|"189397.0000"|"51236.0000"|""|""|""|"1037725.0000"|"1037725.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|""|""|""|""|"37972.0000"|""|"19230.0000"|"12186.0000"|"12099.0000"|"4260.0000"|""|""|"2635.0000"|""|""|""|""|""|"4722.0000"|"1382.0000"|""|"83784.0000"|"2698.0000"|""|"1016.0000"|"529.0000"|""|"20716.0000"|"2871.0000"|"21412.0000"|"12299.0000"|"2514.0000"|"2202.0000"|"1986.0000"|"251707.0000"|"209350.0000"|"42357.0000"|"0.0000"|""|""|""|""|""|"5194.0000"|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|""|""|""|""|"63031.0000"|""|"101749.0000"|""|""|"17403.0000"|""|""|""|""|""|""|""|"776.0000"|"5604.0000"|""|""|""|""|""|"6000.0000"|"9031.0000"|""|"33968.0000"|"15806.0000"|"22.0000"|"2505.0000"|"499.0000"|"112.0000"|""|"450867.0000"|"19130.0000"|"397769.0000"|"0.0000"|""|""|""|""|""|"194361.0000"|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|""|""|""|""|""|""|""|""|""|""|"160000.0000"|""|"3100.0000"|""|""|""|""|"2207.0000"|"2977.0000"|""|""|""|""|""|""|""|""|""|"1149.0000"|"69133.0000"|"55835.0000"|"36191.0000"|"24148.0000"|"19045.0000"|"393160.0000"|"331433.0000"|"61727.0000"|""|""|""|""|""|""|"19375.0000"|""|""|""|""
"01-0525615"|"Maine Winter Sports Center"|"562836"|""|""|""|""|""|""|"473170.0000"|"10820.0000"|"107417.0000"|"37381.0000"|""|"12290.0000"|""|""|""|""|""|"210243.0000"|""|""|""|"18442.0000"|"37827.0000"|""|""|"9306.0000"|""|"566492.0000"|"54515.0000"|"312388.0000"|"63678.0000"|"43733.0000"|"33741.0000"|"18688.0000"|"2126578.0000"|"1127292.0000"|"999286.0000"|"0.0000"|""|""|""|""|""|"116447.0000"|""|""|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|""|""|""|""|"14708.0000"|""|"856.0000"|""|""|"1152.0000"|""|""|"2385.0000"|""|""|""|"2069.0000"|"10827.0000"|"27430.0000"|""|""|"151656.0000"|""|""|"9624.0000"|"28153.0000"|""|"34079.0000"|"15269.0000"|"13220.0000"|"8933.0000"|"10074.0000"|"3157.0000"|"14168.0000"|"350973.0000"|""|""|""|""|""|""|""|""|"3213.0000"|""|""|""|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|""|""|""|""|""|""|"2367577.0000"|""|"307418.0000"|"200353.0000"|""|""|""|""|""|""|""|""|""|""|""|"63600.0000"|"21697.0000"|""|""|"38209.0000"|""|"159730.0000"|"29087.0000"|"180523.0000"|"121464.0000"|"81634.0000"|"80079.0000"|"45124.0000"|"3874422.0000"|"3113214.0000"|"761208.0000"|"0.0000"|""|""|""|""|""|"177927.0000"|""|""|""|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|"15000.0000"|""|""|""|"105142.0000"|""|"351434.0000"|"19602.0000"|"59713.0000"|"39982.0000"|""|""|""|""|""|""|"43289.0000"|"199.0000"|"62225.0000"|""|""|"166467.0000"|"2267.0000"|""|"3807.0000"|"10557.0000"|""|"308173.0000"|"56801.0000"|"293881.0000"|"104054.0000"|"61281.0000"|"14244.0000"|""|"1718118.0000"|"1493736.0000"|"224382.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|""|""|""|""|""|""|"117201.0000"|"16365.0000"|"1003.0000"|"7570.0000"|""|""|"1480.0000"|""|""|"5962.0000"|"6936.0000"|""|"12737.0000"|"5139.0000"|""|"29036.0000"|""|""|"666.0000"|""|""|"8909.0000"|"6026.0000"|"22387.0000"|"385.0000"|"3944.0000"|"152.0000"|"31.0000"|"246047.0000"|"219989.0000"|"16864.0000"|"9194.0000"|""|""|""|""|""|"118.0000"|""|""|""|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"732895.0000"|"890662.0000"|""|""|"176530.0000"|""|"4843037.0000"|"155552.0000"|"219548.0000"|"468738.0000"|""|"3745.0000"|"22196.0000"|""|""|""|"254724.0000"|"205222.0000"|"150365.0000"|"125360.0000"|""|"1093975.0000"|"58606.0000"|""|"81772.0000"|"168162.0000"|"88581.0000"|"705865.0000"|"104217.0000"|"514058.0000"|"29253.0000"|"2515.0000"|""|""|"11095578.0000"|"10337278.0000"|"594953.0000"|"163347.0000"|""|""|""|""|""|""|""|""|""|""
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"2944539.0000"|"51807.0000"|"321212.0000"|"353345.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"175530.0000"|"0.0000"|"0.0000"|"285147.0000"|"7777.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"7495.0000"|"50279.0000"|"434142.0000"|"173660.0000"|"272381.0000"|"3361.0000"|"5083648.0000"|"4562060.0000"|"521588.0000"|"0.0000"|""|""|""|""|""|"2973.0000"|""|""|""|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|""|""|""|""|""|""|""|""|""|""|"30918.0000"|"1439.0000"|"5656.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"112930.0000"|""|"51974.0000"|"13440.0000"|"162784.0000"|"57105.0000"|"8100.0000"|"4615.0000"|"2073.0000"|"452168.0000"|"452168.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"1134.0000"|""|""|""|""
