"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FORM_1096"|"W_2G"|"ALL_YEAR_EMPLOYEES"|"UNRELATED_BUSINESS_CBX"|"FORM_990_T_CBX"|"FOREIGN_ACCOUNT_CBX"|"NAME_COUNTRY"|"TAX_SHELTER_CBX"|"SOLICIT_GIFTS_CBX"|"TAX_DEDUCT_CBX"|"FUNDS_PBC_CBX"|"PREMIUMS_PBC_CBX"|"EXCESS_BUSINESS_HOLDINGS_CBX"|"TAXABLE_DIST_4966_CBX"|"DONOR_DIST_CBX"|"SCH_O_V_CBX"|"MULTISTATE_PLANS_CBX"|"RESERVES_REQUIRED_AMT"|"RESERVES_ONHAND_AMT"|"INDOOR_TANNING_CBX"|"FORM_720_CBX"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"34"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|"3"|"0"|"44"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"32"|"0"|"30"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0532835"|"SAFE PASSAGE"|"639788"|"9"|"0"|"17"|"N"|"N"|"Y"|"GT"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|"2"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0052260"|"Cumberland Club"|"638152"|"2"|"0"|"31"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|"60"|"0"|"156"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0262323"|"Northern Maine General"|"636949"|"24"|"0"|"385"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"11"|"0"|"97"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"38"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|"11311"|"0"|"31"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0388637"|"New England Baptist Bible College"|"631562"|"0"|"0"|"23"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0358732"|"MOBIUS INC"|"631560"|"22"|"0"|"188"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"0"|"0"|"8"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"0"|"0"|"10"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"3"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"72"|"0"|"8"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"0"|"0"|""|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"27"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|"4"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|""|""|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"14"|"0"|"19"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0279587"|"Waban Projects Inc"|"685657"|"10"|"0"|"429"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|"6"|"0"|"46"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|"0"|""|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|"3"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|"7"|"0"|"171"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|"0"|"0"|"17"|"N"|""|"N"|""|"N"|"N"|""|"N"|"Y"|""|""|""|""|""|""|""|"N"|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"0"|"0"|"18"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|"0"|"0"|"47"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|"0"|"0"|"35"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0369660"|"Work First Inc"|"685662"|"0"|"0"|"126"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|"9"|""|"16"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|"2"|"0"|"27"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"12"|"0"|"27"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"45"|"0"|"20"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0520531"|"SOUTHERN MAINE COMMUNITY COLLEGE FOUNDATION"|"696952"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0555559"|"ECS MINISTRIES"|"706823"|"0"|"0"|"17"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0694045"|"FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION, INC"|"706829"|"0"|"0"|"5"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"706834"|"2"|"0"|"52"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0824559"|"PUPPY CREEK FIRE DEPARTMENT INC"|"706835"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0825719"|"Vision Rescue International"|"706837"|"0"|"0"|""|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0378246"|"Southern Maine Regional Planning Commission, Inc."|"696939"|"1"|"0"|"11"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0445163"|"Anson Madison Starks Ambulance"|"696948"|"0"|"0"|"35"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"696957"|"0"|"0"|"75"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"696966"|"16"|"0"|"157"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0771157"|"ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC"|"696974"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"696983"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-6010284"|"SCARBOROUGH PUBLIC LIBRARY"|"696989"|"16"|"0"|"24"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0364464"|"Vose Library"|"697765"|"0"|"0"|"2"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"704923"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|"N"|""
"01-0554275"|"CHARLOTTE ARTSFEST, INC."|"706109"|"38"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0211512"|"Home for the Aged"|"706784"|"5"|"0"|"88"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0276272"|"GREATER PORTLAND LANDMARKS, INC."|"706789"|"14"|"0"|"5"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0322532"|"DAY ONE"|"706793"|"37"|"0"|"65"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|"0"|"0"|""|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"706797"|"2"|"0"|"15"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY, MAINE"|"706802"|"0"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0450803"|"MAINE NATIONAL GUARD FOUNDATION FUND"|"706806"|""|""|""|"N"|""|"N"|""|"N"|"N"|""|"N"|""|""|""|""|""|""|""|""|"N"|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"696898"|"4"|"0"|"12"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"696950"|"11"|"0"|"71"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"706809"|"0"|"0"|"15"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"706814"|""|""|""|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
