"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_OFFICERS"|"VOTING_MEMBERS"|"RELATIONS_CBX"|"DELEGATE_CONTROL_CBX"|"DOC_CHANGES_CBX"|"ASSET_DIVISION_CBX"|"STOCKHOLDERS_CBX"|"GOVERNING_BODY_CBX"|"SUBJECT_APPROVAL_CBX"|"DOCUMENT_MEETINGS_CBX"|"DOCUMENT_COMMITTEE_CBX"|"LOCAL_CHAPTERS_CBX"|"WRITTEN_POLICIES_CBX"|"REVIEW_990_CBX"|"OFFICERS_AT_ORG_ADDESSS_CBX"|"CONFLICT_OF_INTEREST_CBX"|"OFFICERS_DISCLOSE_INTEREST_CBX"|"ENFORCE_COMPLIANCE_CBX"|"WHISTLEBLOWER_POLICY_CBX"|"DOCUMENT_DESTRUCTION_CBX"|"CEO_SALARY_APPROVAL_CBX"|"OFFICERS_SALARY_APPROVAL_CBX"|"JOINT_VENTURE_CBX"|"ENSURE_EXEMPT_STATUS_CBX"|"OWN_WEBSITE_CBX"|"ANOTHER_WEBSITE_CBX"|"UPON_REQUEST_CBX"|"FILING_EXCEPTION"|"STATES_FILED_TEXT"|"SCH_O_VI_CBX"|"OTHER_CBX"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|"1"|"0"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"N"|""|""|""|"None"|""|"Y"|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"13"|"13"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0532835"|"SAFE PASSAGE"|"639788"|"18"|"18"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"None"|"NY NC MI ME MA CA"|"Y"|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0052260"|"Cumberland Club"|"638152"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"Y"|"N"|"Y"|"Y"|"N"|""|""|""|""|"None"|"ME"|"Y"|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"None"|""|"Y"|""
"01-0262323"|"Northern Maine General"|"636949"|"5"|"4"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"6"|"6"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|"8"|"8"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|"5"|"5"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"28"|"28"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0388637"|"New England Baptist Bible College"|"631562"|"11"|"0"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0358732"|"MOBIUS INC"|"631560"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"13"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"28"|"28"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|""|"None"|"CT"|"Y"|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"15"|"15"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"N"|"N"|"N"|"Y"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|"8"|"8"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"24"|"24"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"Y"|""|"Y"|"None"|"PA NH ME MA CT"|"Y"|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"28"|"28"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"13"|"13"|"N"|"N"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|""|""|"None"|""|"Y"|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"3"|"3"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"NY"|""|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"11"|"10"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"Y"|"N"|""|""|"N"|"N"|"N"|"Y"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"17"|"17"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|"16"|"16"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|"5"|"4"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|"3"|""|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|"Y"|""
"01-0279587"|"Waban Projects Inc"|"685657"|"15"|"15"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|"7"|"7"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0369660"|"Work First Inc"|"685662"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|"13"|"13"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0364464"|"Vose Library"|"697765"|"12"|"12"|"N"|"N"|"Y"|"N"|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"None"|""|"Y"|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|"Y"|"Y"|"None"|"PA"|"Y"|""
