"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FED_CAMPAIGNS"|"MEMBERSHIP_DUES"|"FUNDRAISING"|"RELATED_ORGS"|"GOV_GRANTS"|"CONTRIB_OTHER"|"CONTRIB_NONCASH"|"CONTRIB_ALL"|"SERVICE_REVENUE"|"INCOME_INVESTMENT"|"INCOME_BONDS"|"ROYALTIES"|"RENTS_REAL"|"RENTS_PERSONAL"|"RENT_EXP_REAL"|"RENT_EXP_PERSONAL"|"RENT_INCOME_REAL"|"RENT_INCOME_PERSONAL"|"NET_RENTAL"|"GROSS_SECURITIES"|"GROSS_OTHER"|"COST_SECURITIES"|"COST_OTHER"|"GAIN_SECURITIES"|"GAIN_OTHER"|"NET_SALES"|"CONTRIBUTIONS"|"GROSS_SPECIAL"|"DIRECT_EXPENSES"|"NET_SPECIAL"|"GAMING_INCOME"|"GAMING_EXPENSES"|"GAMING_NET"|"GROSS_SALES"|"COST_GOODS"|"GROSS_PROFIT"|"REVENUE_OTHER"|"REVENUE_TOTAL"|"SERVICE_DESC_A"|"SERVICE_CODE_A"|"SERVICE_AMT_A"|"SERVICE_DESC_B"|"SERVICE_CODE_B"|"SERVICE_AMT_B"|"SERVICE_DESC_C"|"SERVICE_CODE_C"|"SERVICE_AMT_C"|"SERVICE_DESC_D"|"SERVICE_CODE_D"|"SERVICE_AMT_D"|"SERVICE_DESC_E"|"SERVICE_CODE_E"|"SERVICE_AMT_E"|"SERVICE_DESC_F"|"SERVICE_CODE_F"|"SERVICE_AMT_F"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|""|""|""|""|""|"83079.0000"|""|"83079.0000"|"8779543.0000"|"79764.0000"|""|""|""|""|""|""|""|""|""|"2030731.0000"|""|"2163237.0000"|""|"-132506.0000"|""|"-132506.0000"|""|""|""|""|""|""|""|""|""|""|"8584.0000"|"8818464.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|""|""|""|""|"742616.0000"|"223157.0000"|""|"965773.0000"|"9034.0000"|"940.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"5683.0000"|"981430.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|""|""|""|""|"280000.0000"|"391984.0000"|""|"671984.0000"|"38938.0000"|"79581.0000"|""|""|""|""|""|""|""|""|""|"145567.0000"|""|"118988.0000"|""|"26579.0000"|""|"26579.0000"|""|""|""|""|""|""|""|""|""|""|""|"817082.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"595509"|""|"45053.0000"|""|""|""|""|""|"45053.0000"|"3891789.0000"|""|""|""|"65850.0000"|""|"43328.0000"|""|"22522.0000"|""|"22522.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"3959364.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|""|""|""|""|""|"2030808.0000"|""|"2030808.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2030808.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|""|""|""|""|""|"18953.0000"|""|"18953.0000"|"11274815.0000"|"20587.0000"|""|""|""|""|""|""|""|""|""|"505308.0000"|""|"472310.0000"|""|"32998.0000"|""|"32998.0000"|""|""|""|""|""|""|""|""|""|""|"71044.0000"|"11418397.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|""|""|""|""|""|""|""|""|"470567.0000"|"337.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"470904.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0215910"|"Bangor Humane Society"|"620171"|""|""|"35956.0000"|""|""|"398593.0000"|""|"434549.0000"|"339339.0000"|"33383.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"22137.0000"|"4984.0000"|"17153.0000"|"8035.0000"|"832459.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|""|""|""|""|""|"246388.0000"|"1592.0000"|"246388.0000"|""|"26147.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"472.0000"|"273007.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|""|""|""|""|"1097779.0000"|""|""|"1097779.0000"|"1541020.0000"|"21495.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2660294.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
