"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_COMP_ORG"|"TOTAL_COMP_RELATED_ORG"|"TOTAL_COMP_OTHER"|"TOTAL_PERSONS_100000"|"FORMER_1A_CBX"|"ANYBODY_150000_CBX"|"ANYBODY_COMP_UNRELATED_CBX"
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|"483990.0000"|""|""|"3"|"N"|"Y"|"N"
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|"14708.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0525615"|"Maine Winter Sports Center"|"562836"|""|""|""|"1"|"N"|"N"|"N"
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"63031.0000"|"0.0000"|"5000.0000"|""|"N"|"N"|"N"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|"41600.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|"0.0000"|"491955.0000"|"79236.0000"|"0"|"N"|"Y"|"N"
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|""|""|""|""|"N"|"N"|"N"
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"346119.0000"|"0.0000"|"89249.0000"|"1"|"N"|"N"|"N"
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|""|""|""|"0"|"N"|"N"|"N"
"01-0061310"|"Fraternal Order of Eagles"|"595509"|"18116.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|""|""|""|"0"|"N"|"N"|"N"
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"64345.0000"|"0.0000"|"2538.0000"|"0"|"N"|"N"|"N"
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"191522.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"174512.0000"|""|"8088.0000"|"1"|"N"|"Y"|"N"
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|"114913.0000"|"0.0000"|"20487.0000"|"1"|"N"|"N"|"N"
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"217633.0000"|""|"28050.0000"|"0"|"N"|"N"|"N"
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|"100000.0000"|"0.0000"|"8755.0000"|"0"|"N"|"N"|"N"
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|"63008.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"130706.0000"|""|"24808.0000"|"1"|"N"|"Y"|"N"
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|""|""|""|"0"|"N"|"N"|"N"
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"84708.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|""|""|"0"|"N"|"N"|"N"
"01-0215910"|"Bangor Humane Society"|"620171"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0443318"|"Blue Hill Fire Company"|"620172"|""|""|""|"0"|"N"|"N"|"N"
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|"558083.0000"|""|"66886.0000"|"4"|"N"|"Y"|"N"
"01-0509802"|"CAFE, INC."|"620175"|"175380.0000"|""|""|"0"|"N"|"N"|"N"
"01-0538232"|"Big Rock"|"620176"|"52826.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"48150.0000"|"0.0000"|"4642.0000"|"0"|"N"|"N"|"N"
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"500.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0733041"|"SARASOTA CREW, INC"|"620180"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0785049"|"Queens Community Center, Inc."|"620181"|"3500.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"72934.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"Y"
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|"67167.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|""|""|""|""|"N"|"N"|"N"
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|""|""|""|""|"N"|"N"|"N"
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"132013.0000"|"0.0000"|"3963.0000"|"1"|"N"|"N"|"N"
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|"55000.0000"|""|""|"0"|"N"|"N"|"N"
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"40606.0000"|"0.0000"|"7033.0000"|"0"|"N"|"N"|"N"
