"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_CONTRACTORS"
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|"0"
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|"0"
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|"0"
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|"0"
"01-0525615"|"Maine Winter Sports Center"|"562836"|"0"
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"0"
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|"0"
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|"0"
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|"0"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|"1"
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"0"
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|"0"
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|"0"
"01-0061310"|"Fraternal Order of Eagles"|"595509"|"0"
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|"1"
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"0"
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"0"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"0"
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|"1"
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|"0"
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"0"
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|"0"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|"1"
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|"0"
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"0"
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|"0"
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"0"
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|"0"
"01-0215910"|"Bangor Humane Society"|"620171"|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|"0"
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|"0"
"01-0509802"|"CAFE, INC."|"620175"|"0"
"01-0538232"|"Big Rock"|"620176"|"0"
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"0"
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"0"
"01-0733041"|"SARASOTA CREW, INC"|"620180"|"0"
"01-0785049"|"Queens Community Center, Inc."|"620181"|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"4"
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|"0"
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|"0"
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"0"
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|"0"
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|"0"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|"0"
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"0"
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|"0"
"01-0211807"|"Sweetser"|"631557"|"6"
"01-0265231"|"UPLIFT INC"|"631558"|"0"
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|"0"
"01-0358732"|"MOBIUS INC"|"631560"|"0"
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|"0"
"01-0388637"|"New England Baptist Bible College"|"631562"|"0"
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|"0"
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|"0"
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|"0"
