"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CASH_BOY"|"CASH_EOY"|"SAVINGS_BOY"|"SAVINGS_EOY"|"PLEDGES_GRANTS_BOY"|"PLEDGES_GRANTS_EOY"|"ACCOUNTS_RECEIVABLE_BOY"|"ACCOUNTS_RECEIVABLE_EOY"|"QUALIFIED_RECEIVABLE_BOY"|"QUALIFIED_RECEIVABLE_EOY"|"DISQUALIFIED_RECEIVABLE_BOY"|"DISQUALIFIED_RECEIVABLE_EOY"|"LOANS_RECEIVABLE_BOY"|"LOANS_RECEIVABLE_EOY"|"INVENTORY_BOY"|"INVENTORY_EOY"|"PREPAID_BOY"|"PREPAID_EOY"|"LBE_BASE"|"LESS_DEPRECIATION"|"LBE_BOY"|"LBE_EOY"|"PUBLIC_SECURITIES_BOY"|"PUBLIC_SECURITIES_EOY"|"OTHER_SECURITIES_BOY"|"OTHER_SECURITIES_EOY"|"INVEST_PROGRAMS_BOY"|"INVEST_PROGRAMS_EOY"|"INTANG_ASSETS_BOY"|"INTANG_ASSETS_EOY"|"OTHER_ASSETS_BOY"|"OTHER_ASSETS_EOY"|"ASSETS_TOTAL_BOY"|"ASSETS_TOTAL_EOY"|"ACCOUNTS_PAYABLE_BOY"|"ACCOUNTS_PAYABLE_EOY"|"GRANTS_PAYABLE_BOY"|"GRANTS_PAYABLE_EOY"|"DEFERRED_REVENUE_BOY"|"DEFERRED_REVENUE_EOY"|"TAX_EXEMPT_BONDS_BOY"|"TAX_EXEMPT_BONDS_EOY"|"ESCROW_LIABILITY_BOY"|"ESCROW_LIABILITY_EOY"|"PAYABLE_OFFICERS_BOY"|"PAYABLE_OFFICERS_EOY"|"SECURED_NOTES_PAYABLE_BOY"|"SECURED_NOTES_PAYABLE_EOY"|"UNSECURED_NOTES_PAYABLE_BOY"|"UNSECURED_NOTES_PAYABLE_EOY"|"LIABILITY_OTHER_BOY"|"LIABILITY_OTHER_EOY"|"LIABILITY_TOTAL_BOY"|"LIABILITY_TOTAL_EOY"|"UNRESTRICTED_BOY"|"UNRESTRICTED_EOY"|"TEMP_RESTRICTED_BOY"|"TEMP_RESTRICTED_EOY"|"PERM_RESTRICTED_BOY"|"PERM_RESTRICTED_EOY"|"CAPITAL_BOY"|"CAPITAL_EOY"|"PAID_IN_BOY"|"PAID_IN_EOY"|"RETAINED_BOY"|"RETAINED_EOY"|"NET_TOTAL_BOY"|"NET_TOTAL_EOY"|"BALANCES_BOY"|"BALANCES_EOY"
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"99945.0000"|"139629.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"10000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|"40273.0000"|"53925.0000"|"150218.0000"|"193554.0000"|""|""|""|""|"134629.0000"|"166500.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"134629.0000"|"166500.0000"|"-17582.0000"|"-20208.0000"|"33171.0000"|"47262.0000"|""|""|""|""|""|""|""|""|"15589.0000"|"27054.0000"|"150218.0000"|"193554.0000"
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"3856.0000"|"3856.0000"|"150401.0000"|"106074.0000"|""|""|"112.0000"|"200.0000"|""|""|""|""|""|""|"11215.0000"|"10073.0000"|"8863.0000"|"8938.0000"|"1153992.0000"|"791203.0000"|"322789.0000"|"362789.0000"|""|""|""|""|""|""|""|""|""|""|"497236.0000"|"491930.0000"|"21181.0000"|"27676.0000"|""|""|"58319.0000"|"51243.0000"|""|""|""|""|""|""|"137140.0000"|"173637.0000"|""|""|""|""|"216640.0000"|"252556.0000"|""|""|""|""|""|""|""|""|""|""|"280596.0000"|"239374.0000"|"280596.0000"|"239374.0000"|"497236.0000"|"491930.0000"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"6194.0000"|"16269.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2865.0000"|"3422.0000"|""|""|""|""|""|""|"351716.0000"|"310603.0000"|""|""|""|""|""|""|"360775.0000"|"330294.0000"|""|""|""|""|"1500.0000"|"4030.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"1500.0000"|"4030.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"359275.0000"|"326264.0000"|"359275.0000"|"326264.0000"|"360775.0000"|"330294.0000"
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|"14135.0000"|"24441.0000"|"43974.0000"|"35608.0000"|""|""|"55856.0000"|"64516.0000"|""|""|""|""|""|""|""|""|""|""|"418349.0000"|"188505.0000"|"245799.0000"|"229844.0000"|""|""|""|""|""|""|""|""|"6000.0000"|"6000.0000"|"365764.0000"|"360409.0000"|"26417.0000"|"14085.0000"|""|""|""|""|""|""|""|""|""|""|"11185.0000"|"5990.0000"|""|""|""|""|"37602.0000"|"20075.0000"|"328162.0000"|"340334.0000"|""|""|""|""|""|""|""|""|""|""|"328162.0000"|"340334.0000"|"365764.0000"|"360409.0000"
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|""|""|""|""|"153157.0000"|"59129.0000"|""|""|""|""|""|""|""|""|""|""|""|"35694.0000"|""|""|""|""|"187909.0000"|"208823.0000"|""|""|""|""|""|""|"475082.0000"|"522420.0000"|"816148.0000"|"826066.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1089602.0000"|"1197187.0000"|"1089602.0000"|"1197187.0000"|"-1496312.0000"|"-1693444.0000"|"622775.0000"|"674903.0000"|"600083.0000"|"647420.0000"|""|""|""|""|""|""|"-273454.0000"|"-371121.0000"|"816148.0000"|"826066.0000"
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|"8678.0000"|"24284.0000"|""|""|""|""|""|"2175.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"8678.0000"|"26459.0000"|""|"4587.0000"|""|""|""|"15000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"19587.0000"|"8678.0000"|"6872.0000"|""|""|""|""|""|""|""|""|""|""|"8678.0000"|"6872.0000"|"8678.0000"|"26459.0000"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|"2125.0000"|"2125.0000"|"1021290.0000"|"770773.0000"|""|""|"874966.0000"|"990641.0000"|""|""|""|""|""|""|"19753.0000"|"9876.0000"|"12725.0000"|"12623.0000"|"8684801.0000"|"4738817.0000"|"4173717.0000"|"3945984.0000"|"1608122.0000"|"1762684.0000"|""|""|""|""|""|""|"440569.0000"|"626731.0000"|"8153267.0000"|"8121437.0000"|"160085.0000"|"149609.0000"|""|""|""|""|""|""|""|""|""|""|"6388873.0000"|"6049950.0000"|""|""|"83605.0000"|"11364.0000"|"6632563.0000"|"6210923.0000"|"1480704.0000"|"1870514.0000"|""|""|"40000.0000"|"40000.0000"|""|""|""|""|""|""|"1520704.0000"|"1910514.0000"|"8153267.0000"|"8121437.0000"
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|"235.0000"|"19769.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"5135.0000"|"6648.0000"|""|""|"16166.0000"|"7396.0000"|"10619.0000"|"8770.0000"|""|""|""|""|""|""|""|""|""|""|"15989.0000"|"35187.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"15989.0000"|"35187.0000"|""|""|""|""|""|""|""|""|"15989.0000"|"-5658.0000"|""|""|"15989.0000"|"-5658.0000"
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|""|""|"188234.0000"|"75488.0000"|""|""|"41686.0000"|"29165.0000"|""|""|""|""|""|""|""|""|"34144.0000"|"26036.0000"|"1244836.0000"|"525928.0000"|"767124.0000"|"718908.0000"|"789083.0000"|"853247.0000"|""|""|""|""|"2375.0000"|"2075.0000"|"18259.0000"|"20219.0000"|"1840905.0000"|"1725138.0000"|"92666.0000"|"63967.0000"|""|""|"73765.0000"|"53517.0000"|""|""|""|""|""|""|"462601.0000"|"422904.0000"|""|""|"283555.0000"|"318368.0000"|"912587.0000"|"858756.0000"|"928318.0000"|"866382.0000"|""|""|""|""|""|""|""|""|""|""|"928318.0000"|"866382.0000"|"1840905.0000"|"1725138.0000"
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|"271758.0000"|"293640.0000"|""|""|""|""|"1492.0000"|""|""|""|""|""|""|""|""|""|"3946.0000"|"4025.0000"|"1544812.0000"|"790710.0000"|"790116.0000"|"754102.0000"|""|""|""|""|""|""|""|""|"60042.0000"|"57152.0000"|"1127354.0000"|"1108919.0000"|"23321.0000"|"21150.0000"|""|""|"2811.0000"|"3516.0000"|""|""|""|""|""|""|""|""|"1402880.0000"|"1393078.0000"|"16638.0000"|"15800.0000"|"1445650.0000"|"1433544.0000"|"-318296.0000"|"-324625.0000"|""|""|""|""|""|""|""|""|""|""|"-318296.0000"|"-324625.0000"|"1127354.0000"|"1108919.0000"
