"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"SCH_O_XII_CBX"|"ACCOUNT"|"FINS_REVIEWED_CBX"|"FINS_AUDITED_CBX"|"OVERSIGHT_COMMITTEE_CBX"|"SCB_STMT_CBX"|"RQ_AUDIT_CBX"|"DID_RQ_AUDIT_CBX"|"REVIEWED_SCB_CBX"|"AUDITED_SCB_CBX"
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|""|"A"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|"Y"|"A"|"Y"|"N"|"Y"|"C"|"N"|""|""|""
"01-0525615"|"Maine Winter Sports Center"|"562836"|""|"A"|"N"|"Y"|"Y"|""|"N"|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|""|"A"|"N"|"Y"|"Y"|""|"N"|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|""|"A"|"N"|"Y"|"N"|"B"|"N"|""|""|""
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|""|"C"|"N"|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"595509"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|""|"C"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
