"C_EIN"|"C_Org_Name"|"SUPPORTED_ORG_ID"|"XML_DOCUMENT_ID"|"NAME"|"EIN"|"TYPE"|"LISTED_CBX"|"NOTIFY_SUPPORT_CBX"|"SUPPORTED_ORG_US_CBX"|"AMOUNT"|"OTHER_SUPPORT"
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"62731"|"621926"|"MAINE DENTAL ASSOCIATION MAINE DENTAL ASSOCIATION"|"01-6019308"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"63357"|"627686"|"CMMC COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"01-0356077"|"2"|"Y"|"Y"|"Y"|"44600.0000"|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"65216"|"636693"|"KALAMAZOO REGIONAL CHAMBER OF COMMERCE KALAMAZOO REGIONAL CHAMBER OF COMMERCE"|"38-0703370"|"9"|"Y"|"Y"|"Y"|"105533.0000"|""
"01-6024421"|"Town of Mount Desert Medical Center"|"65374"|"638159"|"Mount Desert Island Hosp"|"01-0211797"|"Hospital"|"N"|"Y"|"N"|"9318.0000"|""
"01-0242095"|"ROBERT W. TRAIP TRUST"|"65921"|"643657"|"TOWN OF KITTERY, MAINE SCHOOL DEPARTMENT"|"01-0377943"|"6"|"N"|"Y"|"Y"|"70935.0000"|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"66223"|"645408"|"CITY OF HALLOWELL"|"01-6000029"|"6"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"67597"|"659069"|"EASTERN MAINE COMMUNITY COLLEGE"|"01-0416015"|"2"|"N"|""|""|"1491.0000"|""
"01-0459572"|"The Associates of the Osher Map Library"|"71104"|"685664"|"The Osher Map Library at University of Southern Maine"|""|"10"|"Y"|"Y"|"Y"|"54712.0000"|""
"01-0409428"|"SCARBOROUGH ECONOMIC DEV CORP"|"72373"|"696946"|"TOWN OF SCARBORO"|"01-6000367"|"6"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0842036"|"Lutheran Family Services of Colorado Foundation Inc"|"72377"|"696981"|"LUTHERAN SOCIAL SERVICES OF COLORADO"|"84-0775550"|"01"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0816065"|"CFNV CHARITABLE REAL ESTATE FUND"|"72461"|"697774"|"COMMUNITY FOUNDATION OF THE NAPA VALLEY"|"68-0349777"|"8"|"Y"|"Y"|"Y"|"30826.0000"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"73479"|"706842"|"DENNYSVILLE HOUSING"|"01-0532605"|"7"|"N"|""|""|"0.0000"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"73480"|"706842"|"EATON STREET APARTMENTS"|"01-0533868"|"7"|"N"|""|""|"0.0000"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"73481"|"706842"|"MIDDLE RIVER REACH TRAINING CENTER"|"01-0536553"|"9"|"N"|""|""|"0.0000"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"73482"|"706842"|"MILBRIDGE HARBOR APARTMENTS"|"59-3796786"|"7"|"N"|""|""|"28927.0000"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"73483"|"706842"|"MILBRIDGE RESIDENCE, INC"|"01-0507931"|"7"|"N"|""|""|"0.0000"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"73484"|"706842"|"SUNRISE RESIDENCE"|"22-2478230"|"7"|"N"|""|""|"0.0000"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"73485"|"706842"|"WASHINGTON COUNTY RESIDENCES"|"01-0434608"|"7"|"N"|""|""|"0.0000"|""
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"74152"|"713823"|"CITY OF WESTBROOK"|"01-6000038"|"12"|"Y"|"Y"|"Y"|"257525.0000"|""
"01-6013485"|"BANGOR YMCA FOUNDATION"|"74158"|"713912"|"BANGOR YMCA"|"01-0211485"|"9"|"Y"|"Y"|"Y"|"171667.0000"|""
"01-0817571"|"Pepperwood Foundation"|"74466"|"715711"|"Community Foundation of S"|"68-0003212"|"lla"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0817571"|"Pepperwood Foundation"|"74467"|"715711"|"California Academy of Sci"|"94-1156258"|"lla"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"75480"|"725890"|"LIONS VOLUNTEER BLIN D INDUSTRIES INC"|"62-0526643"|"7"|"Y"|""|"Y"|"0.0000"|""
"01-0451663"|"JHA SERVICES"|"76052"|"734874"|"CEDARS NURS ING CARE"|"01-0211517"|"9"|"N"|"Y"|"Y"|"8126555.0000"|""
"01-0451663"|"JHA SERVICES"|"76053"|"734874"|"JHA PROPERT IES"|"01-0510768"|"9"|"N"|"Y"|"Y"|"1908736.0000"|""
"01-0451663"|"JHA SERVICES"|"76054"|"734874"|"JHA ASSISTED LIVING, INC"|"20-1590379"|"9"|"N"|"Y"|"Y"|"369459.0000"|""
"01-0790110"|"EXCELLENCE ACADEMIES FOUNDATION INC"|"76055"|"734887"|"UNCOMMON SCHOOLS INC"|"31-1488698"|"03"|"Y"|"Y"|"Y"|"486626.0000"|""
"01-6009643"|"Academy Trust of Fryeburg"|"76425"|"739070"|"Fryeburg Academy"|"11-0211505"|""|"Y"|"Y"|"Y"|"16941.0000"|""
"01-0621556"|"THE GILL ST. BERNARD'S PARENTS' ASSOCIATION, INC."|"76277"|"739346"|"GILL ST BERNARD ' S SC"|"22-1964930"|"2"|"Y"|"N"|"Y"|"49655.0000"|""
"01-0722629"|"MARIE A. MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"76451"|"741497"|"TIDEWATER JEWISH FOUND"|"54-1653165"|"7"|"Y"|"Y"|"Y"|"23689.0000"|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"76488"|"742151"|"GRANDFATHER HOME FOR CHIL"|"56-0529975"|"9"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"76489"|"742151"|"HOMESFORCHILDREN"|"38-3672492"|"9"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0702442"|"NC IDEA"|"76490"|"742153"|"Council f or Entrepreneur"|"56-1399587"|"11A"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0222130"|"Fair View Hospital, INC."|"77004"|"747793"|"Redington Fairview General Hospital"|"01-0284446"|"3"|"Y"|"Y"|"Y"|"42073.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77104"|"749422"|"Maine General Heal"|""|"7"|"Y"|"Y"|"Y"|"2000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77105"|"749422"|"Big Brothers/Big"|""|"7"|""|"Y"|"Y"|"15000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77106"|"749422"|"Catholic Char ities Ma"|""|"7"|"Y"|"Y"|"Y"|"15000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77107"|"749422"|"Children' s Center"|""|"7"|"Y"|"Y"|"Y"|"10000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77108"|"749422"|"Crisis and Counseling"|""|"7"|"Y"|"Y"|"Y"|"15000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77109"|"749422"|"Fami l y Violence Pro"|""|"7"|"Y"|"Y"|"Y"|"20000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77110"|"749422"|"Girl Scouts of Maine"|""|"7"|"Y"|"Y"|"Y"|"3500.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77111"|"749422"|"Heal thReach RSVP"|""|"7"|"Y"|"Y"|"Y"|"3500.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77112"|"749422"|"Hospice Volunteers S"|""|"7"|"Y"|"Y"|"Y"|"19000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77113"|"749422"|"Hospice Volunteers W"|""|"7"|"Y"|"Y"|"Y"|"17710.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77114"|"749422"|"Kennebec Behavioral H"|""|"7"|"Y"|"Y"|"Y"|"6000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77115"|"749422"|"Kennebec Valley Commu"|""|"7"|"Y"|"Y"|"Y"|"32870.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77116"|"749422"|"Kennebec Valley Denta"|""|"7"|"Y"|"Y"|"Y"|"25000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77117"|"749422"|"Literacy Volunteers o"|""|"7"|"Y"|"Y"|"Y"|"4500.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77118"|"749422"|"Literacy Volunteers o"|""|"7"|"Y"|"Y"|"Y"|"5000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77119"|"749422"|"Maine Children' s H"|""|"7"|"Y"|"Y"|"Y"|"20000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77120"|"749422"|"Heal thReach Network"|""|"7"|"Y"|"Y"|"Y"|"4500.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77121"|"749422"|"Mid Maine Homeless She"|""|"7"|"Y"|"Y"|"Y"|"10000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77122"|"749422"|"Spectrum Generations"|""|"7"|"Y"|"Y"|"Y"|"25000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77123"|"749422"|"Skills, Inc ."|""|"7"|"Y"|"Y"|"Y"|"18000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77124"|"749422"|"Youth & Family Servi"|""|"7"|"Y"|"Y"|"Y"|"29000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77125"|"749422"|"Motivational Services, I"|""|"7"|"Y"|"Y"|"Y"|"3000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77126"|"749422"|"Uni ted Valley Ameri"|""|"7"|"Y"|"Y"|"Y"|"8000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77127"|"749422"|"Alfond Youth Center"|""|"7"|"Y"|"Y"|"Y"|"43000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77128"|"749422"|"Sexual Assault Cris"|""|"7"|"Y"|"Y"|"Y"|"15000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77129"|"749422"|"Central/West ern Maine Wo"|""|"7"|"Y"|"Y"|"Y"|"5000.0000"|""
"01-0233280"|"United Way of Mid-Maine"|"77130"|"749422"|"Maine Chapter, Nat"|""|"7"|"Y"|"Y"|"Y"|"6000.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"77133"|"749444"|"BRIDGTON ACADEMY"|"01-0221344"|"2"|"Y"|""|"Y"|"59508.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"77134"|"749444"|"TOWN OF BRIDGTON ME"|"01-6000082"|"6"|"Y"|""|"Y"|"59508.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"77135"|"749444"|"MSAD #61"|"01-0277584"|"6"|"Y"|""|"Y"|"59508.0000"|""
"01-0724451"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC"|"77136"|"749466"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES"|"23-7042291"|"11A"|"Y"|"Y"|"Y"|"244000.0000"|""
"01-0594994"|"COOPERATIVE HEALTHCARE SERVICES INC"|"78002"|"758144"|"Glynn- Brunswick Mem Hospital Auth"|"58-6000498"|"3"|"Y"|""|""|"0.0000"|""
"01-0962276"|"DRISCOLL HEALTHCARE SERVICES"|"78562"|"768916"|"DRISCOLL CHILDREN'S HOSPITAL"|"74-2577746"|"03"|"Y"|"Y"|"Y"|"7058360.0000"|""
"01-0904664"|"CARLA AND DAVID CRANE FOUNDATION"|"78773"|"776039"|"JEWISH COMMUNITY FEDERATION OF SF"|"94-1156533"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0738748"|"SECOND IMPRESSIONS"|"78973"|"778905"|"KALAMAZOO CHRISTIAN SCHOOL ASSOCIATION KALAMAZOO CHRISTIAN SCHOOL ASSOCIATION"|"38-1871520"|"2"|"Y"|"Y"|"Y"|"550105.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78974"|"778919"|"Amos House"|"06-1186179"|"11a"|"N"|"Y"|"Y"|"53000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78975"|"778919"|"Christian Community Outreach Ministries"|"06-1506692"|"501(c)(3)"|"N"|"Y"|"Y"|"395000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78976"|"778919"|"Young Life Danbury"|"84-0385934"|"11b"|"N"|"Y"|"Y"|"480000.0000"|""
