"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"SUPPLEMENT"
"01-0358152"|"SOUL' S HARBOR, INC ."|"1475934"|""
"01-0376143"|"MAINE AVENUE MANOR, INC"|"1475935"|""
"01-0546698"|"Moosabec Ambulance Service"|"1475936"|""
"01-0561825"|"Abingdon feeder cattle Association"|"1475937"|""
"01-0598493"|"INTERNATIONAL SKATING PROGRAM INC."|"1475938"|""
"01-0651516"|"MOUNTAIN MISSIONS DEVELOPMENT CORPO"|"1475939"|""
"01-0784332"|"SECKMAN ICE HOCKEY CLUB"|"1475941"|""
"01-0957572"|"Marginal Way Preservation Fund"|"1475942"|""
"01-6010461"|"OCEAN VIEW CEMETERY"|"1475944"|""
"01-0132610"|"Orchard Grove Cemetery Association"|"1477490"|""
"01-0320500"|"Evergreen Cemetery Association"|"1477491"|""
"01-0367581"|"BROWNVILLE HOUSING CORPORATION"|"1477492"|""
"01-0448408"|"WISCASSET, WATERVILLE & FARMINGTON RAILWAY MUSEUM"|"1477493"|""
"01-0774338"|"North Ridgeville Amateur Soccer League"|"1477494"|""
"01-0783649"|"Outreach Farm Inc"|"1477495"|""
"01-0793507"|"SOUTH CAROLINA COMMUNITY LOAN FUND (FORMERLY LOWCOUNTRY HOUSING TRUST, INC)"|"1477496"|""
"01-0819638"|"TRANSFORMATIVE INQUIRY DESIGNS FOR EFFECTIVE SCHOOL"|"1477498"|""
"01-0871002"|"Wyoming County Business Center, Inc."|"1477499"|""
"01-6016305"|"EPHRIAN H JOHNSON POST #9 AMERICAN LEGION"|"1477500"|""
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"1477501"|""
"01-0946106"|"Volunteer & Exempt Fireman's Benevolent Assn. of inwood"|"1479050"|""
"01-0353744"|"Christian Fellowship, Inc"|"1481485"|""
"01-0463933"|"The Presque Isle Historical Society"|"1481486"|""
"01-0517028"|"CMP DEATH BENFIT VEBA TRUST"|"1481487"|""
"01-0517029"|"CMP PRM UNION VEBA TRUST"|"1481488"|""
"01-0517035"|"CMP PRM NON-UNION VEBA TRUST"|"1481489"|""
"01-0778962"|"Texas Archive of the Moving Image"|"1481490"|""
"01-0941732"|"Connecticut Catholic Public Affairs Conference, Inc."|"1481491"|""
"01-6007236"|"ST. ANDREWS FREE BED FUND"|"1481492"|""
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"1481493"|""
"02-0239519"|"World Affairs Council of New Hampshire"|"1481494"|""
"01-0527044"|"OCTOBER CORPORATION"|"1482098"|""
"01-0162690"|"Sorrento Village improvement Association"|"1482241"|""
"01-0206454"|"LEDGELAWN CEMETERY INC"|"1485325"|""
"01-0249865"|"Wiscasset Public Library"|"1485326"|""
"01-0356422"|"MOOSEHEAD MARINE MUSEUM"|"1485327"|""
"01-0419157"|"EASTPORT YOUTH ASSOCIATION"|"1485328"|""
"01-0494342"|"Woodie Wheaton Land Trust"|"1485329"|""
"01-0573723"|"VFW POST 34 CANTEEN INC"|"1485330"|""
"01-0598137"|"The Thelma Gaylord Lyric Theatre En"|"1485331"|""
"01-0617953"|"KING OF PEACE EPISCOPAL DAY SCHOOL"|"1485332"|""
"01-0660421"|"Jefferson Street Senior Housing Corporation"|"1485333"|""
"01-0723520"|"Edward M Armfield Sr Civic & Recreation Center"|"1485334"|""
"01-0821110"|"Children of Abraham, Inc."|"1485335"|""
"01-0857922"|"Clock Tower Place Funding Company"|"1485336"|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"1485338"|""
"02-0119917"|"DAVIGNON CLUB, INC ."|"1485339"|""
"02-0209443"|"Veterans of Foreign Wars VFW-NH 808"|"1485340"|""
"01-0377632"|"Maine Harness Horsemen's Association"|"1487088"|""
"01-0764731"|"Texas County museum of Art and History"|"1487091"|""
"01-0716494"|"PINE TOWNSHIP ENGINE COMPANY"|"1488596"|""
"01-0959193"|"INTERNATIONAL UNION, UAW LOCAL 2121"|"1488597"|""
"01-6021794"|"CHARLOTTE HOBBS MEMORIAL LIBRARY"|"1488598"|""
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"1489136"|""
"01-0709830"|"Educational Research Group"|"1489137"|""
"01-0762333"|"RITA PROJECT, INC."|"1489138"|""
"01-0523776"|"Sprinq Point Ledge Light Trust"|"1491449"|""
"01-0178800"|"MID-MAINE CHAMBER OF COMMERCE"|"1494029"|""
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"1494030"|""
"01-0327898"|"CORINNA HOUSING CORPORATION"|"1494031"|""
"01-0329792"|"DELTA AMBULANCE"|"1494032"|""
"01-0418902"|"UNITED BIKERS OF MAINE"|"1494034"|""
"01-0440702"|"Arundel Cemetery Caproration"|"1494035"|""
"01-0478564"|"FRIENDS OF ROCKLAND PUBLIC LIBRARY"|"1494036"|""
"01-0537084"|"Maine Huts & Trails"|"1494037"|""
"01-0562546"|"Shermans Dale Community Fire Co."|"1494038"|""
"01-0562775"|"NJ EMERGENCY PREPAREDNESS ASSN"|"1494039"|""
"01-0589514"|"Green Power EMC"|"1494040"|""
"01-0594671"|"GILEAD COMMUNITY DEVELOPMENT CORP. INC"|"1494041"|""
"01-0638984"|"WEALTH WATCHERS, INC."|"1494042"|""
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"1494043"|""
"01-0654984"|"MHA OF GREATER HOUSTON FOUNDATION, INC."|"1494044"|""
"01-0717158"|"GEORGETOWN COMMUNITY RESOURCE CENTER"|"1494045"|""
"01-0722133"|"Olmsted Community Center"|"1494046"|""
"01-0736958"|"Jersey Agility Association of Central New Jersey"|"1494047"|""
"01-0769456"|"VENTURA HILLSIDES CONSERVANCY"|"1494048"|""
"01-0852125"|"ORGANIZATION OF PJM STATES, INC. (OPSI)"|"1494049"|""
"01-0853006"|"North Park USBC Youth"|"1494050"|""
"01-0855170"|"Catholic Christians Defending Christ & His Church"|"1494051"|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"1494052"|""
"02-0105200"|"ACA ASSURANCE"|"1494053"|""
"01-0313213"|"YORK GOLF & TENNIS CLUB"|"1497735"|""
"01-0693025"|"GILLOURY INSTITUTE"|"1497736"|""
"01-0792511"|"HIGH WAY EDUCATION INC."|"1497738"|""
"01-0838125"|"SAFE FAMILY MINISTIRES"|"1497739"|""
"01-0857925"|"Saugus Plaza Funding Company"|"1497740"|""
"02-0199215"|"UKRAINIAN- AMERICAN CITIZENS CLUB"|"1497742"|""
"02-0225721"|"AMERICAN LEGION RICCIARDI-HARTSHORN POST 23"|"1497744"|""
"01-0227132"|"LE PARESSEUX INC"|"1499912"|""
"01-0564032"|"THE INSTITUTE FOR GIS STUDIES, INC."|"1499913"|""
"01-0603034"|"Rural Health Collaborative of Southern Ohio Inc"|"1499914"|""
"01-0751931"|"UTAH BUSINESS LENDING CORPORATION"|"1499915"|""
"01-0972230"|"JOSEPH OMOSHEWA MINISTRIES WORLDWIDE"|"1499916"|""
"02-0185330"|"Rochester Agncultural and Mechanical Assn."|"1499917"|""
"01-0217234"|"BIDDEFORD POOL YACHT CLUB"|"1501986"|""
"01-0705428"|"Ukrainian Ministry, Inc."|"1501987"|""
"01-0731740"|"Irene's Christian Academy, Inc"|"1501988"|""
"01-0773840"|"Syracuse Community Center Inc"|"1501989"|""
"01-6011528"|"WALTER BISBEE TRUST"|"1501990"|""
"02-0212637"|"VETERANS OF FOREIGN WARS VFW-NH 2520 WHITE MOUNTAIN"|"1501991"|""
"01-0277845"|"Stanwood Wildlife Sanctuary"|"1503086"|""
"01-0349146"|"Newport Public Library Association"|"1503087"|""
"01-0454046"|"Isle an Hart Benelopment Corp"|"1503088"|""
"01-0551364"|"TECH COAST ANGELS INC."|"1503089"|""
"01-0669150"|"GRANTMAKERS FOR EFFECTIVE ORGANIZATIONS"|"1503090"|""
"01-0671151"|"Arnerican Friends of Lucerne Festival, Inc."|"1503091"|""
"01-0721958"|"B-4 SCHOOL OF FAIRLAWN INC."|"1503092"|""
"01-0364856"|"SHRINERS INTERNATIONAL"|"1504857"|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"1504858"|""
"01-0309364"|"Deermg Memonal Post 6859. VFW"|"1506680"|""
"01-0567777"|"Austin Drive Community Development"|"1506681"|""
"01-0605273"|"WE ARE ONE MINISTRIES INC"|"1506683"|""
"01-0644063"|"Berkshire Emergency Squad, Inc"|"1506684"|""
"01-0728162"|"Coalition of Community Development Financial Institutions, Inc."|"1506685"|"Pt II-B Line 1 Congressional briefing & reception"
"01-0868265"|"COVENANTOFLOVEUUL,CORP"|"1506686"|""
"01-6018568"|"THE AMERICAN LEGION"|"1506687"|""
"02-0104257"|"St. John's Masonic Lodge"|"1506689"|""
"02-0119965"|"CLUB MONT ROYAL"|"1506690"|""
"01-0459677"|"YANA INC."|"1511518"|""
"01-0558388"|"The Link"|"1511520"|""
"01-0584486"|"ST. LOUIS SENIOR DOG PROJECT"|"1511521"|""
"01-0656986"|"THE SURF CLUB OF RYE, INC"|"1511522"|""
"01-0863786"|"MANALIVE-SACRAMENTO, INC."|"1511523"|""
"01-0922089"|"GOOSES GAMERS BASEBALL INC"|"1511524"|""
"01-6011388"|"PINE TREE COUNCIL BSATR DTD 1957 449515014"|"1511525"|""
"01-6038550"|"AMERICAN LEGION"|"1511526"|""
"02-0164078"|"Littleton Building Association"|"1511527"|""
"01-0379686"|"Ronald McDonald House of Bangor, Inc."|"1512581"|""
"01-0797012"|"BELOVED RAGAMUFFIN MINISTRY"|"1512582"|""
"01-0963014"|"Coastal Marin Fund"|"1512583"|""
"01-0342596"|"BAR HARBOR HISTORICAL SOCIETY INC"|"1514903"|""
"01-0317698"|"CALAIS METHODIST HOME, INC"|"1519639"|""
"01-0342167"|"PHILLIPS-STRICKLAND HOUSE CORP."|"1519640"|""
"01-0370079"|"HARPSWELL NECK FIRE & RESCUE, INC."|"1519641"|""
"01-0608540"|"SHEPHERDS OF LOVE MINISTRIES, INC."|"1519642"|""
"01-0690242"|"PORTER' S CALL"|"1519643"|""
"01-0887074"|"Angels With A Mission Foundation, Inc."|"1519644"|""
"01-0903800"|"CARMEL IDEAS FOUNDATION"|"1519645"|""
"02-0102440"|"ABENAQUI COUNTRY CLUB, INC."|"1519646"|""
"01-0479444"|"PARENT RESOURCE CENTER"|"1523339"|""
"01-0786632"|"Middle Tennessee Mission Outreach, Inc"|"1523341"|""
"01-0528754"|"THE OPERA HOUSE AT BOOTHBAY HARBOR"|"1524173"|""
"01-0457896"|"C & M CONSULTING AND MANAGEMENT SERVICES"|"1528019"|""
"01-0544282"|"Main Street Bath"|"1528020"|""
"01-0625542"|"SALEM HEALTH AND WELLNESS FOUNDATION INC"|"1528021"|""
"01-0881587"|"SIERRA NEVADA JOURNEYS"|"1529316"|""
"01-0961799"|"Hope Builders International"|"1529317"|""
"01-0909843"|"Friends of Kenya Wildlife Trust"|"1529797"|""
"01-0436739"|"EASTPORT ARTS CENTER"|"1531915"|""
"01-0567853"|"EBENEZER FOUNDATION INC"|"1532293"|""
"01-0687154"|"NORTHEASTERN ECONOMIC DEVELOPMENT COMPANY OF PA"|"1532294"|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"1532295"|""
"01-6015752"|"ARUNDEL LODGE NO 76 AF & AM"|"1532296"|""
"02-0215228"|"AMERICAN LEGION POST #8"|"1532297"|""
"01-0202445"|"Grindstone Association"|"1534045"|""
"01-0226382"|"MAINE OSTEOPATHIC ASSOCIATION"|"1534046"|""
"01-0363316"|"OAKFIELD HOUSING CORPORATION"|"1534047"|""
"01-0447619"|"MAHOOSUC LAND TRUST INC"|"1534048"|""
"01-0688619"|"WHITE OAK GROVE OUTREACH CENTER INC"|"1534051"|""
"01-0881719"|"Fisher House in St Louis"|"1534052"|""
"01-0956221"|"PATRICKSBURG FOOD PANTRY INC"|"1534053"|""
"02-0164055"|"MASONIC BUILDING ASSOCIATION"|"1534054"|""
"01-0697869"|"ATZUM, INC."|"1536011"|""
"01-0211813"|"PENOBSCOT BAY YMCA"|"1536516"|""
"01-0212172"|"WEBBER AVENUE SOCIAL CLUB INC"|"1536517"|""
"01-0246804"|"VNA Home Health & Hospice"|"1536518"|""
"01-0280430"|"FORT KENT HOUSING INC"|"1536519"|""
"01-0287814"|"Caribou Country Club"|"1536520"|""
"01-0523162"|"PSH PROPERTIES II"|"1536521"|""
