"C_EIN"|"C_Org_Name"|"ORG_PAYMENT_ID"|"XML_DOCUMENT_ID"|"ORG_PAYMENT_NAME"|"ORG_PAYMENT_STREET"|"ORG_PAYMENT_CITY"|"ORG_PAYMENT_STATE"|"ORG_PAYMENT_COUNTRY"|"ORG_PAYMENT_ZIP"|"ORG_PAYMENT_EIN"|"ORG_PAYMENT_AMT_PAID"|"ORG_PAYMENT_CONTRIB_RECEIVED"
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"517"|"1558085"|"MAINE ASSOCIATION OF REALTORS PAC"|"19 COMMUNITY DRIVE"|"AUGUSTA"|"ME"|"USA"|"04330"|"02-0623205"|""|"70386"
"01-0383493"|"MAINE PEOPLE'S ALLIANCE"|"1952"|"1658264"|"MPA Campaign Vote"|"c/o 565 Congress St"|"Portland"|"ME"|"USA"|"04101"|"01-0556337"|""|"9342"
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2364"|"1677152"|"NH SENATE DEMOCRATIC CAUCUS"|"107 NORTH MAIN STREET"|"CONCORD"|"NH"|"USA"|"03301"|"02-0473096"|"1000"|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2365"|"1677152"|"CATALDO FOR STATE SENATE"|"107 NORTH MAIN STREET"|"CONCORD"|"NH"|"USA"|"03301"|""|"250"|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2366"|"1677152"|"TAXPAYERS FOR JOHN REAGAN"|"53 MT DELIGHT RD"|"DEERFIELD"|"NH"|"USA"|"03037"|""|"250"|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2367"|"1677152"|"DAVID WATTERS FOR NH STATE SENATE"|"19 MAPLE ST"|"DOVER"|"NH"|"USA"|"03820"|""|"250"|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2368"|"1677152"|"FRIENDS OF NANCY STILES"|"33 NORTH STATE ST"|"CONCORD"|"NH"|"USA"|"03301"|""|"250"|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2369"|"1677152"|"BETTE R LASKY FOR STATE SENATE"|"107 NORTH MAIN STREET"|"CONCORD"|"NH"|"USA"|"03301"|""|"250"|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2370"|"1677152"|"PEGGY GILMOUR FOR NH SENATE"|"126 DEPOT ROAD"|"HOLLIS"|"NH"|"USA"|"03049"|""|"250"|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"2371"|"1677152"|"PRESCOTT FOR STATE SENATE"|"STATEHO USE ROO M 120"|"CONCORD"|"NH"|"USA"|"03301"|""|"250"|""
