"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ENDOW_BOY"|"ENDOW_CONTRIB"|"ENDOW_INVESTMENTS"|"ENDOW_GRANTS"|"ENDOW_OTHER_EXPENSES"|"ENDOW_ADMIN_EXPENSES"|"ENDOW_EOY"|"ENDOW_BOARD_DESIGNATED_EOY"|"ENDOW_PERMANENT_EOY"|"ENDOW_TERM_EOY"|"ENDOW_UNRELATED_ORGS_CBX"|"ENDOW_RELATED_ORGS_CBX"|"ENDOW_SCHEDR_CBX"
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"185000.0000"|""|""|""|""|""|"185000.0000"|""|"100.00"|""|"N"|"N"|"N"
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"6442100.0000"|""|"620488.0000"|""|"250000.0000"|"41067.0000"|"6771521.0000"|"100.00"|""|""|"N"|"N"|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"1205270.0000"|"3901.0000"|"194043.0000"|"37618.0000"|""|"33316.0000"|"1332280.0000"|"1.41"|"54.80"|"43.79"|"N"|"N"|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"1643822.0000"|"14148.0000"|"93134.0000"|""|""|""|"1751104.0000"|"14.13"|"85.87"|"0.00"|"N"|"N"|""
"01-0358732"|"MOBIUS INC"|"631560"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0388637"|"New England Baptist Bible College"|"631562"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0262323"|"Northern Maine General"|"636949"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0052260"|"Cumberland Club"|"638152"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0532835"|"SAFE PASSAGE"|"639788"|"2825337.0000"|"13393.0000"|"418472.0000"|""|"117000.0000"|""|"3140202.0000"|"54.00"|"46.00"|""|"N"|"N"|"N"
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"284471.0000"|"0.0000"|"44363.0000"|"9062.0000"|""|""|"319772.0000"|""|""|"100.00"|"N"|"N"|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|"437521.0000"|"565.0000"|""|""|""|""|"438086.0000"|""|""|""|"N"|"N"|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0279587"|"Waban Projects Inc"|"685657"|"1483933.0000"|""|"277604.0000"|""|""|""|"1761537.0000"|"81.10"|"18.90"|""|"N"|"N"|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369660"|"Work First Inc"|"685662"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"696898"|"6836426.0000"|""|"102596.0000"|""|"24306.0000"|"38083.0000"|"6876633.0000"|"89.52"|"10.48"|""|"N"|"N"|""
"01-0223879"|"SKOWHEGAN STATE FAIR"|"696910"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0237244"|"LEE ACADEMY"|"696914"|"1062928.0000"|"29767.0000"|"183629.0000"|"20654.0000"|""|""|"1255670.0000"|"8.47"|"82.65"|"8.88"|"N"|"N"|""
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYSTEM INC"|"696937"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0378246"|"Southern Maine Regional Planning Commission, Inc."|"696939"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0445163"|"Anson Madison Starks Ambulance"|"696948"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"696950"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0520531"|"SOUTHERN MAINE COMMUNITY COLLEGE FOUNDATION"|"696952"|"438092.0000"|"11252.0000"|"100085.0000"|"14045.0000"|""|""|"535384.0000"|""|"87.44"|"12.56"|"N"|"N"|"N"
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"696957"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"696966"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0771157"|"ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC"|"696974"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"696983"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010284"|"SCARBOROUGH PUBLIC LIBRARY"|"696989"|"33099.0000"|"2555.0000"|"10275.0000"|""|""|""|"45929.0000"|""|"100.00"|""|"N"|"N"|""
"01-0364464"|"Vose Library"|"697765"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"704923"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0554275"|"CHARLOTTE ARTSFEST, INC."|"706109"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211512"|"Home for the Aged"|"706784"|"6291101.0000"|"114366.0000"|"1190329.0000"|""|""|""|"7595796.0000"|"41.00"|"12.00"|"47.00"|"N"|"N"|""
"01-0276272"|"GREATER PORTLAND LANDMARKS, INC."|"706789"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0322532"|"DAY ONE"|"706793"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"706797"|"21877.0000"|""|""|""|"-492.0000"|""|"22369.0000"|""|"100.00"|""|"N"|"N"|""
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY, MAINE"|"706802"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0450803"|"MAINE NATIONAL GUARD FOUNDATION FUND"|"706806"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"706809"|""|""|""|""|""|""|""|""|""|""|""|""|""
