"C_EIN"|"C_Org_Name"|"SCHED_D_PART_VII_ID"|"xml_document_id"|"DESCRIPTION_SECURITY"|"METHOD_EOY_MARKET_VALUE"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"42669"|"590190"|"STOCKS AND SECURITIES"|"END-OF-YEAR MARKET VALUE"
"02-0147630"|"HOLDERNESS SCHOOL"|"50356"|"635250"|"INVESTMENTS - SECURITIES"|"F"
"02-0147630"|"HOLDERNESS SCHOOL"|"50357"|"635250"|"BENEFICIAL INTEREST IN CHARITABLE REMAINDER TRUSTS"|"F"
"01-6024421"|"Town of Mount Desert Medical Center"|"51034"|"638159"|"Cash & Cash Equivalents"|"Cost"
"01-6024421"|"Town of Mount Desert Medical Center"|"51035"|"638159"|"75,000 IBM Int'l Group Capital 5.050%"|"End-of-Year Market Value"
"01-6024421"|"Town of Mount Desert Medical Center"|"51036"|"638159"|"915 shs iShares Barclays US Tip Bond Fund"|"End-of-Year Market Value"
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"54189"|"659069"|"FIXED INCOME SECURITIES"|"END OF YEAR MARKET VALUE"
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"54700"|"663123"|"PUBLICLY TRADED SECURITIES"|"END-OF-YEAR MARKET VALUE"
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"55104"|"662304"|"MORGAN STANELY SMITH BARNEY ACCOUNT"|"END-OF-YEAR MARKET VALUE"
"01-0568739"|"Korean American Foundation - Greater Washington"|"57897"|"677037"|"Certificate of Deposit"|"End-of-Year Market Value"
"01-0279587"|"Waban Projects Inc"|"60122"|"685657"|"Publicly traded securities"|"F"
"01-0279587"|"Waban Projects Inc"|"60123"|"685657"|"Mutual funds"|"F"
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERED BOARDS"|"61005"|"693293"|"CERTIFICATE OF DEPOSIT"|"END-OF-YEAR MARKET VALUE"
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"61073"|"693272"|"MUTUAL FUNDS"|"FMV"
"01-0211570"|"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF CENTRAL MAINE"|"61685"|"696904"|"BENEFICIAL INTEREST IN IRREVOCABLE TRUST"|"END-OF-YEAR MARKET VALUE"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"61687"|"696907"|"CASH RESERVE FUNDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"61688"|"696907"|"MUTUAL FUNDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"61689"|"696907"|"BONDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"61690"|"696907"|"STOCKS"|"F"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"61691"|"696908"|"UBS PAINEWEBBER"|"END OF YEAR MARKET VALUE"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"61692"|"696908"|"VANGUARD INDEX TRUST"|"END OF YEAR MARKET VALUE"
