"C_EIN"|"C_Org_Name"|"SCHED_D_PART_VIII_ID"|"xml_document_id"|"DESCRIPTION_INVESTMENT"|"METHOD_EOY_MARKET_VALUE"
"01-0702102"|"UNIVEST FOUNDATION"|"14717"|"696972"|"BONDS"|"F"
"01-0702102"|"UNIVEST FOUNDATION"|"14718"|"696972"|"STOCKS"|"F"
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"15051"|"704923"|"INVESTMENT"|"COST"
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"15074"|"706809"|"Mutual funds"|"End-of-Year Market Value"
"01-0360072"|"SMALL WOODLAND OWNERS ASSOCIATION OF MAINE"|"15696"|"724479"|"LAND"|"C"
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS INC"|"15743"|"725894"|"there are no investments"|"End-of-Year Market Value"
"01-0449761"|"FREEPORT HOUSING TRUST INC"|"15896"|"734873"|"FHT HOLDINGS"|"C"
"01-0449761"|"FREEPORT HOUSING TRUST INC"|"15897"|"734873"|"INVENTORY - CONDOMINIUMS"|"C"
"01-0790110"|"EXCELLENCE ACADEMIES FOUNDATION INC"|"15898"|"734887"|"ESCROW RESERVE ACCOUNTS"|"F"
"01-0790110"|"EXCELLENCE ACADEMIES FOUNDATION INC"|"15899"|"734887"|"ASSETS HELD FOR SALE, NET"|"F"
"01-0594994"|"COOPERATIVE HEALTHCARE SERVICES INC"|"16470"|"758144"|"Program Related - Investments"|"C"
"01-0376664"|"MAINE ELKS ASSOCIATION"|"16657"|"768844"|"EQUITY INVESTMENTS AT FMV"|"FMV"
"01-6023748"|"Penguis C.A.P., Inc."|"16852"|"778928"|"1/3 interest in WHP, LLC"|"Cost"
"01-6023748"|"Penguis C.A.P., Inc."|"16853"|"778928"|"Deferred development fees"|"Cost"
"01-6023748"|"Penguis C.A.P., Inc."|"16854"|"778928"|"Interest in MaineStream Finance"|"Cost"
"01-6023748"|"Penguis C.A.P., Inc."|"16855"|"778928"|"Interest in Penguis Development, Inc."|"Cost"
"01-6023748"|"Penguis C.A.P., Inc."|"16856"|"778928"|"MoM CAP. LLC 50% Interest"|"Cost"
"01-6023748"|"Penguis C.A.P., Inc."|"16857"|"778928"|"Penguis Home Performance, Inc."|"Cost"
"01-6023748"|"Penguis C.A.P., Inc."|"16858"|"778928"|"Penguis Housing Inc."|"Cost"
"01-0360259"|"Southern Maine Agency on Aging"|"17164"|"794129"|"Dodge & Cox Rose Fund"|"End-of-Year Market Value"
"01-0360259"|"Southern Maine Agency on Aging"|"17165"|"794129"|"Dodge & Cox Endowment"|"End-of-Year Market Value"
"01-0360259"|"Southern Maine Agency on Aging"|"17166"|"794129"|"Dodge & Cox Merrill Fund"|"End-of-Year Market Value"
"01-0441147"|"HABITAT FOR HUMANITY OF GREATOR BANGOR"|"17405"|"806904"|"Mortgage Receviables"|"C"
"01-0554709"|"FLORIDA PROTON THERAPY INSTITUTE INC"|"17794"|"821365"|"PROJECT FUND"|"F"
"01-0554709"|"FLORIDA PROTON THERAPY INSTITUTE INC"|"17795"|"821365"|"DEBT SERVICE RESERVE FUND"|"F"
"01-0554709"|"FLORIDA PROTON THERAPY INSTITUTE INC"|"17796"|"821365"|"BOND PROCEEDS FUND"|"F"
"01-0531191"|"Caribou Economic Growth Council foImerly Caribou Chamber of Commerce & I"|"18538"|"838414"|"Development lots"|"Cost"
"01-0211508"|"Good Will Home Association"|"18993"|"847931"|"Real Estate"|"F"
"01-0424969"|"COMMUNITY CONCEPTS INC"|"19345"|"860418"|"EQUITY INVESTMENT IN LIMITED PARTNERSHIPS"|"C"
"01-0424969"|"COMMUNITY CONCEPTS INC"|"19346"|"860418"|"INVESTMENT IN AFFILIATE - COMMUNITY CONCEPTS HOUSING CORP"|"C"
"02-0222215"|"ST JOSEPH HPSPITAL"|"20696"|"889826"|"Investmant in subsidiaries"|"C"
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"22920"|"931599"|"CERTIFICATES OF DEPOSIT"|"F"
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"22921"|"931599"|"BENEFICIARY INTEREST IN ESTATE TRUST"|"F"
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"22922"|"931599"|"OTHER FOUNDATION ASSETS"|"F"
"01-0598137"|"The Thelma Gaylord Lyric Theate End"|"23754"|"955135"|"Fixed income securities"|"End-of-year market value"
"01-0598137"|"The Thelma Gaylord Lyric Theate End"|"23755"|"955135"|"Equitites"|"End-of-year market value"
"01-0598137"|"The Thelma Gaylord Lyric Theate End"|"23756"|"955135"|"Miscellaneous"|"End-of-year market value"
"01-0598137"|"The Thelma Gaylord Lyric Theate End"|"23757"|"955135"|"Cash & Equivalents"|"End-of-year market value"
"01-0702102"|"UNIVEST FOUNDATION"|"24625"|"976877"|"BONDS"|"F"
"01-0702102"|"UNIVEST FOUNDATION"|"24626"|"976877"|"STOCKS"|"F"
"01-0702102"|"UNIVEST FOUNDATION"|"24627"|"976877"|"LIMITED PARTNERSHIPS"|"F"
"01-0702102"|"UNIVEST FOUNDATION"|"24628"|"976877"|"OTHER INVESTMENTS"|"F"
"01-0803117"|"ATRIUS HEALTH INC"|"24720"|"979405"|"VENTURE 2-BRN, LLC (AT EQUITY) -MRI SERVICES"|"C"
"01-0803117"|"ATRIUS HEALTH INC"|"24721"|"979405"|"VENTURE 3-WW, LLC (AT EQUITY) -CATSCAN & COLOGY SERVICES"|"C"
