"C_EIN"|"C_Org_Name"|"INDIV_GRANT_ID"|"XML_DOCUMENT_ID"|"IND_GRANT_TYPE"|"IND_REGION"|"IND_NUM_RECIPIENTS"|"IND_CASH_GRANT"|"IND_DISBURSE_MANNER"|"IND_NON_CASH_ASSIST"|"IND_NON_CASH_DESCR"|"IND_METHOD_VALUE"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"762"|"1170911"|"Missionary Support"|"Central America and the Caribbean"|"2"|"40123.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"763"|"1170911"|"Missionary Support"|"Europe"|"6"|"96183.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"764"|"1170911"|"Missionary Support"|"East Asia and the Pacific"|"2"|"8751.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"765"|"1170911"|"Missionary Support"|"South Asia"|"1"|"7361.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"766"|"1170911"|"Missionary Support"|"Sub-Saharan Africa"|"1"|"34.0000"|"wire/check"|""|""|""
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"1180"|"1204090"|"TRAINING OF CHRISTIAN LEADERS"|"SUB-SAHARAN AFRICA"|"2"|"6600.0000"|"CHECK"|""|""|"FMV"
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"1181"|"1204090"|"TRAINING OF CHRISTIAN LEADERS"|"LATIN AMERICA"|"2"|"18100.0000"|"CHECK"|""|""|"FMV"
"01-0794834"|"International Society for Autism Research"|"2254"|"1301397"|"Awards are provided to those Professionals fron Developing Countries"|"Middle East and North Africa"|"2"|"2000.0000"|""|""|""|""
"01-0794834"|"International Society for Autism Research"|"2255"|"1301397"|"Awards are provided to those Professionals fron Developing Countries"|"South America"|"2"|"2000.0000"|""|""|""|""
"01-0794834"|"International Society for Autism Research"|"2256"|"1301397"|"Awards are provided to those Professionals fron Developing Countries"|"Sub-Saharan Africa"|"1"|"1000.0000"|""|""|""|""
"01-0794834"|"International Society for Autism Research"|"2257"|"1301397"|"Awards are provided to those Professionals fron Developing Countries"|"East Asia and the iPacific"|"3"|"3000.0000"|""|""|""|""
"01-0794834"|"International Society for Autism Research"|"2258"|"1301397"|"Awards are provided to those Professionals fron Developing Countries"|"South Asia 1"|"2"|"2000.0000"|""|""|""|""
"01-0794834"|"International Society for Autism Research"|"2259"|"1301397"|"Awards are provided to those Professionals fron Developing Countries"|"Russia & the Newly Independent States"|"1"|"1000.0000"|""|""|""|""
"01-0415961"|"Veterans For Peace Inc"|"2869"|"1349311"|"Faiza H Y Alaraj"|"Middle East and North Africa"|"1"|"17960.0000"|"Check Wire"|""|""|"Fair market value"
"01-0391479"|"Maine Community Foundation Inc"|"3665"|"1383881"|"Scholarship awards for Maine students studying abroad"|"Central America and the Caribbean"|"3"|"6200.0000"|"Check"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"3666"|"1383881"|"Scholarship awards for Maine students studying abroad"|"East Asia and the Pacific"|"1"|"456.0000"|"Check"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"3667"|"1383881"|"Scholarship awards for Maine students studying abroad"|"Sub-Saharan Afnca"|"1"|"912.0000"|"Check"|""|""|""
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"4345"|"1413937"|"INCOME ASSISTANCE TO OVERSEE ORPHANAGE IN BRITO INCOME ASSISTANCE TO OVERSEE A SCHOOL"|"GUATEMALA"|"25"|"110505.0000"|"CHECKS"|""|""|"COST"
"01-0896501"|"US CENTRAL ASIA EDUCATION FOUNDATION"|"4643"|"1421038"|"FINANCIAL NEED BASED SCHOLARSHIPS FOR ACADEMICALLY QUALIFIED CITICEN RESIDENTS OF CENTRAL"|"RUSSIA AND THE N E WLY INDEPENDENT STATES"|"136"|"850731.0000"|"PAYMENTSDISBURSED THROUGHTHE AMERICAN COUNCILS"|""|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4793"|"1428062"|"Need based financial aid"|"Europe (including Iceland and Greenland)"|"69"|"1029797.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4794"|"1428062"|"Need based financial aid"|"East Asia and the Pacific"|"19"|"223973.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4795"|"1428062"|"Need based financial aid"|"Sub-Saharan Africa"|"8"|"105662.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4796"|"1428062"|"Need based financial aid"|"South Asia"|"5"|"46804.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4797"|"1428062"|"Need based financial aid"|"Middle East and North Africa"|"3"|"23957.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4798"|"1428062"|"Need based financial aid"|"South America"|"2"|"10441.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4799"|"1428062"|"Need based financial aid"|"Central America and the Caribbean"|"1"|"8411.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"4800"|"1428062"|"Need based financial aid"|"North America (including Canada and Mexico, but not the United States)"|"1"|"1927.0000"|"Checks and wire"|"0.0000"|""|""
"01-0211532"|"KENTS HILL SCHOOL"|"5367"|"1454551"|"STUDENT FINANCIAL AID"|"EUROPE"|"4"|"83500.0000"|""|""|"SCHOLARSHIP"|""
"01-0211532"|"KENTS HILL SCHOOL"|"5368"|"1454551"|"STUDENT FINANCIAL AID"|"NORTH AMERICA (EXCLUDING UNITED STATES)"|"15"|"469200.0000"|""|""|"SCHOLARSHIP"|""
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"6320"|"1494043"|"Financial aid-student"|"East Asia and the Pacific"|"300"|"21659.0000"|"cash payment"|""|""|""
