"C_EIN"|"C_Org_Name"|"COMPANY_ID"|"XML_DOCUMENT_ID"|"COMPANIES_NAME"|"COMPANIES_ACTIVITY"|"COMPANIES_ORG_PROFIT"|"COMPANIES_OFFICER_PROFIT"|"COMPANIES_PHYSICIAN_PROFIT"
"01-0211503"|"Franklin Memorial Hospital"|"2012"|"788101"|"1 Western Maine PHO"|"Physician Hospital Organization"|"50.00"|"0.00"|"0.00"
"01-0211503"|"Franklin Memorial Hospital"|"2013"|"788101"|"2 Scorekeeper LLC"|"Wellness Software"|"40.00"|"0.00"|"0.00"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"2020"|"789821"|"1 CANCER CARE CENTER OF YORK COUNTY"|"SUPPORT AND PERFORM MEDICAL PROCEEDURES FOR CANCER PATIENTS"|"33.33"|"0.00"|"0.00"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"2021"|"789821"|"2 GSM REALTOR INC"|"REAL ESTATE HOLDING COMPANY"|"33.33"|"0.00"|"0.00"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"2022"|"789821"|"3 GOODALL HOSPITAL REAL ESTATE HOLDING CO LLC"|"REAL ESTATE HOLDING COMPANY"|"100.00"|"0.00"|"0.00"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"2023"|"789821"|"4 WATERBORO MEDICAL OFFICE BUILDING LLC"|"REAL ESTATE HOLDING COMPANY"|"100.00"|"0.00"|"0.00"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"2024"|"789821"|"5 GOODALL HOSPITAL MEDICAL OFFICE BUILDING LLC"|"REAL ESTATE HOLDING COMPANY"|"100.00"|"0.00"|"0.00"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"2025"|"789821"|"6 PINE TREE INSURANCE A RECIPROCAL RISK RETENTION GROUP"|"PROVIDE MALPRACTICE INSURANCE FOR A GROUP OF HEALTH CARE PROVIDERS"|"25.86"|"0.00"|"0.00"
"02-0222215"|"ST JOSEPH HPSPITAL"|"2725"|"889826"|"FIRST CHOICE PHO"|"Physician hospital organization"|"50.00"|""|"50.00"
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"2733"|"908689"|"1 UNITED AMBULANCE"|"AMBULANCE SERVICE"|"50.00"|"0.00"|"0.00"
"01-0211503"|"Franklin Memorial Hospital"|"3329"|"1065624"|"1 Western Maine PHO"|"Physician Hospital Organizaiton"|"50.00"|"0.00"|"0.00"
