"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PROVIDE_DESCRIPTION"|"NEEDS_ASSESSMENT"|"PATIENT_EDUCATION"|"COMMUNITY_INFORMATION"|"COMMUNITY_ACIVITIES"|"OTHER_INFORMATION"|"AFFILIATED_SYSTEM"|"IDENTIFY_STATES"|"SUPPLEMENTAL_INFORMATION"|"FRG_DESCR"
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|""|""|""|""|""|""|""|""|""|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|""|""|""|""|""|""|""|""|""|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|""|""|""|""|""|""|""|""|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|""|""|""|""|""|""|""|""|""|""
"01-0525615"|"Maine Winter Sports Center"|"562836"|""|""|""|""|""|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|""|""|""|""|""|""|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|""|""|""|""|""|""|""|""|""|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|""|""|""|""|""|""|""|""|""|""
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|""|""|""|""|""|""|""|""|""|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|""|""|""|""|""|""|""|""|""|""
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|""|""|""|""|""|""|""|""|""|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|""|""|""|""|""|""|""|""|""|""
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|""|""|""|""|""|""|""|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|""|""|""|""|""|""|""|""|""|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|""|""|""|""|""|""|""|""|""|""
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|""|""|""|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"595509"|""|""|""|""|""|""|""|""|""|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|""|""|""|""|""|""|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|""|""|""|""|""|""|""|""|""|""
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|""|""|""|""|""|""|""|""|""|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|""|""|""|""|""|""|""|""|""|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|""|""|""|""|""|""|""|""|""|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|""|""|""|""|""|""|""|""|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|""|""|""|""|""|""|""|""|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|""|""|""|""|""|""|""|""|""|""
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|""|""|""|""|""|""|""|""|""|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|""|""|""|""|""|""|""|""|""|""
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|""|""|""|""|""|""|""|""|""|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|""|""|""|""|""|""|""|""|""|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|""|""|""|""|""|""|""|""|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|""|""|""|""|""|""|""|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|""|""|""|""|""|""|""|""|""
"01-0215910"|"Bangor Humane Society"|"620171"|""|""|""|""|""|""|""|""|""|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|""|""|""|""|""|""|""|""|""|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|""|""|""|""|""|""|""|""|""|""
"01-0509802"|"CAFE, INC."|"620175"|""|""|""|""|""|""|""|""|""|""
"01-0538232"|"Big Rock"|"620176"|""|""|""|""|""|""|""|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|""|""|""|""|""|""|""|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|""|""|""|""|""|""|""|""|""|""
"01-0733041"|"SARASOTA CREW, INC"|"620180"|""|""|""|""|""|""|""|""|""|""
"01-0785049"|"Queens Community Center, Inc."|"620181"|""|""|""|""|""|""|""|""|""|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|""|""|""|""|""|""|""|""|""|""
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|""|""|""|""|""|""|""|""|""|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|""|""|""|""|""|""|""|""|""|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|""|""|""|""|""|""|""|""|""|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|""|""|""|""|""|""|""|""|""|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|""|""|""|""|""|""|""|""|""|""
