"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"NUM_FACILITIES"
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"758140"|"11"
"01-0211503"|"Franklin Memorial Hospital"|"788101"|"1"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"789821"|"10"
"01-0198331"|"Maine Coast Regional Health Facilities"|"794104"|"1"
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"821370"|"1"
"01-0130427"|"BRIDGTON HOSPITAL"|"824297"|"1"
"01-0215227"|"RUMFORD HOSPITAL"|"824300"|"1"
"02-0223321"|"COTTAGE HOSPITAL"|"824316"|"1"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"839051"|"1"
"01-0223482"|"Millinocket Regional Hospital"|"839061"|"1"
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"839098"|"1"
"01-0153960"|"ST ANDREWS HOSPITAL"|"853594"|"1"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"853837"|"1"
"01-0234189"|"Northern Maine Medical Center"|"855113"|"2"
"01-0459837"|"Acadia Hospital Corporation"|"855127"|"1"
"02-0222157"|"Monadnock Community Hospital"|"855150"|"1"
"01-0212444"|"York Hospital"|"860415"|"7"
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"860416"|"1"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"862775"|"1"
"01-0211501"|"Eastern Maine Medical Center"|"862777"|"1"
"01-0211796"|"MILES MEMORIAL HOSPITAL"|"862779"|"1"
"01-0215911"|"Mid Coast Hospital"|"862780"|"12"
"01-0217211"|"INLAND HOSPITAL"|"862781"|"1"
"01-0219904"|"STEPHENS MEMORIAL HOSPITAL ASSOC"|"862782"|"1"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"862783"|"1"
"01-0524834"|"SPRING HARBOR HOSPITAL"|"862795"|"1"
"01-0829282"|"GOOD SHEPHERD MEDICAL CENTER-LINDEN"|"862801"|"1"
"02-0222131"|"FRISBIE MEMORIAL HOSPITAL"|"862805"|"1"
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"867258"|"6"
"02-0222215"|"ST JOSEPH HPSPITAL"|"889826"|"1"
"01-0212435"|"St Joseph Hospital"|"902670"|"1"
