"C_EIN"|"C_Org_Name"|"FACILITY_ID"|"XML_DOCUMENT_ID"|"FACILITY_NAME"|"FACILITY_STREET"|"FACILITY_CITY"|"FACILITY_STATE"|"FACILITY_COUNTRY"|"FACILITY_ZIP"|"FACILITY_LICENSED_CBX"|"FACILITY_GENERAL_CBX"|"FACILITY_CILDRENS_CBX"|"FACILITY_TEACHING_CBX"|"FACILITY_CRITCAL_CBX"|"FACILITY_RESEARCH_CBX"|"FACILITY_ER24_CBX"|"FACILITY_ER_OTHER_CBX"|"FACILITY_DESCRIPTION"|"LINE_NUM"|"WEBSITE"|"FRG_ID"|"SLN"
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15119"|"758140"|"Mount Desert Island Hospital"|"P O Box 8"|"Bar Harbor"|"ME"|"USA"|"04609-0008"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"1"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15120"|"758140"|"CadiIlac Family Practice and Behavioral Health Center"|"322 Main Street"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"2"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15121"|"758140"|"Cooper Gilmore Health Center"|"17 Hancock Road"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"3"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15122"|"758140"|"Trenton Health Center"|"394 Bar Harbor Center"|"Trenton"|"ME"|"USA"|"04605"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"4"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15123"|"758140"|"Community Health Center"|"16 Community Lane"|"Southwest Harbor"|"ME"|"USA"|"04679"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"5"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15124"|"758140"|"Family Health Center"|"9 Hancock Road"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"6"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15125"|"758140"|"Women's Health Center"|"8 Wayman Lane"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"7"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15126"|"758140"|"Northeast Harbor Clinic"|"Kimball Road"|"Northeast Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"8"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15127"|"758140"|"MDI Orthodpedic Clinic"|"10 Wayman Lane"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"9"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15128"|"758140"|"MDI Dermatology Clinic"|"322 Main Street"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"10"|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"15129"|"758140"|"MDI Urology Clinic"|"322 Main Street"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|""|"Outpatient Clinic"|"11"|""|""|""
"01-0211503"|"Franklin Memorial Hospital"|"15248"|"788101"|"Franklin Memorial Hospital"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15278"|"789821"|"HENRIETTA D GOODALL HOSPITAL INC"|"25 JUNE STREET"|"SANFORD"|"ME"|"USA"|"04073"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15279"|"789821"|"NEWTON CENTER (ELDER CARE)"|"35 JULY STREET"|"SANFORD"|"ME"|"USA"|"04073"|""|""|""|""|""|""|""|""|"NURSING HOME"|"2"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15280"|"789821"|"GOODALL HEALTH PARTNERS"|"25 JUNE STREET"|"SANFORD"|"ME"|"USA"|"04073"|""|""|""|""|""|""|""|""|"PHYSICIAN PRACTICES"|"3"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15281"|"789821"|"WELLNESS CENTER"|"13 JULY STREET"|"SANFORD"|"ME"|"USA"|"04073"|""|""|""|""|""|""|""|""|"CLINIC"|"4"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15282"|"789821"|"GOODALL HEALTH PARTNERS"|"10 GOODALL DRIVE"|"EAST WATERBORO"|"ME"|"USA"|"04070"|""|""|""|""|""|""|""|""|"PHYSICIAN PRACTICES"|"5"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15283"|"789821"|"GOODALL HEALTH PARTNERS"|"272 COTTAGE STREET"|"SANFORD"|"ME"|"USA"|"04073"|""|""|""|""|""|""|""|""|"PHYSICIAN PRACTICES"|"6"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15284"|"789821"|"THE MEDICAL GROUP"|"2 LIVEWELL DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|""|""|""|""|""|""|""|""|"PHYSICIAN PRACTICES"|"7"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15285"|"789821"|"COMMUNITY SERVICES"|"15 DAIGLE STREET"|"SANFORD"|"ME"|"USA"|"04073"|""|""|""|""|""|""|""|""|"COMMUNITY PROGRAMS"|"8"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15286"|"789821"|"OCCUPATIONAL HEALTH SERVICES"|"2 LIVEWELL DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|""|""|""|""|""|""|""|""|"PHYSICIAN PRACTICES"|"9"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"15287"|"789821"|"GOODALL HEALTH CLINICS"|"2 LIVEWELL DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|""|""|""|""|""|""|""|""|"CLINIC"|"10"|""|""|""
"01-0198331"|"Maine Coast Regional Health Facilities"|"15355"|"794104"|"Maine Coast Memorial Hospital"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"15484"|"821370"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"10501 E 91ST STREET"|"TULSA"|"OK"|"USA"|"74133"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0130427"|"BRIDGTON HOSPITAL"|"15605"|"824297"|"BRIDGTON HOSPITAL"|"10 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0215227"|"RUMFORD HOSPITAL"|"15606"|"824300"|"RUMFORD HOSPITAL"|"420 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"02-0223321"|"COTTAGE HOSPITAL"|"15607"|"824316"|"COTTAGE HOSPITAL"|"SWIFTWATER ROAD"|"WOODSVILLE"|"NH"|"USA"|"03785"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"16232"|"839051"|"CENTRAL MAINE MEDICAL CENTER"|"300 MAIN STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"Y"|"Y"|""|"Y"|""|""|"Y"|""|""|"1"|""|""|""
"01-0223482"|"Millinocket Regional Hospital"|"16233"|"839061"|"Millinocket Regional Hospital"|"200 Somerset Street"|"Millinocket"|"ME"|"USA"|"04462"|"Y"|""|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"16240"|"839098"|"EAST MOUNTAIN HOSPITAL INC"|"PO BOX 1029"|"BELLE MEAD"|"NJ"|"USA"|"08502-1029"|"Y"|""|""|""|""|""|""|""|""|"1"|""|""|""
"01-0153960"|"ST ANDREWS HOSPITAL"|"16740"|"853594"|"ST ANDREWS HOSPITAL"|"6 ST ANDREWS LANE"|"BOOTHBAY HARBOR"|"ME"|"USA"|"04538"|"Y"|""|""|""|"Y"|""|""|""|""|"1"|""|""|""
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"16782"|"853837"|"Sebasticook Valley Health"|"447 North Main Street"|"Pittsfield"|"ME"|"USA"|"04967"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|"Licensed Hospital"|"1"|""|""|""
"01-0234189"|"Northern Maine Medical Center"|"16850"|"855113"|"Northern Maine Medical Center"|"194 East Main Street"|"Fort Kent"|"ME"|"USA"|"04743"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0234189"|"Northern Maine Medical Center"|"16851"|"855113"|"Forest Hill"|"20 Bolduc Avenue"|"Fort Kent"|"ME"|"USA"|"04743"|""|""|""|""|""|""|""|"Y"|"Licensed Hospital Related Facility"|"2"|""|""|""
"01-0459837"|"Acadia Hospital Corporation"|"16852"|"855127"|"Acadia Hospital Corporation"|"268 Stillwater Ave"|"Bangor"|"ME"|"USA"|"04401"|"Y"|""|""|""|""|""|""|""|""|"0"|""|""|""
"02-0222157"|"Monadnock Community Hospital"|"16855"|"855150"|"Monadnock Community Hospital"|"452 Old Street Road"|"Peterborough"|"NH"|"USA"|"03458"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0212444"|"York Hospital"|"16953"|"860415"|"York Hospital"|"15 Hospital Dr"|"York"|"ME"|"USA"|"03909"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0212444"|"York Hospital"|"16954"|"860415"|"Heart Health Institute Oncology Services"|"127 Long Sands Rd"|"York"|"ME"|"USA"|"03909"|""|"Y"|""|""|""|""|""|""|""|"2"|""|""|""
"01-0212444"|"York Hospital"|"16955"|"860415"|"Wells Medical Services"|"112-114 Sanford Rd"|"Wells"|"ME"|"USA"|"04090"|""|"Y"|""|""|""|""|""|""|""|"3"|""|""|""
"01-0212444"|"York Hospital"|"16956"|"860415"|"South Berwick Medical Services"|"57 Portland St"|"South Berwick"|"ME"|"USA"|"03908"|""|"Y"|""|""|""|""|""|""|""|"4"|""|""|""
"01-0212444"|"York Hospital"|"16957"|"860415"|"Berwick Medical Services"|"4 Dana Dr"|"Berwick"|"ME"|"USA"|"03901"|""|"Y"|""|""|""|""|""|""|""|"5"|""|""|""
"01-0212444"|"York Hospital"|"16958"|"860415"|"Kittery Medical Services"|"75 US Rt 1"|"Kittery"|"ME"|"USA"|"03904"|""|"Y"|""|""|""|""|""|""|""|"6"|""|""|""
"01-0212444"|"York Hospital"|"16959"|"860415"|"York Outpatient Physical Therapy"|"16 Long Sands Rd"|"York"|"ME"|"USA"|"03909"|""|"Y"|""|""|""|""|""|""|""|"7"|""|""|""
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"16960"|"860416"|"REDINGTON-FAIRVIEW GENERAL HOS"|"46 FAIRVIEW AVENUE PO BOX 468"|"SKOWHEGAN"|"ME"|"USA"|"04976"|"Y"|""|""|""|"Y"|""|""|""|""|"0"|""|""|""
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"17107"|"862775"|"SOUTHERN MAINE MEDICAL CENTER"|"ONE MEDICAL CENTER DRIVE"|"BIDDEFORD"|"ME"|"USA"|"04005"|"Y"|"Y"|""|""|""|""|"Y"|""|"HOSPITAL SERVICES"|"1"|""|""|""
