"C_EIN"|"C_Org_Name"|"OTHER_FACILITY_ID"|"XML_DOCUMENT_ID"|"OTHER_FAC_NAME"|"OTHER_FAC_STREET"|"OTHER_FAC_CITY"|"OTHER_FAC_STATE"|"OTHER_FAC_COUNTRY"|"OTHER_FAC_ZIP"|"OTHER_FAC_TYPE"
"01-0211503"|"Franklin Memorial Hospital"|"6125"|"788101"|"Franklin Hlth Livermore Falls Fam Pract"|"38 Union Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6126"|"788101"|"Franklin Health Wilton Family Practice"|"75 Allen Street"|"Wilton"|"ME"|"USA"|"04294"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6127"|"788101"|"Franklin Hlth Farmington Family Practice"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6128"|"788101"|"Franklin Health Internal Medicine"|"131 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Internal Medicine Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6129"|"788101"|"Franklin Health Pediatrics"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Pediatrician Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6130"|"788101"|"Franklin Health Orthopaedics"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Orthopaedic Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6131"|"788101"|"Franklin Health Surgery"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"General Surgery Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6132"|"788101"|"Franklin Health Urology"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Urology Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6133"|"788101"|"Rangeley Region Physical Rehabilitation"|"25 Dallas Hill Road"|"Rangeley"|"ME"|"USA"|"04970"|"Outpatient Physical Therapy"
"01-0211503"|"Franklin Memorial Hospital"|"6134"|"788101"|"Outpatient Services at Livermore Falls"|"76 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Outpatient Clinic"
"01-0211503"|"Franklin Memorial Hospital"|"6135"|"788101"|"NorthStar"|"15 School Street"|"Rangeley"|"ME"|"USA"|"04970"|"Ambulance Base"
"01-0211503"|"Franklin Memorial Hospital"|"6136"|"788101"|"NorthStar"|"138C Park Street"|"Phillips"|"ME"|"USA"|"04966"|"Ambulance Base"
"01-0211503"|"Franklin Memorial Hospital"|"6137"|"788101"|"NorthStar"|"119 Federal Road"|"Livermore"|"ME"|"USA"|"04254"|"Ambulance Base"
"01-0211503"|"Franklin Memorial Hospital"|"6138"|"788101"|"NorthStar"|"1001 Carriage Road"|"Carrabasset Valley"|"ME"|"USA"|"04947"|"Ambulance Base"
"01-0211503"|"Franklin Memorial Hospital"|"6139"|"788101"|"NorthStar"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Ambulance Base"
"01-0211503"|"Franklin Memorial Hospital"|"6140"|"788101"|"Franklin Health Women's Care"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"OB/GYN"
"01-0211503"|"Franklin Memorial Hospital"|"6141"|"788101"|"Franklin Health Child Developmental Prog"|"131 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Child Developmental Program"
"01-0211503"|"Franklin Memorial Hospital"|"6142"|"788101"|"Franklin Health Behavioral Services"|"131 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Behavioral Health Practice"
"01-0211503"|"Franklin Memorial Hospital"|"6143"|"788101"|"Franklin Health Dermatology"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Dermatology Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6302"|"794104"|"Ellsworth Internal Medicine"|"32 Resort Way"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6303"|"794104"|"Ellsworth Family Practice"|"32 Resort Way"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6304"|"794104"|"Maine Coast Pediatrics"|"32 Resort Way"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6305"|"794104"|"Eleanor Widener Dixon Memorial Clinic"|"37 Clinic Road"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6306"|"794104"|"Southwest Harbor Medical Center"|"45 Herrick Road"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6307"|"794104"|"Maine Coast Specialty Clinic"|"306 Main Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6308"|"794104"|"Maine Coast Urology"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6309"|"794104"|"Maine Coast Rheumatology"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6310"|"794104"|"Down East Dermatology"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6311"|"794104"|"Maine Coast General Surgery"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6312"|"794104"|"Maine Coast Women Care"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6313"|"794104"|"Maine Coast Hand & Shoulder"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6314"|"794104"|"Frenchman Bay Orthopedics"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6315"|"794104"|"Maine Coast Otolaryngolgy"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0198331"|"Maine Coast Regional Health Facilities"|"6316"|"794104"|"Maine Coast Memorial Hospital Nocuturnist"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Physician Practice"
"01-0130427"|"BRIDGTON HOSPITAL"|"6907"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"6908"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"6909"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"6910"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"6911"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"6912"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"6913"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"6914"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
