"C_EIN"|"C_Org_Name"|"IND_GRANT_ID"|"XML_DOCUMENT_ID"|"IND_GRANT_TYPE"|"IND_NUM_RECIP"|"IND_CASH"|"IND_NON_CASH"|"IND_METHOD_VALUE"|"IND_DESCR_NON_CASH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"210"|"1134741"|"SCHOLARSHIPS"|"170"|"294538.0000"|"0.0000"|""|""
"01-6021180"|"MAINE BEER & WINE WHOLESALERS ASSOC. INC"|"668"|"1143214"|"Olympic Support to Julia Clukey"|"1"|"21016.0000"|""|""|""
"01-6007236"|"ST. ANDREWS FREE BED FUND"|"694"|"1143566"|"1 HOSPITAL MEDICAL EXPENSES"|"51"|"46299.0000"|"0.0000"|""|""
"01-6020566"|"WALDO COMMUNITY ACTION PARTNERS"|"772"|"1145331"|"1 DIRECT BENEFITS TO CLIENTS"|""|"1836137.0000"|""|"FMV"|""
"01-0561825"|"Abingdon Feeder Cattle Association"|"1662"|"1155518"|"Efficiency Improvement Grants"|"64"|"199458.0000"|""|""|""
"01-6018568"|"The American Legion"|"1665"|"1155541"|"Direct support to local Vet"|""|"17868.0000"|""|""|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"2877"|"1168401"|"1 SCHOLARSHIPS"|"26"|"29000.0000"|""|""|""
"01-0135937"|"LE PASSE-TEMPS INC"|"2942"|"1170881"|"SCHOLARSHIPS"|"19"|"4800.0000"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"2943"|"1170911"|"(1) Missionary Support"|"6"|"24181.0000"|""|""|""
"01-0718987"|"DEKALB AQUATICS SWIM TEAM INC"|"3593"|"1181844"|"FINANCIAL ASSISTANCE"|"12"|"7508.0000"|""|"FMV"|""
"01-0376696"|"BIRCH ROCK CAMP"|"4147"|"1187089"|"SCHOLARSHIPS"|"23"|"58835.0000"|""|""|""
"01-0442447"|"STATE RISK & INSURANCE MANAGEMENT ASSOCIATION"|"4265"|"1189912"|"CONFERENCE SCHOLARSHIPS"|"4"|"7173.0000"|""|""|""
"01-0216837"|"The Maine Sea Coast Mission"|"4434"|"1194170"|"(1) Scholarships"|"119"|"158220.0000"|""|""|""
"02-0223334"|"WEBSTER HOUSE"|"4435"|"1194233"|"ALLOWANCES PROVIDED TO RESIDENTS"|"13"|"4392.0000"|"0.0000"|""|""
