"C_EIN"|"C_Org_Name"|"GOV_GRANT_ID"|"XML_DOCUMENT_ID"|"ORG_NAME"|"STREET"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"EIN"|"SECTION"|"ORG_CASH"|"ORG_NON_CASH"|"ORG_METHOD_VALUE"|"ORG_DESCR_NON_CASH"|"GRANT_PURPOSE"
"01-0505151"|"PROFESSIONAL LOGGING CONTRACTORS OF MAINE"|"1831"|"1134410"|"TRUST TO CONSERVE NORTHEAST FORESTLANDS"|"49 PINELAND DR. SUITE 201A"|"NEW GLOUCESTER"|"ME"|"USA"|"04260"|"73-1674778"|"501(C)3"|"23000.0000"|"0.0000"|""|""|"TO ASSIST THE TRUST TO CONSERVE NORTHEAST FORESTLANDS IN ENHANCING THE HEALTH OF THE WORKING"
"01-0669290"|"BELCHERTOWN LAND TRUST INC."|"1832"|"1134744"|"TOWN OF BELCHORTOWN COMMUNITY PRESERVATION ACT COMMITTEE"|""|""|""|"USA"|""|"46-0001083"|"TOWN OF BELCHORTOWN MA"|"12000.0000"|""|""|""|"CONSERVATION TRAIL MAINTENANCE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1888"|"1134741"|"AIR HILL BRETHREN IN CHRIST CHURCH"|"7041 CUMBERLAND HIGHWAY"|"CHAMBERSBURG"|"PA"|"USA"|"17202"|"25-1142759"|"501(C)(3)"|"12000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1889"|"1134741"|"AMERICAN TECHNION SOCIETY"|"55 E. 59TH STREET"|"NEW YORK"|"NY"|"USA"|"10022"|"13-0434195"|"501(C)(3)"|"7000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1890"|"1134741"|"BETH EL TEMPLE"|"2637 N. FRONT STREET"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1365208"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1891"|"1134741"|"BETHESDA MISSION OF HARRISBURG"|"611 REILY ST."|"HARRISBURG"|"PA"|"USA"|"17102"|"23-1389397"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1892"|"1134741"|"BETHESDA MISSION OF HARRISBURG"|"611 REILY ST."|"HARRISBURG"|"PA"|"USA"|"17102"|"23-1389397"|"501(C)(3)"|"11500.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1893"|"1134741"|"BETHESDA MISSION OF HARRISBURG"|"611 REILY ST."|"HARRISBURG"|"PA"|"USA"|"17102"|"23-1389397"|"501(C)(3)"|"5963.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1894"|"1134741"|"BIG BROTHERS-BIG SISTERS OF THE CAPITAL REGION INC"|"1500 NORTH SECOND STREET"|"HARRISBURG"|"PA"|"USA"|"17102"|"23-2260248"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"HUMAN SERVICE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1895"|"1134741"|"BOWDOIN COLLEGE"|"DEVELOPMENT OFFICE"|"BRUNSWICK"|"ME"|"USA"|"04011"|"01-0215213"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1896"|"1134741"|"BOYS & GIRLS CLUB OF CENTRAL PENNSYLVANIA"|"1227 BERRYHILL ROAD"|"HARRISBURG"|"PA"|"USA"|"17104"|"23-1352043"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1897"|"1134741"|"BRAND NEW DAY, INC."|"176 FIRST STREET"|"ELIZABETH"|"NJ"|"USA"|"07206"|"22-2600977"|"501(C)(3)"|"25000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1898"|"1134741"|"BREAST PRESERVATION FOUNDATION"|"8635 W. THRID ST., SUITE 1090W"|"LOS ANGELES"|"CA"|"USA"|"90048"|"26-2816020"|"501(C)(3)"|"10000.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1899"|"1134741"|"BRETHREN HOUSNG ASSOCIATION"|"219 HUMMEL STREET"|"HARRISBURG"|"PA"|"USA"|"17104"|"25-1636220"|"501(C)(3)"|"7500.0000"|"0.0000"|""|""|"SELF SUFICIENCY"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1900"|"1134741"|"CAMP JOY EL"|"3741 JOY EL DRIVE"|"GREENCASTLE"|"PA"|"USA"|"17225"|"25-1247946"|"501(C)(3)"|"6000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1901"|"1134741"|"CAPITAL AREA COALITION ON HOMELESSNESS"|"MLK CITY GOVERNMENT CENTER"|"HARRISBURG"|"PA"|"USA"|"17101"|"35-2306736"|"501(C)(3)"|"9300.0000"|"0.0000"|""|""|"HUMAN SERVICE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1902"|"1134741"|"CAPITAL AREA SCHOOL FOR ARTS"|"150 STRAWBERRY SQUARE"|"HARRISBURG"|"PA"|"USA"|"17101"|"23-1739071"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1903"|"1134741"|"CAPITAL BEGINNINGS TFEC"|"200 N. 3RD STREET, 8TH FLOOR"|"HARRISBURG"|"PA"|"USA"|"17108-0678"|"01-0564355"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1904"|"1134741"|"CENTER FOR ETHICS AND RELIGIOUS VALUES IN BUSINESS"|"C/O UNIVERSITY OF NOTRE DAME"|"NOTRE DAME"|"IN"|"USA"|"46556-5602"|"35-0868188"|"501(C)(3)"|"6000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1905"|"1134741"|"CENTRAL PENNSYLVANIA FOOD BANK"|"3908 COREY ROAD"|"HARRISBURG"|"PA"|"USA"|"17109"|"23-2202250"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"HUMAN SERVICE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1906"|"1134741"|"CENTRAL PENNSYLVANIA FOOD BANK"|"3908 COREY ROAD"|"HARRISBURG"|"PA"|"USA"|"17109"|"23-2202250"|"501(C)(3)"|"6528.0000"|"0.0000"|""|""|"HUMAN SERVICE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1907"|"1134741"|"CENTRAL PENNSYLVANIA WORKFORCE DEVELOPMENT CORPORATION"|"130 KELLY SQUARE"|"LEWISBURG"|"PA"|"USA"|"17837"|"25-1847249"|"501(C)(3)"|"173500.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1908"|"1134741"|"CHAMBERSBURG HOSPITAL"|"112 N. SEVENTH STREET"|"CHAMBERSBURG"|"PA"|"USA"|"17201"|"23-0465970"|"501(C)(3)"|"14159.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1909"|"1134741"|"CHAMBERSBURG HOSPITAL"|"112 N. SEVENTH STREET"|"CHAMBERSBURG"|"PA"|"USA"|"17201"|"23-0465970"|"501(C)(3)"|"7112.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1910"|"1134741"|"CHAMBERSBURG YOUTH SOCCER ASSOCIATION"|"293 WESTOVER WAY"|"CHAMBERSBURG"|"PA"|"USA"|"17202"|"25-1743136"|"501(C)(3)"|"20154.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1911"|"1134741"|"CHANNELS FOOD RESCUE"|"3305 N 6TH ST"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-2574867"|"501(C)(3)"|"10000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1912"|"1134741"|"CHILDREN'S HOSPITAL OF PHILADELPHIA"|"34TH ST. & CIVIC CENTER BLVD."|"PHILADELPHIA"|"PA"|"USA"|"19104-4399"|"23-1352166"|"501(C)(3)"|"13000.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1913"|"1134741"|"CHRISTIAN RECOVERY AFTERCARE MINISTRY, INC.(CRAM)"|"PO BOX 5464"|"HARRISBURG"|"PA"|"USA"|"17110"|"04-3588449"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1914"|"1134741"|"CHRISTIAN RECOVERY AFTERCARE MINISTRY, INC. (CRAM)"|"PO BOX 5464"|"HARRISBURG"|"PA"|"USA"|"17110"|"04-3588449"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1915"|"1134741"|"COMMONWEALTH FOUNDATION"|"225 STATE STREET, SUITE 302"|"HARRISBURG"|"PA"|"USA"|"17101"|"23-2473845"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1916"|"1134741"|"COYLE FREE LIBRARY"|"102 N. MAIN STREET"|"CHAMBERSBURG"|"PA"|"USA"|"17201"|"23-1457996"|"501(C)(3)"|"7112.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1917"|"1134741"|"CRISPUS ATTUCKS"|"605 SOUTH DUKE STREET"|"YORK"|"PA"|"USA"|"17401-3199"|"23-1365320"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1918"|"1134741"|"CULTURAL ENRICHMENT FUND"|"PO BOX 12084"|"HARRISBURG"|"PA"|"USA"|"17108"|"23-2327546"|"501(C)(3)"|"8812.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1919"|"1134741"|"CULTURAL ENRICHMENT FUND"|"PO BOX 12084"|"HARRISBURG"|"PA"|"USA"|"17108"|"23-2327546"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1920"|"1134741"|"CUMBERLAND VALLEY ANIMAL SHELTER INC"|"2325 COUNTRY ROAD"|"CHAMBERSBURG"|"PA"|"USA"|"17225"|"25-1753115"|"501(C)(3)"|"7112.0000"|"0.0000"|""|""|"HUMAN SERVICE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1921"|"1134741"|"DANZANTE"|"200 CRESCENT STREET"|"HARRISBURG"|"PA"|"USA"|"17104"|"25-1689703"|"501(C)(3)"|"7500.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1922"|"1134741"|"DANZANTE"|"200 CRESCENT STREET"|"HARRISBURG"|"PA"|"USA"|"17104"|"25-1689703"|"501(C)(3)"|"7500.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1923"|"1134741"|"DAUPHIN COUNTY LIBRARY SYSTEM"|"101 WALNUT ST"|"HARRISBURG"|"PA"|"USA"|"17101"|"23-1352317"|"501(C)(3)"|"7000.0000"|"0.0000"|""|""|"MATH & SCIENCE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1924"|"1134741"|"DAUPHIN COUNTY LIBRARY SYSTEM"|"101 WALNUT ST"|"HARRISBURG"|"PA"|"USA"|"17101"|"23-1352317"|"501(C)(3)"|"5697.0000"|"0.0000"|""|""|"MATH & SCIENCE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1925"|"1134741"|"DIAKON LUTHERAN SOCIAL MINISTRIES"|"960 CENTURY DR."|"MECHANICSBURG"|"PA"|"USA"|"17055"|"23-1857015"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"SELF SUFICIENCY"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1926"|"1134741"|"DOMESTIC VIOLENCE SERVICES OF CUMBERLAND & PERRY COUNTIES"|"P.O. BOX 1039"|"CARLISLE"|"PA"|"USA"|"17013"|"25-1629910"|"501(C)(3)"|"13743.0000"|"0.0000"|""|""|"COMMUNITY DEV."
