"C_EIN"|"C_Org_Name"|"RELATED_ORG_ID"|"XML_DOCUMENT_ID"|"REL_ORG_NAME"|"REL_ORG_ADDRESS1"|"REL_ORG_CITY"|"REL_ORG_STATE"|"REL_ORG_COUNTRY"|"REL_ORG_ZIP"|"REL_ORG_EIN"|"REL_ORG_PRIMARY_ACTIVITY"|"REL_ORG_LEGAL_DOM"|"REL_ORG_EXEMPT_CODE"|"REL_ORG_CHARITY_STATUS"|"REL_ORG_CONTROLLING_ENTITY"|"REL_ORG_SEC512_CBX"
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"533035"|"552778"|"LAKE ARROWHEAD CONSERVATION COUNCITY"|"206 OLD PROTLAND ROAD"|"NORTH WATERBORO"|"ME"|"USA"|"04061"|"26-1154163"|"PROTECT AND CONSERVE THE NATURAL RESOURCES OF LAKE ARROWHEAD WATER, LAKE QUA"|"MAINE"|"501(C) (3)"|"170 (B) (1) (A) (VI)"|""|"N"
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"545865"|"592794"|"ALFOND YOUTH CENTER"|"126 NORTH STREET"|"WATERVILLE"|"ME"|"USA"|"04901"|"04-3341661"|"RECREATIONAL PROGRAMMING FOR YOUTH AND ADULTS"|"ME"|"501(c)(3)"|""|""|"N"
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"545866"|"592794"|"WATERVILLE AREA YMCA"|"126 NORTH STREET"|"WATERVILLE"|"ME"|"USA"|"04901"|"01-0283465"|"RECREATIONAL PROGRAMMING FOR YOUTH AND ADULTS"|"ME"|"501(c)(3)"|""|""|"N"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"547317"|"593902"|"JHA SERVICES INC"|"630 OCEAN AVE"|"PORTLAND"|"ME"|"USA"|"04103"|"01-0451663"|"FUNDRAISING & ADMINISTRATIVE SERVICES"|"ME"|"501(C)(3)"|"11 I"|""|"N"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"547318"|"593902"|"JHA PROPERTIES INC"|"630 OCEAN AVE"|"PORTLAND"|"ME"|"USA"|"04103"|"01-0510768"|"RETIREMENT COMMUNITY FOR THE ELDERLY"|"ME"|"501(C)(3)"|"9"|""|"N"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"547319"|"593902"|"JHA ASSISTED LIVING INC"|"630 OCEAN AVE"|"PORTLAND"|"ME"|"USA"|"04103"|"20-1590379"|"ASSISTED LIVING FOR ELDERLY"|"ME"|"501(C)(3)"|"9"|""|"N"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"547320"|"593902"|"INN AT CEDARS INC"|"630 OCEAN AVE"|"PORTLAND"|"ME"|"USA"|"04103"|"20-5714134"|"LEASE & OPERATE ASSISTED LIVING FACILITY"|"ME"|"501(C)(3)"|"9"|""|"N"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"547321"|"593902"|"CEDARS FOUNDATION INC"|"630 OCEAN AVE"|"PORTLAND"|"ME"|"USA"|"04103"|"26-0557737"|"FUNDRAISING AND FUND MANAGEMENT"|"ME"|"501(C)(3)"|"11 I"|""|"N"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"575453"|"627686"|"CMMC COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"70 MIDDLE STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"01-0356077"|"NURSES TRAINING"|"ME"|"501(C)(3)"|"2"|""|"N"
"01-0211807"|"Sweetser"|"579364"|"631557"|"Biscay Road Corporation"|"50 Moody Street"|"Saco"|"ME"|"USA"|"04072"|"01-0523782"|"Housing project for adults with developmental disabilities"|"ME"|"501(c)(3)"|"Line 9"|""|"N"
"01-0211807"|"Sweetser"|"579365"|"631557"|"60-62 Pleasant Street Corporation"|"50 Moody Street"|"Saco"|"ME"|"USA"|"04072"|"22-3335241"|"Housing project for adults with developmental disabilities"|"ME"|"501(c)(3)"|"Line 9"|""|"N"
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"579366"|"631559"|"MoCo Housing Inc"|"PO Box 229 14 Glenridge Dr"|"Augusta"|"ME"|"USA"|"04332"|"04-3380581"|"Provide disabled persons with facilities and services"|"ME"|"501(c)(3)"|"9"|""|"N"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"580793"|"633591"|"SENIOR CITIZENS HOUSING COMMITTEE INC"|"650 PAUMANACK VILLAGE DR"|"GREENLAWN"|"NY"|"USA"|"11740"|"11-2426215"|"PLAN AND DEVELOP AFFORDABLE HOUSING FOR THE LOW INCOME QUALIFED SENIORS"|"NY"|"501(C)(4)"|""|""|"N"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"580794"|"633591"|"HUNTINGTON SENIOR CITIZENS HOUSING DEVELOPMENT FUND CO INC"|"650 PAUMANACK VILLAGE DR"|"GREENLAWN"|"NY"|"USA"|"11740"|"23-7423372"|"PLAN AND DEVELOP AFFORDABLE HOUSING FOR THE LOW INCOME QUALIFED SENIORS"|"NY"|"501(C)(3)"|"Line 11a, I"|""|"N"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"580795"|"633591"|"HSC NO2 HOUSING DEVELOPMENT FUND CO"|"650 PAUMANACK VILLAGE DR"|"GREENLAWN"|"NY"|"USA"|"11740"|"11-2688252"|"PLAN AND DEVELOP AFFORDABLE HOUSING FOR THE LOW INCOME QUALIFIED SENIORS"|"NY"|"501(C)(3)"|"Line 11a, I"|""|"N"
