"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"DBA"|"PHONE"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PERIOD_BEGIN"|"PERIOD_END"|"CHANGE_ADDR_CBX"|"CHANGE_NAME_CBX"|"INIT_RET_CBX"|"FINAL_RET_CBX"|"APP_PEND_CBX"|"PRINCIPAL_NAME"|"RECEIPT_TOT"|"TYPE"|"WEB"|"ORG_TYPE_CORPORATION_CBX"|"ORG_TYPE_TRUST_CBX"|"ORG_TYPE_ASSOCIATION_CBX"|"ORG_TYPE_OTHER_CBX"|"ORG_TYPE"|"FORMATION_YEAR"|"LEGAL_DOM"|"GROUP_RET_STATUS_CBX"|"GROUP_RET_ALL_AFFIL_CBX"|"GROUP_RET_GEN"|"LAST_MODIFIED"|"Prefix"|"FirstName"|"MiddleName"|"LastName"|"Suffix"|"Gender"|"ParseNameFlag"
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|"N"|"Boothbay Harbor Memorial Library"|""|"207-633-3112"|""|"4 Oak St."|""|"Boothbay Harbor"|"ME"|"USA"|"04538-1811"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"Thomas Churchill"|"471753.0000"|"03"|"www.bmpl.lib.me.us"|""|""|"Y"|""|""|"1952"|"ME"|"N"|""|""|"12/24/2011 4:48:00 AM"|""|"Thomas"|""|"Churchill"|""|"Male"|"True"
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|"N"|"LAKE ARROWHEAD COMMUNITY, INC"|""|"207-247-5239"|""|"206 OLD PORTLAND ROAD"|""|"NORTH WATERBORO"|"ME"|"USA"|"04061"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|"TOM SOTIR"|"1664585.0000"|"04"|"WWW.LACINC.ORG"|"Y"|""|""|""|""|"1975"|"ME"|"N"|""|""|"12/24/2011 4:48:14 AM"|""|"Tom"|""|"Sotir"|""|"Male"|"True"
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|"N"|"EASTPORT HEALTH CARE, INC."|""|"207-853-6001"|""|"30 BOYNTON STREET"|""|"EASTPORT"|"ME"|"USA"|"04631"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|""|"3638974.0000"|"03"|""|"Y"|""|""|""|""|"1976"|"ME"|"N"|""|""|"12/24/2011 4:48:41 AM"|""|""|""|""|""|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|"N"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|""|"207-873-4335"|""|"76 INDUSTRIAL STREET"|""|"WATERVILLE"|"ME"|"USA"|"04901"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"DAVID ANDERSON"|"1508519.0000"|"08"|"WWW.MAINEELKS.ORG/WATERVILLE.HTML"|"Y"|""|""|""|""|"1904"|"ME"|"N"|""|"1156"|"12/30/2011 2:40:49 AM"|""|"David"|""|"Anderson"|""|"Male"|"True"
"01-0525615"|"Maine Winter Sports Center"|"562836"|"N"|"Maine Winter Sports Center"|""|"207-492-1444"|""|"552 Main Street"|""|"Caribou"|"ME"|"USA"|"04736"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|""|"1766991.0000"|"03"|"www.mainewsc.org"|"Y"|""|""|""|""|"1999"|"ME"|"N"|""|""|"1/5/2012 5:04:29 AM"|""|""|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"N"|"LONG ISLAND LIBERTY LACROSSE INC."|""|"516-767-7862"|"D GALLAGHER"|"73 CARLTON"|"C35"|"PORT WASHINGTON"|"NY"|"USA"|"11050"|"2/1/2010 12:00:00 AM"|"1/31/2011 12:00:00 AM"|""|""|""|""|""|"DANIELLE GALLAGHER"|"404625.0000"|"03"|""|"Y"|""|""|""|""|"2003"|"NY"|"N"|""|""|"1/11/2012 12:05:34 AM"|""|"Danielle"|""|"Gallagher"|""|"Female"|"True"
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"N"|"ROCHESTER LODGE OF ELKS #1393"|""|"603-332-9700"|""|"PO BOX 1393"|""|"ROCHESTER"|"NH"|"USA"|"03866-1393"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"Robert D. Steele & Crescent Drive"|"1000962.0000"|"08"|""|"Y"|""|""|""|""|"1920"|"NH"|"N"|""|"1156"|"1/11/2012 2:29:16 AM"|"Robert"|"D."|"Steele"|"&"|"Crescent drive"|"Male"|"False"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"N"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|""|"207-553-4363"|""|"P.O. BOX 7455"|""|"PORTLAND"|"ME"|"USA"|"04112"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|"KATHLEEN GRAMMER"|"388089.0000"|"03"|"WWW.FOKO.ORG"|"Y"|""|""|""|""|"1981"|"ME"|"N"|""|""|"2/14/2012 3:37:50 AM"|""|"Kathleen"|""|"Grammer"|""|"Female"|"True"
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|"Y"|"Portland electrical Joint Apprenticeship & Training Fund"|""|"207-786-9770"|""|"238 Goddard Road"|""|"Lewiston"|"ME"|"USA"|"04240"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"Don Berry"|"284187.0000"|"03"|""|""|"Y"|""|""|""|"1947"|"ME"|"N"|""|""|"2/18/2012 3:49:56 AM"|""|"Don"|""|"Berry"|""|"Unknown"|"True"
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|"Y"|"WATERVILLE AREA BOYS & GIRLS CLUB"|""|"207-873-0684"|""|"126 NORTH STREET"|""|"WATERVILLE"|"ME"|"USA"|"04901"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"KEN WALSH"|"899537.0000"|"03"|"WWW.APLACEFORKIDSTOGO.ORG"|"Y"|""|""|""|""|"1976"|"ME"|"N"|""|""|"2/18/2012 3:51:45 AM"|""|"Ken"|""|"Walsh"|""|"Male"|"True"
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|"N"|"TANQUE VERDE SOCCER CLUB, INC."|""|"888-856-8694"|""|"8987 E. TANQUE VERDE RD. 309-397"|""|"TUCSON"|"AZ"|"USA"|"85749"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|"Y"|""|""|"MICHAEL P GROTKIER"|"257860.0000"|"03"|"WWW.TANQUEVERDESCOCCER.COM"|"Y"|""|""|""|""|"2010"|"AZ"|"N"|""|""|"2/19/2012 1:49:42 AM"|""|"Michael"|"P"|"Grotkier"|""|"Male"|"True"
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|"Y"|"CEDARS NURSING CARE CENTER"|""|"207-772-5456"|""|"630 OCEAN AVENUE"|""|"PORTLAND"|"ME"|"USA"|"04103"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|"KATHRYN CALLNAN"|"11890707.0000"|"03"|"WWW.THECEDARSPORTLAND.ORG"|"Y"|""|""|""|""|"1929"|"ME"|"N"|""|""|"2/21/2012 2:53:04 AM"|""|"Kathryn"|""|"Callnan"|""|"Female"|"True"
