"C_EIN"|"C_Org_Name"|"bmf_id"|"ein"|"org_name"|"address_id"|"grp_exmpt"|"subsection_code"|"affil_code"|"deductn_code"|"ruling_yr"|"ruling_mo"|"foundn_code"|"activity_code1"|"activity_code2"|"activity_code3"|"org_code"|"district"|"advrule_expyr"|"advrule_expmo"|"class_code1"|"class_code2"|"class_code3"|"class_code4"|"tax_year"|"tax_month"|"income_code"|"income"|"acct_period"|"ntee_code"|"assets"|"ntee_qual"|"asset_code"|"second_name"|"filing_req_code"|"npo_active"|"submit_date"|"dummy_p"|"last_modified"|"care_of"|"idle_date"|"exempt_status_code"|"f990_revenue"
"01-0131950"|"PLANT MEMORIAL HOME"|"168721"|"01-0131950"|"PLANT MEMORIAL HOME"|"168721"|"0000 "|"03"|"3"|"1"|"1972"|"02"|"02"|""|""|"922"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"1061047.0000"|"12 "|""|"3961425.0000"|" "|"6"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0131950"|"PLANT MEMORIAL HOME"|"168721"|"01-0131950"|"PLANT MEMORIAL HOME"|"168721"|"0000 "|"03"|"3"|"1"|"1972"|"02"|"02"|""|""|"922"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"1061047.0000"|"12 "|""|"3961425.0000"|" "|"6"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0131950"|"PLANT MEMORIAL HOME"|"168721"|"01-0131950"|"PLANT MEMORIAL HOME"|"168721"|"0000 "|"03"|"3"|"1"|"1972"|"02"|"02"|""|""|"922"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"1061047.0000"|"12 "|""|"3961425.0000"|" "|"6"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211504"|"The Eunice Frye Home Foundation"|"506693"|"01-0211504"|"EUNICE FRYE HOME"|"101929061"|"0000 "|"03"|"3"|"1"|"1943"|"03"|"04"|""|"399"|"040"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"09"|"5"|"639637.0000"|"09 "|""|"1682713.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"12/14/2015 5:48:00 PM"|"% THOMAS M PIERCE H M PAYSON & CO"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211504"|"The Eunice Frye Home Foundation"|"506693"|"01-0211504"|"EUNICE FRYE HOME"|"101929061"|"0000 "|"03"|"3"|"1"|"1943"|"03"|"04"|""|"399"|"040"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"09"|"5"|"639637.0000"|"09 "|""|"1682713.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"12/14/2015 5:48:00 PM"|"% THOMAS M PIERCE H M PAYSON & CO"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211504"|"The Eunice Frye Home Foundation"|"506693"|"01-0211504"|"EUNICE FRYE HOME"|"101929061"|"0000 "|"03"|"3"|"1"|"1943"|"03"|"04"|""|"399"|"040"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"09"|"5"|"639637.0000"|"09 "|""|"1682713.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"12/14/2015 5:48:00 PM"|"% THOMAS M PIERCE H M PAYSON & CO"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211537"|"OAK GROVE SCHOOL"|"674868"|"01-0211537"|"OAK GROVE SCHOOL"|"674868"|"0000 "|"03"|"3"|"1"|"1993"|"02"|"04"|""|""|"059"|"1"|""|"0000  "|"00"|"2"|" "|" "|" "|"2014"|"06"|"4"|"168976.0000"|"06 "|"B20"|"1538167.0000"|" "|"6"|""|"001"|"Y"|"7/31/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|"% MITCHELL & DAVIS"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211537"|"OAK GROVE SCHOOL"|"674868"|"01-0211537"|"OAK GROVE SCHOOL"|"674868"|"0000 "|"03"|"3"|"1"|"1993"|"02"|"04"|""|""|"059"|"1"|""|"0000  "|"00"|"2"|" "|" "|" "|"2014"|"06"|"4"|"168976.0000"|"06 "|"B20"|"1538167.0000"|" "|"6"|""|"001"|"Y"|"7/31/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|"% MITCHELL & DAVIS"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211537"|"OAK GROVE SCHOOL"|"674868"|"01-0211537"|"OAK GROVE SCHOOL"|"674868"|"0000 "|"03"|"3"|"1"|"1993"|"02"|"04"|""|""|"059"|"1"|""|"0000  "|"00"|"2"|" "|" "|" "|"2014"|"06"|"4"|"168976.0000"|"06 "|"B20"|"1538167.0000"|" "|"6"|""|"001"|"Y"|"7/31/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|"% MITCHELL & DAVIS"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211545"|"PORTLAND SEAMEN'S FRIEND SOCIETY"|"224999"|"01-0211545"|"PORTLAND SEAMENS FRIEND SOCIETY"|"224999"|"0000 "|"03"|"3"|"1"|"1950"|"03"|"03"|""|""|"349"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"112799.0000"|"12 "|""|"182204.0000"|" "|"4"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"6/12/2015 7:36:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211545"|"PORTLAND SEAMEN'S FRIEND SOCIETY"|"224999"|"01-0211545"|"PORTLAND SEAMENS FRIEND SOCIETY"|"224999"|"0000 "|"03"|"3"|"1"|"1950"|"03"|"03"|""|""|"349"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"112799.0000"|"12 "|""|"182204.0000"|" "|"4"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"6/12/2015 7:36:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211545"|"PORTLAND SEAMENS FRIEND SOCIETY"|"224999"|"01-0211545"|"PORTLAND SEAMENS FRIEND SOCIETY"|"224999"|"0000 "|"03"|"3"|"1"|"1950"|"03"|"03"|""|""|"349"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"112799.0000"|"12 "|""|"182204.0000"|" "|"4"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"6/12/2015 7:36:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211792"|"Lewiston-Auburn Children's Home"|"506663"|"01-0211792"|"LEWISTON-AUBURN CHILDRENS HOME"|"103811570"|"0000 "|"03"|"3"|"1"|"1943"|"02"|"04"|""|""|"603"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"2"|"23208.0000"|"12 "|"P30"|"346419.0000"|"Z"|"4"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"10/16/2015 6:21:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0211792"|"Lewiston-Auburn Children's Home"|"506663"|"01-0211792"|"LEWISTON-AUBURN CHILDRENS HOME"|"103811570"|"0000 "|"03"|"3"|"1"|"1943"|"02"|"04"|""|""|"603"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"2"|"23208.0000"|"12 "|"P30"|"346419.0000"|"Z"|"4"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"10/16/2015 6:21:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
