"EIN"|"ORG_NAME"|"XMLID"
"01-6020236"|"BRACKETT WADE F & ISABEL"|"562839"
"01-6023401"|"MAYBURY IMOGENE U/W N PL"|"562842"
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"562859"
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"562872"
"04-3671809"|"WISH YOU WELL FOUNDATION"|"562874"
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"589195"
"01-6080947"|"WILLIAM C. BULLOCK, JR FAMILY FOUNDATION"|"589196"
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"589197"
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"590198"
"04-6382377"|"Mary Elizabeth Pearce Foundation Tr."|"590199"
"01-6027394"|"KENNEDY, MARGARET SCSHIP TRUST"|"590733"
"04-3485593"|"THE FRED BERGFORS AND MARGARET SANDBERG FOUNDATION INC"|"613611"
"04-6837671"|"THE BOPP FAMILY CHARITABLE TRUST"|"613612"
"02-0222149"|"TAYLOR COMMUNITY"|"652820"
"02-6134751"|"MARY DALY MACFARLAND FOUNDATION"|"652822"
"04-3140238"|"The Stephen J. Hendrickson Foundaiton, Inc"|"655108"
"04-3447397"|"CECILE HIGGINSON MURPHY CHARITABLE FOUNDATION"|"655110"
"04-6008364"|"ALMIRA N SIMONS TRUST"|"655111"
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY, INC."|"689603"
"04-2305919"|"MASSACHUSETTS CHARITABLE FIRE SOCIETY"|"689605"
"04-3134266"|"JOHN & SONIA LINGOS FAMILY FOUNDATION INC"|"689606"
"04-3613397"|"John F Byme Family Foundation Inc"|"689620"
"04-6037725"|"GEORGE HARRINGTON TRUST U/W"|"689621"
"04-6038293"|"GERMAN AID SOCIETY OF BOSTON INC"|"689623"
"04-6412350"|"FRED W. WELLS TRUST FUND"|"689636"
"04-6607402"|"BEN & ZELMA DORSON CHRTBLE FNDN IMA 1-04015"|"689637"
"04-6897800"|"THE WINDOVER FOUNDATION"|"689638"
"04-2648729"|"SWEATT WILLIAM H TR U/WILL"|"690923"
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURYPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"690924"
"04-3357627"|"MARTIN SALOMON MORTON AND GUSTEL SCHREIBER MORTON FOUNDATION"|"690925"
"04-3400633"|"THE DURANT FAMILY FOUNDATION #0745364"|"690926"
"02-6003957"|"RUSSELL T & OLIVE V BARTLETT TRUST 3020000764"|"715591"
"04-6384983"|"GEORGE H & JANE A MIFFLIN MEMORIAL FUND 15005012"|"715607"
"03-0575808"|"WEISFELD FAMILY FOUNDATION INC."|"715660"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|"716244"
"03-6007183"|"FLETCHER FARM FOUNDATION INC"|"716259"
"03-6112076"|"BOYER FAMILY FOUNDATION"|"716262"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"716279"
"04-6016303"|"ELISHA V. ASHTON TRUST U/W"|"716295"
"04-6110988"|"THE COLONIAL SOCIETY OF MASSACHUSETTS THOMAS R APPLETON, TREASURER"|"716311"
"04-6772317"|"LEBLANG CHARITABLE FOUNDATION DAVID B LEBLANG TRUSTEE"|"716327"
"01-6007288"|"WING-BENJAMIN TRUST FUND U/W 10 -101230016800"|"717282"
"04-3466803"|"NORTH EAST ROOFING EDUCATIONAL FOUNDATION, INC."|"739258"
"01-0387404"|"ELMINA B. SEWALL FOUNDATION"|"739340"
"04-6091664"|"SMITH TIMOTHY TR U/WILL"|"739423"
"04-6096926"|"COX CHARLES M U IND DTD 12 31 34"|"739424"
"04-6093047"|"WARREN FRANCES KNOWLES TR U/IND"|"739425"
"01-0518429"|"ATLANTIC RESIDENTIAL RESOURCE"|"740562"
"02-0268498"|"GOULDER FAMILY FOUNDATION"|"740593"
"04-2103762"|"CONCORD'S HOME FOR THE AGED, INC."|"740596"
"04-2659411"|"ROSSE FAMILY CHARITABLE FOUNDATION, INC."|"740760"
"04-6068512"|"TW & EG BERENSON CHARITABLE FOUNDATION"|"740778"
"01-0213987"|"WARDWELL HOME FOR THE AGING INC"|"741495"
"04-6745180"|"THE IORIO CHARITABLE FOUNDATION"|"741547"
"01-0632263"|"WHITE LILY FOUNDATION"|"742150"
"04-3343529"|"THE ROBERT F STOICO/FIRSTFED CHARITABLE FOUNDATION"|"742233"
"04-3360241"|"LUCY A COOLEDGE"|"742234"
"04-6008355"|"GEORGE E. BARNARD TRUST"|"742249"
"04-6008408"|"LEROY M BICKFORD TRUST"|"742250"
"04-6013418"|"ALICE PLIMPTON EDUCATION UNDER WILL 52723467"|"742265"
"04-6154761"|"ELIZABETH TANNATT BUFFUM U/A"|"742281"
"04-6646727"|"ALBERT FLEMING INSURANCE TR"|"743702"
"01-0712009"|"BACHMAN FOUNDATION"|"773787"
"01-0789717"|"THE ANGELL FOUNDATION"|"773869"
"01-6149204"|"OLIVE A COATES CHARITABLE TRUST"|"777629"
"04-2979426"|"THE BEAUCOURT FOUNDATION, INC."|"777728"
"04-3422324"|"RUSSO FAMILY CHARITABLE FOUNDATION TRUST"|"777747"
"04-6015506"|"TTEE U/W OF OLIVER B QUINBY"|"777762"
"04-6016107"|"EASTERN BANK TRUSTEE"|"777764"
"04-6079522"|"R ELAINE CROSTON TR U/WILL"|"777779"
"04-6229044"|"UD DONALDSON CHARITABLE TRUST 59-7942686"|"777796"
"04-6652923"|"ADELARD AND VALEDA ROY FOUNDATION"|"777812"
"02-0222133"|"Oliver JM Gilman Trust"|"562844"
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"562853"
"04-2235130"|"THE HORACE SMITH FUND"|"562862"
"04-6095808"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"562878"
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"562880"
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"613609"
"03-6048694"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"614036"
"04-6014010"|"SHOLLEY FOUNDATION"|"631648"
"04-6720803"|"HARPLEY FOUNDATION"|"631650"
"02-6005491"|"EDWARD WAGNER & GEORGE HOSSER SCH FUND 3020003262"|"655098"
"04-3021374"|"THE SAMUEL HUNTINGTON FUND, INC"|"655105"
"04-6013598"|"BUSHROD H. CAMPBELL & ADAH F. HALL CHARITY FUND"|"655112"
"04-6056778"|"North Attleboro Scholarship Foundation"|"655114"
"04-6089261"|"BEATRICE D PIERCE TRUST FLEET NATIONAL BANK"|"655116"
"04-6595469"|"SHAUGHNESSY CHARITABLE TRUST"|"655121"
"04-6820993"|"M HOLT MASSEY CHARITABLE TRUST 15011602"|"655123"
"01-0522171"|"The Borman Family Foundation"|"689592"
"03-0345055"|"GEORGE W. MERGENS FOUNDATION"|"689601"
"04-3214315"|"PAUL & ELAINE CHERVINSKY CHARITABLE FOUNDATION"|"689610"
"04-3492839"|"Savage Family Foundation"|"689615"
"04-3525914"|"YOUNG FAMILY FOUNDATION"|"689619"
"04-6041304"|"NEWBURYPORT HOWARD BENEVOLENT SOCIETY"|"689624"
"04-6065495"|"NATHANIEL TAYLOR FUND, INC"|"689626"
"04-3494831"|"EOS Foundation"|"690928"
"04-6047134"|"CHARLES MONTAGUE CHARITABLE TR"|"690930"
"04-6173120"|"TEKULSKY ANNA HARVEY TR U/DECL"|"690937"
"04-6747335"|"BEMIS-TRUST IN DIVERSITY THOMAS E. PECKHAM, TRUSTEE"|"690939"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"715648"
"02-6169513"|"BALDWIN FAMILY FOUNDATION TRUST"|"715655"
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"715657"
"04-6038871"|"IM WESTFIELD ACADEMY"|"715673"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"715737"
"02-6011388"|"PUTNAM FOUNDATION"|"716255"
"04-2752515"|"CHAMBERLAIN FOUNDATION"|"716273"
"04-6034977"|"BOSTON BAPTIST SOCIAL UNION"|"716305"
"04-6044779"|"THE HOPEDALE FOUNDATION"|"716307"
"04-6899625"|"FISHER FAMILY FOUNDATION"|"716332"
"04-1302043"|"FARNSWORTH LUCY C TR U/WILL"|"739396"
"04-6171963"|"HORACE C HUNT MEMORIAL FOUNDATION"|"739428"
"04-6665830"|"THE ULF B. HEIDE AND ELIZABETH C. HEIDE FOUNDATION CHARITABLE TRUST"|"740566"
"04-3342111"|"Frank and Brinna Sands Foundation"|"740764"
"04-6053295"|"LOUIS E WOLFSON FOUNDATION"|"740775"
"04-6092890"|"WHITNEY MARY D TR U/WILL"|"741541"
"04-6097390"|"CHANY JOHN RESIDUARY CLAUSE UW"|"741543"
"01-6042302"|"JOHN B CROCKETT TRUST"|"742161"
"01-6180869"|"ALICE A PAXTON CHARITABLE TRUST"|"742163"
"04-6009170"|"MARGARET M HURLEY RES TR"|"742254"
"04-6026213"|"TTEE U/D OF GEORGE NORMAN ALBREE+"|"742268"
"04-3382941"|"William and Gayle Chroske Family Foundation"|"773797"
"04-6035506"|"J HENRY KENDALL TRUST"|"773806"
"01-0772925"|"ASHNER FAMILY EVERGREEN FOUNDATION"|"777618"
"01-6009341"|"THE GREENE-MILSTEIN FAMILY FOUNDATION"|"777623"
"01-6011506"|"ROBERT W. BELKNAP, MD, FREE BED FUND"|"777625"
"02-6004322"|"Trust uw Alvin Cross"|"777666"
"04-3388013"|"JORDAN TORCH FOUNDATION - TR"|"777741"
"04-3401318"|"KENNEDY FAMILY FOUNDATION"|"777743"
"04-6009430"|"FRANKLIN H PUTNAM TRUST"|"777757"
"04-6012742"|"CHARLES A KING U/W-EQUITY"|"777759"
"04-6017700"|"Eaton Foundation"|"777766"
"04-6019113"|"LOUISE G PEASE B/O BAYSTATE MED"|"777768"
"04-6058104"|"William B Rice Aid Fund Inc"|"777775"
"04-6115712"|"MARY E & LUCY S BELL IRR CHAR TR"|"777782"
"04-6141425"|"EVELYN H BLACK A3B U/W"|"777784"
"04-6266114"|"WILLIAM HOSIER TR U/WILL"|"777802"
"04-6614314"|"PATRICK CARNEY FOUNDATION"|"777809"
"04-6927546"|"KLAUS-JURGEN BATHE CHARITABLE FOUNDATION"|"777818"
"04-3340251"|"CITIZENS PROGRAMS CORPORATION"|"930225"
"01-6138763"|"GLADYS F. O'NEIL CHARITABLE TRUST"|"935957"
"02-0694762"|"J&L FOUNDATION"|"935959"
"04-3370051"|"STILL POINT FUND"|"935968"
"04-6025549"|"CO-TTEE U/W OF EDWIN PHILLIPS"|"935975"
"04-6036659"|"Joseph L. Sweeney Charitable Foundation"|"935977"
"04-6236055"|"WILLIAM B KIRKHAM"|"935984"
"05-0398850"|"KILMARTIN CHARITABLE CORPORATION"|"935991"
"01-6028898"|"SUMNER O. HANCOCK SCHOLARSHIP FUND"|"941089"
"02-6004790"|"U/W CLARA SALTUS 360145015"|"941091"
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|"562833"
"02-0406835"|"NASH FOUNDATION, INC."|"562847"
"04-2598211"|"Gardinor-Prunaret Foundation"|"562864"
"04-6421513"|"PETSAS CHARIABLE TRUST UA"|"562882"
"04-2104291"|"Humane Society of the Communwalth of MA"|"588417"
"04-6420685"|"CONSTANCE KILLAM TRUST U/W #0714865"|"588418"
"01-0514859"|"THE OLD BUG LIGHT CHARITABLE FOUNDATION"|"590191"
"01-0637863"|"MYRA & JEAN KENT ANGUS FOUNDATION"|"590192"
"01-6007198"|"RAY G MARSTON TRUST U/W FBO PINE TREE SOCIETY FOR 10 -101160016280"|"613604"
"02-0255205"|"THE PERLMAN FAMILY FOUNDATION INC"|"613605"
"02-6008379"|"THE GREENSPAN FOUNDATION"|"613606"
"04-6019494"|"NELLA M GRIMM FOX FOUNDATION"|"614038"
"01-6180488"|"FRANCIS J & ELIZABETH BRISSON MACKSEY CHARITABLE TRUST"|"614221"
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"614222"
"02-0310404"|"Gilman Home Inc."|"631570"
"04-3294711"|"THE MARTIN & DEBORAH HALE FOUNDATION"|"631636"
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"631639"
"04-6026051"|"CAROLINE FABENS-APPTD FD U/W"|"652827"
"04-6093554"|"LEIGHTON EDWARD K TR U/WILL"|"652828"
"04-6418554"|"BETSEY W. TABER TU/U/W+"|"652829"
"04-6869254"|"ESTHER B. KAHN CHARITABLE FOUNDATION"|"652830"
"03-6089090"|"BONBRIGHT FAMILY FOUNDATION"|"655100"
"03-6103976"|"JEFFREY COOK CHARITABLE TRUST"|"655101"
"04-2104284"|"HARVARD MUSICAL ASSOCIATION"|"655102"
"04-2944490"|"Mark Miminos Charitable Trust & Foundation"|"655103"
"04-6314384"|"SIDNEY HMARY L GRAY FAMILY SCHOLARSHIP FUND"|"655117"
"04-6462394"|"ELLEN ABBOTT GILMAN TRUST UW"|"655119"
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"655120"
"01-0852643"|"Gregory L. Gibson Charitable Foundation, Inc."|"689594"
"01-6076500"|"RICHARD S HUESTIS TRUST U/W 8/9/57 10-101200148440"|"689595"
"02-0511160"|"HELEN & WILLIAM MAZER FOUNDATION"|"689597"
"02-6014968"|"BLANCHE A BRUCE TRUST UWO"|"689598"
"04-3446684"|"THE BADDOUR FAMILY FOUNDATION"|"689611"
"04-3464255"|"F. Felix Foundation"|"689613"
"04-6066081"|"TRAYLOR CHARITABLE FUND"|"689628"
"04-6142548"|"EVANDER LEWIS FAMILY FOUNDATION"|"689631"
"01-0556625"|"MAAK FOUNDATION"|"690918"
