"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"PERIOD_BEGIN"|"PERIOD_END"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PHONE"|"TYPE"|"FAIR_MARKET_VALUE"|"last_modified"|"TERMINATED_CBX"|"FINAL_RETURN_CBX"|"INIT_RET_CBX"|"INITIAL_RETURN_FORMER_PC"|"CHANGE_ADDRESS_CBX"|"CHANGE_NAME_CBX"
"01-0721940"|"FRED J HARDER FOUNDATION"|"552781"|"N"|"FRED J HARDER FOUNDATION"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"PO BOX 4967"|""|"SYRACUSE"|"NY"|"USA"|"13221"|"315-474-7571"|"F"|"2743288.0000"|"12/30/2011 2:19:36 AM"|""|""|""|""|""|""
"01-6010161"|"WILLIAM FARWELL TRUST U/W 10 -101160026720"|"552782"|"N"|"WILLIAM FARWELL TRUST U/W 10 -101160026720"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"KEYBANK NA, 4900 TIEDEMAN RD. OH-01-49-015"|""|"BROOKLYN"|"OH"|"USA"|"44144-2302"|"866-238-8650"|"F"|"1465771.0000"|"12/30/2011 2:19:40 AM"|""|""|""|""|""|""
"02-0499456"|"SALEM COMMUNITY BENEFITS, INC."|"552788"|"N"|"SALEM COMMUNITY BENEFITS, INC."|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"3 SOUTH BROADWAY"|""|"SALEM"|"NH"|"USA"|"03079"|"603-898-2153"|"F"|"210024.0000"|"12/30/2011 2:19:43 AM"|""|""|""|""|""|""
"02-6015152"|"ETTA M SHAW TR #3020002192"|"552790"|"N"|"ETTA M SHAW TR #3020002192"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"870 WESTMINSTER STREET"|""|"PROVIDENCE"|"RI"|"USA"|"02903"|"603-634-7772"|"F"|"2879812.0000"|"12/30/2011 2:19:47 AM"|""|""|""|""|""|""
"02-6055400"|"ANNIE L ROWELL CHARITABLE REMAINDER TRUST 401451018"|"552791"|"N"|"ANNIE L ROWELL CHARITABLE REMAINDER TRUST 401451018"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302-0477"|"603-229-5810"|"F"|"5199276.0000"|"12/30/2011 2:19:51 AM"|""|""|""|""|""|""
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"552792"|"N"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302-0477"|"603-229-5810"|"F"|"18808098.0000"|"12/30/2011 2:19:54 AM"|""|""|""|""|""|""
"02-6119238"|"LILLIAN PRENDERGAST IRREVOCABLE CHARITABLE TRUST 407260017"|"552793"|"N"|"LILLIAN PRENDERGAST IRREVOCABLE CHARITABLE TRUST 407260017"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302-0477"|"603-229-5756"|"F"|"1386368.0000"|"12/30/2011 2:19:57 AM"|""|""|""|""|""|""
"04-2660275"|"Roberta M. Childs Charitable Foundation"|"552797"|"N"|"Roberta M. Childs Charitable Foundation"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"P.O. BOX 639"|""|"North Andover"|"MA"|"USA"|""|"978-685-4113"|"F"|"7319331.0000"|"12/30/2011 2:20:01 AM"|""|""|""|""|""|""
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"552798"|"N"|"THE SPILLANE CHARITABLE FOUNDATION"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"23 INSTITUTE ROAD"|""|"WORCESTER"|"MA"|"USA"|"01609"|"508-756-4342"|"F"|"1273883.0000"|"12/30/2011 2:20:04 AM"|""|""|""|""|""|""
"04-3353896"|"BANGOR SAVINGS BANK FOUNDATION"|"552800"|"N"|"BANGOR SAVINGS BANK FOUNDATION"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"99 FRANKLIN STREET"|""|"BANGOR"|"ME"|"USA"|"04402"|"207-942-5211"|"F"|"4297047.0000"|"12/30/2011 2:20:07 AM"|""|""|""|""|""|""
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"552801"|"N"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"WILMINGTON TRUST CO, 1100 N. MARKET ST"|""|"WILMINGTON"|"DE"|"USA"|"19890-0900"|"617-457-2042"|"F"|"2693731.0000"|"12/30/2011 2:20:10 AM"|""|""|""|""|""|""
"04-3657039"|"RICHARD AND SCARLETT CHANG FAMILY FOUNDATION"|"552803"|"N"|"RICHARD AND SCARLETT CHANG FAMILY FOUNDATION"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"5916 CROWNOVER COURT"|""|"PLANO"|"TX"|"USA"|"75093"|"972-375-3088"|"F"|"834839.0000"|"12/30/2011 2:20:16 AM"|""|""|""|""|""|""
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"552805"|"N"|"THE S.S. FORBES TEACHERS FUND"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|"J , FORBES & CO. LLP, 3 POST OFFICE SQ."|""|"BOSTON"|"MA"|"USA"|"02109"|"617-423-5705"|"F"|"2159052.0000"|"12/30/2011 2:20:19 AM"|""|""|""|""|""|""
