"C_EIN"|"C_Org_Name"|"CONTRACTOR_ID"|"XML_DOCUMENT_ID"|"CONTR_NAME"|"CONTR_STREET"|"CONTR_CITY"|"CONTR_STATE"|"CONTR_COUNTRY"|"CONTR_ZIP"|"CONTR_SERVICE"|"CONTR_COMP"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"2"|"1260882"|"SIPPICAN CAPITAL ADVISORS (GORDON BARRETT)"|"125 HIGH STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT MANAGEMENT"|"79264.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"14"|"1260893"|"MCDERMOTT, WILL & EMERY, LLP"|"28 STATE STREET"|"BOSTON"|"MA"|"USA"|"02109"|"LEGAL RE: HCA"|"139862.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"15"|"1260893"|"WHALEBACK ASSOCIATES, LLC"|"PO BOX 2074"|"NEW CASTLE"|"NH"|"USA"|"03854"|"CONSULTANT"|"68446.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"16"|"1260893"|"SMITH LEE NEBENZAHL, LLC"|"ONE POST OFFICE SQUARE"|"SHARON"|"MA"|"USA"|"02067"|"LEGAL RE: HCA"|"61645.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"17"|"1260893"|"DEVINE, MILLIMET & BRANCH, PA"|"300 BRICKSTONE SQUARE, PO BOX 39"|"ANDOVER"|"MA"|"USA"|"01810"|"LEGAL RE: HCA"|"54625.0000"
"04-3493830"|"Santos Family Foundation"|"20"|"1260895"|"Leonard E. Santos, Esq."|"4110 SE Hawthorne Street #423"|"Portland"|"OR"|"USA"|"97214"|"Auto Safety Research Project"|"58200.0000"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"21"|"1260897"|"CABOT-WELLINGTON LLC"|"70 FEDERAL STREET"|"BOSTON"|"MA"|"USA"|"02110"|"ADMINSTRATION SERVIC"|"242000.0000"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"22"|"1260897"|"FIDUCIARY TRUST COMPANY"|"PO BOX 55806"|"BOSTON"|"MA"|"USA"|"02205-5806"|"INVESTMENT ADVISORS"|"140836.0000"
"01-0493311"|"FRANCIS T AND LOUISE T NICHOLS FOUNDATION"|"42"|"1260914"|"EATON PEABODY"|"P.O. BOX 1210"|"BANGOR"|"ME"|"USA"|"04402-1210"|"ASSET MANAGEMENT"|"54687.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"43"|"1260915"|"HUNT ALTERNATIVES LLC"|"625 MT AUBURN ST"|"CAMBRIDGE"|"MA"|"USA"|"02138"|"ADMINISTRATIVE SERVICES"|"2259463.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"44"|"1260915"|"KAREN MCLAUGHLIN"|"44 ROBERT ROAD"|"MARBLEHEAD"|"MA"|"USA"|"01945"|"PROGRAM CONSULTING"|"112400.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"45"|"1260915"|"CAROL EDGAR"|"PO BOX 575"|"FORESTVILLE"|"CA"|"USA"|"95436"|"PUBLIC RELATIONS CONSULTING"|"98745.0000"
"04-6907024"|"THOMAS M & NANCY H O'NEILL FOUNDATION"|"46"|"1260916"|"LESLIE HARROWER"|"2 GARDNER LANE"|"AYER"|"MA"|"USA"|"01432"|"ADMINISTRATION"|"3500.0000"
