"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FMV_NON_CHAR_TOTAL"|"NET_NON_CHAR"|"MIN_INVEST_RETURN"
"02-0560941"|"NAUGATUCK VALLEY MEDICAL SCHOLARSHIP FUND, INC"|"1255915"|"0.0000"|"0.0000"|"0.0000"
"04-6397711"|"MAHONEY FOR ST PATRICK'S MANOR"|"1255941"|"1718217.0000"|"1692444.0000"|"84622.0000"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"1260882"|"15805252.0000"|"15568173.0000"|"778409.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"1260893"|"32575516.0000"|"32086883.0000"|"1604344.0000"
"04-3493830"|"Santos Family Foundation"|"1260895"|"3486755.0000"|"3434454.0000"|"171723.0000"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"1260897"|"38409029.0000"|"37832894.0000"|"1891645.0000"
"01-0493311"|"FRANCIS T AND LOUISE T NICHOLS FOUNDATION"|"1260914"|"17978305.0000"|"885432.0000"|"885432.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"1260915"|"2981482.0000"|"2936760.0000"|"146838.0000"
"04-6907024"|"THOMAS M & NANCY H O'NEILL FOUNDATION"|"1260916"|"1113772.0000"|"1097065.0000"|"54853.0000"
"04-3739441"|"THE PROVIDENT BANK FOUNDATION"|"1260962"|"19745306.0000"|"19449126.0000"|"972456.0000"
"04-3412829"|"THE POSS FAMILY FOUNDATION"|"1260990"|"13095534.0000"|"12899101.0000"|"644955.0000"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"1260991"|"77974975.0000"|"76805350.0000"|"3840268.0000"
"04-6015965"|"GRACE T. BLANCHARD TRUST U/W EASTERN BANK, TRUSTEE"|"1267175"|"220550.0000"|"217242.0000"|"10862.0000"
"01-0442078"|"MORTON-KELLY CHARITABLE TRUST"|"1267206"|"4049989.0000"|"3989239.0000"|"199462.0000"
"01-0483892"|"HANNAFORD CHARITABLE FOUNDATION"|"1267207"|"1498156.0000"|"1475684.0000"|"73784.0000"
"01-0496879"|"MARGARET E BURNHAM CHARITABLE TRUST"|"1267208"|"6839098.0000"|"6736512.0000"|"336826.0000"
"01-0504173"|"MARGARET & DONALD MATHESON SCHOL"|"1267209"|"595609.0000"|"586675.0000"|"29334.0000"
"01-0518429"|"ATLANTIC RESIDENTIAL RESOURCE"|"1267210"|"896503.0000"|"883055.0000"|"44153.0000"
"01-0525593"|"DN"|"1267211"|"1201049.0000"|"1183033.0000"|"59152.0000"
"01-0547392"|"Kennebunk Savings Bank Foundation"|"1267212"|"3665066.0000"|"3610090.0000"|"180505.0000"
"01-0551686"|"JOE AND MISSY WALSH FAMILY FOUNDATION"|"1267213"|"903180.0000"|"889632.0000"|"44482.0000"
"01-0553690"|"THURBER FAMILY FOUNDATION, INC."|"1267214"|"1051625.0000"|"1035851.0000"|"51793.0000"
"01-0617231"|"FORDNEY FOUNDATION"|"1267216"|"1153610.0000"|"1136306.0000"|"56815.0000"
"01-0620097"|"THE WARNER FOUNDATION"|"1267217"|"8460864.0000"|"8333951.0000"|"416698.0000"
"01-0643285"|"MWH CARING FOUNDATION, INC"|"1267219"|"103584.0000"|"102030.0000"|"5102.0000"
"01-0658759"|"AMERICA FIRST FOUNDATION"|"1267221"|"1479654.0000"|"1457459.0000"|"72873.0000"
"01-0671468"|"THE CLYDE WILLIAMS FOUNDATION"|"1267222"|"940808.0000"|"926696.0000"|"46335.0000"
"01-0676696"|"EVERETT TRUST FBO CAYUGA"|"1267223"|"554288.0000"|"545974.0000"|"27299.0000"
"01-0693374"|"THE RONALD E. & ELEANOR J. HALL FOUNDATION"|"1267224"|"963444.0000"|"948992.0000"|"47450.0000"
"01-0720431"|"CHERYL C & BLAIR EFFRON FAMILY FOUNDATION"|"1267225"|"5379429.0000"|"5298738.0000"|"264937.0000"
"01-0724780"|"Foundation For Hope"|"1267226"|"13341.0000"|"13141.0000"|"657.0000"
"01-0772925"|"ASHNER FAMILY EVERGREEN FOUNDATION"|"1267228"|"3194260.0000"|"3146346.0000"|"157317.0000"
"01-0852305"|"KALT FAMILY FOUNDATION"|"1267229"|"864746.0000"|"851775.0000"|"42589.0000"
"01-0936787"|"NARROW GATE FOUNDATION"|"1267231"|"329464.0000"|"324522.0000"|"16226.0000"
"01-6008575"|"Z A MERSEREAU TRUST U/W"|"1267232"|"1237887.0000"|"1219319.0000"|"60966.0000"
"01-6009246"|"DAVENPORT TRUST FUND"|"1267233"|"6518195.0000"|"6420422.0000"|"321021.0000"
"01-6010195"|"JOSEPH HOW CHARITABLE TRUST"|"1267234"|"1361080.0000"|"1340664.0000"|"67033.0000"
"01-6019476"|"ROSAMOND THAXTER FOUNDATION"|"1267236"|"1138549.0000"|"1121471.0000"|"56074.0000"
"01-6028898"|"SUMNER O HANCOCK SCHOLARSHIP FUND"|"1267237"|"110990.0000"|"109325.0000"|"5466.0000"
"01-6048187"|"F ROGER MILLER TRUST"|"1267238"|"751072.0000"|"739806.0000"|"36990.0000"
"01-6070773"|"MUHS FLORENCE H IRREV TR"|"1267239"|"1620712.0000"|"1596401.0000"|"79820.0000"
"01-6115166"|"LOIS M. GAUTHEIR CHARITABLE TRUST"|"1267240"|"420673.0000"|"420673.0000"|"21034.0000"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|"1267242"|"671927.0000"|"661848.0000"|"33092.0000"
"01-6145027"|"ANNE WHITEMAN RICHARDSON RESIDUARY"|"1267243"|"1610396.0000"|"1586240.0000"|"79312.0000"
"01-6161852"|"ELLEN M CROUCHLEY TR FBO RIDGEFIELD LIB & HIST"|"1267244"|"1684148.0000"|"1658886.0000"|"82944.0000"
"01-6162638"|"KAREN ANNE BOLLWERK BURKE AND WILLIAM A BURKE FAMILY CHARITABLE TRUST"|"1267245"|"773972.0000"|"762362.0000"|"38118.0000"
"01-6190683"|"ALICE E & JOSEPH C BLEWETT FOUNDATION"|"1267247"|"1587656.0000"|"1563841.0000"|"78192.0000"
"01-6225742"|"CHRIS HESS FOUNDATION"|"1267248"|"8836801.0000"|"8704249.0000"|"435212.0000"
"02-0222148"|"KINGS DAUGHTERS BENEVOLENT ASSN."|"1267249"|"1000585.0000"|"985576.0000"|"49279.0000"
"02-0364166"|"STEPHEN P BELL, TIMOTHY A BELL & TRICIA FLYNN CALEY MEMORIAL SCHOLARSHIP 3035001994"|"1267250"|"211892.0000"|"208714.0000"|"10436.0000"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|"1267251"|"87829.0000"|"86512.0000"|"4326.0000"
"02-0481954"|"BNH CHARITABLE FOUNDATION"|"1267252"|"121107.0000"|"119290.0000"|"5965.0000"
"02-0500977"|"PUMPKIN HILL FOUNDATION"|"1267253"|"902815.0000"|"889273.0000"|"44464.0000"
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|"1267254"|"907141.0000"|"893534.0000"|"44677.0000"
"02-0524940"|"SKRUNGLOO FARM, INC."|"1267256"|"2142203.0000"|"2110070.0000"|"105504.0000"
"02-0526252"|"The Ayer Scholarship Trust"|"1267257"|"746298.0000"|"735104.0000"|"36755.0000"
"02-0534833"|"BINZER ISADORE FUND T/A 20-102110409642"|"1267258"|"7956131.0000"|"7836789.0000"|"391839.0000"
"02-0539569"|"ELIZABETH MCGEACHIN MCKEE FOUNDATION"|"1267259"|"369921.0000"|"364372.0000"|"18219.0000"
"02-0573327"|"BRUCE E. & DEBRA K. GREWCOCK FOUNDATION"|"1267260"|"2753794.0000"|"2712487.0000"|"135624.0000"
"02-0583552"|"JAMES R. DOUGHERTY, JR. FOUNDATION, INC."|"1267261"|"6609358.0000"|"6510218.0000"|"325511.0000"
"02-0595263"|"GOULD FAMILY FOUNDATION"|"1267262"|"23573876.0000"|"23220268.0000"|"1161013.0000"
"02-0597036"|"THE CHERICOKE FOUNDATION"|"1267263"|"1131478.0000"|"1114506.0000"|"55725.0000"
"02-0663360"|"JANE AND SAM SUTTON FAMILY FOUNDATION"|"1267264"|"270158.0000"|"266106.0000"|"13305.0000"
"02-0735167"|"NANCY JONES BEARD FOUNDATION"|"1267265"|"4043103.0000"|"3982456.0000"|"199123.0000"
"02-0762912"|"THE GRAGG FOUNDATION"|"1267266"|"2113378.0000"|"2081677.0000"|"104084.0000"
"02-0762991"|"JAMES I. PERKINS FAMILY FOUNDATION"|"1267267"|"5539660.0000"|"5456565.0000"|"272828.0000"
"02-0788743"|"ELLIS FAMILY CHARITABLE FOUNDATION"|"1267268"|"3129185.0000"|"3082247.0000"|"154112.0000"
"02-6003982"|"HELEN BLAKE GILE TR"|"1267269"|"2271996.0000"|"2237916.0000"|"111896.0000"
"02-6004243"|"FURBUSH GEORGE T/U/W"|"1267270"|"1932594.0000"|"1903605.0000"|"95180.0000"
"02-6004465"|"THE KINGSBURY FUND"|"1267271"|"3309291.0000"|"3259652.0000"|"162983.0000"
"02-6004971"|"AGNES M. LINDSAY TRUST"|"1267272"|"22585666.0000"|"22246881.0000"|"1112344.0000"
"02-6005861"|"NEW HAMPSHIRE BALL BEARINGS FOUNDATION"|"1267273"|"121065.0000"|"119249.0000"|"5962.0000"
"02-6005885"|"THE BARKER FOUNDATION INC."|"1267274"|"5648430.0000"|"5563704.0000"|"278185.0000"
"02-6006053"|"THE MCININCH FOUNDATION"|"1267275"|"5510315.0000"|"5427660.0000"|"271383.0000"
"02-6006598"|"CONCORD FEMALE CHARITABLE SOCIETY 642093017"|"1267276"|"874902.0000"|"861778.0000"|"43089.0000"
"02-6007047"|"LADIES CHARITABLE SOCIETY OF KEENE"|"1267277"|"693705.0000"|"683299.0000"|"34165.0000"
"02-6007195"|"MILFORD HOSPITAL ASSOCIATION"|"1267278"|"1360521.0000"|"1340113.0000"|"67006.0000"
"02-6007363"|"GILBERT VERNEY FOUNDATION"|"1267279"|"2339355.0000"|"2304265.0000"|"115213.0000"
"02-6007760"|"J WILFRED ANCTIL FOUNDATION"|"1267280"|"1151430.0000"|"1134159.0000"|"56708.0000"
"02-6013780"|"WILLIAM W. TREAT FOUNDATION"|"1267281"|"1398000.0000"|"1377030.0000"|"68852.0000"
"02-6014169"|"ELVA S SMITH TRUST U/W 3020000"|"1267282"|"2113371.0000"|"2081670.0000"|"104084.0000"
"02-6021132"|"M L BILLINGS TR FBO NH CHARITIES 3035009497"|"1267283"|"927829.0000"|"913912.0000"|"45696.0000"
"02-6037670"|"OSCAR J GEORGE TRUST"|"1267284"|"4879318.0000"|"4806128.0000"|"240306.0000"
"02-6040429"|"BJB CHARITABLEACCOUNT"|"1267285"|"1614962.0000"|"1614962.0000"|"80748.0000"
"02-6060525"|"CAMBRIDGE TRUST COMPANY 5122080"|"1267286"|"1103068.0000"|"1086522.0000"|"54326.0000"
"02-6065480"|"KEITH HENNEY TRUST"|"1267287"|"599207.0000"|"590219.0000"|"29511.0000"
"02-6067436"|"NHCF JANICE BERRY SCHOLARSHIP"|"1267288"|"401287.0000"|"395268.0000"|"19763.0000"
"02-6090073"|"ANNE SLADE FREY CHARITABLE TRUST"|"1267289"|"110300.0000"|"108645.0000"|"5432.0000"
"02-6092657"|"STOKES SCHOLARSHIP TRUST"|"1267290"|"1469835.0000"|"1447787.0000"|"72389.0000"
"02-6100725"|"ELIZABETH PARKHILL CHARITABLE TRUST DAVID ROBY & EDWIN CHAMBERLAIN,TRUSTEES"|"1267291"|"385505.0000"|"379722.0000"|"18986.0000"
"02-6101659"|"CAROLINE C. LEVINE CHARITABLE TRUST"|"1267292"|"5918761.0000"|"5829980.0000"|"291499.0000"
