"C_EIN"|"C_Org_Name"|"QUAL_DIST_XIII"|"EXCESS_DIST_CORPUS_XIII"|"EXCESS_DIST_CUR_YR_XIII"|"EXCESS_DIST_NEXT_YR_XIII"|"XML_DOCUMENT_ID"
"02-0560941"|"NAUGATUCK VALLEY MEDICAL SCHOLARSHIP FUND, INC"|"0.0000"|"0.0000"|""|"49508.0000"|"1255915"
"04-6397711"|"MAHONEY FOR ST PATRICK'S MANOR"|"12777.0000"|""|""|""|"1255941"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|""|""|""|""|"1260882"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|""|""|""|"9663471.0000"|"1260893"
"04-3493830"|"Santos Family Foundation"|"16680.0000"|"0.0000"|"0.0000"|"0.0000"|"1260895"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"619083.0000"|""|""|"0.0000"|"1260897"
"01-0493311"|"FRANCIS T AND LOUISE T NICHOLS FOUNDATION"|"742332.0000"|""|""|""|"1260914"
"04-3397500"|"HUNT ALTERNATIVES FUND"|""|""|""|""|"1260915"
"04-6907024"|"THOMAS M & NANCY H O'NEILL FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"364014.0000"|"1260916"
"04-3739441"|"THE PROVIDENT BANK FOUNDATION"|""|""|""|"3369854.0000"|"1260962"
"04-3412829"|"THE POSS FAMILY FOUNDATION"|""|""|""|"3085976.0000"|"1260990"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"0.0000"|"0.0000"|"0.0000"|"2749217.0000"|"1260991"
"04-6015965"|"GRACE T. BLANCHARD TRUST U/W EASTERN BANK, TRUSTEE"|"2505.0000"|""|""|""|"1267175"
"01-0442078"|"MORTON-KELLY CHARITABLE TRUST"|""|""|""|"101556.0000"|"1267206"
"01-0483892"|"HANNAFORD CHARITABLE FOUNDATION"|""|""|""|"6612490.0000"|"1267207"
"01-0496879"|"MARGARET E BURNHAM CHARITABLE TRUST"|""|""|""|"50190.0000"|"1267208"
"01-0504173"|"MARGARET & DONALD MATHESON SCHOL"|""|"2185.0000"|"2185.0000"|""|"1267209"
"01-0518429"|"ATLANTIC RESIDENTIAL RESOURCE"|"0.0000"|"0.0000"|"0.0000"|"77724.0000"|"1267210"
"01-0525593"|"DN"|""|""|""|"132501.0000"|"1267211"
"01-0547392"|"Kennebunk Savings Bank Foundation"|"0.0000"|"0.0000"|"0.0000"|"519933.0000"|"1267212"
"01-0551686"|"JOE AND MISSY WALSH FAMILY FOUNDATION"|""|"1971.0000"|"1971.0000"|"228604.0000"|"1267213"
"01-0553690"|"THURBER FAMILY FOUNDATION, INC."|"49433.0000"|"0.0000"|""|"0.0000"|"1267214"
"01-0617231"|"FORDNEY FOUNDATION"|"40601.0000"|"0.0000"|"0.0000"|"0.0000"|"1267216"
"01-0620097"|"THE WARNER FOUNDATION"|"397322.0000"|"0.0000"|"0.0000"|"214559.0000"|"1267217"
"01-0643285"|"MWH CARING FOUNDATION, INC"|"4077.0000"|""|""|"0.0000"|"1267219"
"01-0658759"|"AMERICA FIRST FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"565406.0000"|"1267221"
"01-0671468"|"THE CLYDE WILLIAMS FOUNDATION"|""|""|""|"502069.0000"|"1267222"
"01-0676696"|"EVERETT TRUST FBO CAYUGA"|""|""|""|"36699.0000"|"1267223"
"01-0693374"|"THE RONALD E. & ELEANOR J. HALL FOUNDATION"|"22384.0000"|"0.0000"|"0.0000"|"85673.0000"|"1267224"
"01-0720431"|"CHERYL C & BLAIR EFFRON FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"827250.0000"|"1267225"
"01-0724780"|"Foundation For Hope"|""|"657.0000"|"657.0000"|"342416.0000"|"1267226"
"01-0772925"|"ASHNER FAMILY EVERGREEN FOUNDATION"|""|""|""|"2699723.0000"|"1267228"
"01-0852305"|"KALT FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"506809.0000"|"1267229"
