"C_EIN"|"C_Org_Name"|"RULING_DATE_XIV"|"XIV_4942_3"|"XIV_4942_5"|"XML_DOCUMENT_ID"
"02-0560941"|"NAUGATUCK VALLEY MEDICAL SCHOLARSHIP FUND, INC"|""|""|""|"1255915"
"04-6397711"|"MAHONEY FOR ST PATRICK'S MANOR"|""|""|""|"1255941"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"6/17/2005 12:00:00 AM"|"Y"|""|"1260882"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|""|""|""|"1260893"
"04-3493830"|"Santos Family Foundation"|""|""|""|"1260895"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|""|""|""|"1260897"
"01-0493311"|"FRANCIS T AND LOUISE T NICHOLS FOUNDATION"|""|""|"Y"|"1260914"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"6/5/1998 12:00:00 AM"|"Y"|""|"1260915"
"04-6907024"|"THOMAS M & NANCY H O'NEILL FOUNDATION"|""|""|""|"1260916"
"04-3739441"|"THE PROVIDENT BANK FOUNDATION"|""|""|""|"1260962"
"04-3412829"|"THE POSS FAMILY FOUNDATION"|""|""|""|"1260990"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|""|""|""|"1260991"
"04-6015965"|"GRACE T. BLANCHARD TRUST U/W EASTERN BANK, TRUSTEE"|""|""|""|"1267175"
"01-0442078"|"MORTON-KELLY CHARITABLE TRUST"|""|""|""|"1267206"
"01-0483892"|"HANNAFORD CHARITABLE FOUNDATION"|""|""|""|"1267207"
"01-0496879"|"MARGARET E BURNHAM CHARITABLE TRUST"|""|""|""|"1267208"
"01-0504173"|"MARGARET & DONALD MATHESON SCHOL"|""|""|""|"1267209"
"01-0518429"|"ATLANTIC RESIDENTIAL RESOURCE"|""|""|""|"1267210"
"01-0525593"|"DN"|""|"Y"|"Y"|"1267211"
"01-0547392"|"Kennebunk Savings Bank Foundation"|""|""|""|"1267212"
"01-0551686"|"JOE AND MISSY WALSH FAMILY FOUNDATION"|""|""|""|"1267213"
"01-0553690"|"THURBER FAMILY FOUNDATION, INC."|""|""|""|"1267214"
"01-0617231"|"FORDNEY FOUNDATION"|""|""|""|"1267216"
"01-0620097"|"THE WARNER FOUNDATION"|""|""|""|"1267217"
"01-0643285"|"MWH CARING FOUNDATION, INC"|""|""|""|"1267219"
"01-0658759"|"AMERICA FIRST FOUNDATION"|""|""|""|"1267221"
"01-0671468"|"THE CLYDE WILLIAMS FOUNDATION"|""|""|""|"1267222"
"01-0676696"|"EVERETT TRUST FBO CAYUGA"|""|""|""|"1267223"
"01-0693374"|"THE RONALD E. & ELEANOR J. HALL FOUNDATION"|""|""|""|"1267224"
"01-0720431"|"CHERYL C & BLAIR EFFRON FAMILY FOUNDATION"|""|""|""|"1267225"
"01-0724780"|"Foundation For Hope"|""|""|""|"1267226"
