"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"COMPENSATION"|"OTHER_SALARIES"|"PENSION_PLANS"|"LEGAL_FEES"|"ACCOUNTING_FEES"|"PROFESSIONAL_FEES"|"INTEREST"|"TAXES"|"DEPRECIATION"|"OCCUPANCY"|"CONFERENCES"|"PRINTING"|"OTHER_EXPENSES"|"TOTAL_OPERATING_EXPENSES"|"CONTRIBUTIONS"|"TOTAL_EXPENSES"|"NET_INVESTMENT_INCOME"|"ADJUSTED_NET_INCOME"|"INTEREST_SAVINGS"|"DIVIDENDS_SECURITIES"|"GROSS_RENTS"|"SALE_ASSETS"|"PROFIT_SALES"|"OTHER_INC"|"TOTAL_INC"|"REV_INVEST_INC"|"COMPENSATION_INV"|"COMPENSATION_DIS"|"OTHER_SALARIES_INV"|"OTHER_SALARIES_DIS"|"PENSION_PLANS_INV"|"PENSION_PLANS_DIS"|"LEGAL_FEES_INV"|"LEGAL_FEES_DIS"|"ACCOUNTING_FEES_INV"|"ACCOUNTING_FEES_DIS"|"PROFESSIONAL_FEES_CBX"|"PROFESSIONAL_FEES_INV"|"PROFESSIONAL_FEES_DIS"|"INTEREST_DIS"|"TAXES_DIS"|"OCCUPANCY_DIS"|"CONFERENCES_DIS"|"PRINTING_DIS"|"OTHER_EXPENSES_CBX"|"OTHER_EXPENSES_DIS"|"TOTAL_OA_EXPENSES_INV"|"TOTAL_OA_EXPENSES_DIS"|"CONTRIBUTIONS_DIS"|"TOTAL_EXPENSES_INV"|"TOTAL_EXPENSES_DIS"|"CONTRIBUTIONS_RCVD"
"01-0721940"|"FRED J HARDER FOUNDATION"|"552781"|"6400.0000"|""|""|"34369.0000"|""|"29895.0000"|""|"976.0000"|""|""|""|""|"250.0000"|"71890.0000"|"105712.0000"|"177602.0000"|"85451.0000"|"94872.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010161"|"WILLIAM FARWELL TRUST U/W 10 -101160026720"|"552782"|"14563.0000"|""|""|""|"900.0000"|""|""|"583.0000"|""|""|""|""|""|"16046.0000"|"54561.0000"|"70607.0000"|"22613.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0499456"|"SALEM COMMUNITY BENEFITS, INC."|"552788"|"0.0000"|""|""|""|""|""|""|"2.0000"|""|""|""|""|"75.0000"|"77.0000"|"12075.0000"|"12152.0000"|"214.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6015152"|"ETTA M SHAW TR #3020002192"|"552790"|"25446.0000"|""|""|""|""|"500.0000"|""|""|""|""|""|""|"207.0000"|"26153.0000"|"110708.0000"|"136861.0000"|"56635.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6055400"|"ANNIE L ROWELL CHARITABLE REMAINDER TRUST 401451018"|"552791"|"35727.0000"|""|""|""|"575.0000"|""|""|"3069.0000"|""|""|""|""|"75.0000"|"39446.0000"|"315542.0000"|"354988.0000"|"230140.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"552792"|"104752.0000"|""|""|""|"575.0000"|""|""|"16351.0000"|""|""|""|""|"75.0000"|"121753.0000"|"1145550.0000"|"1267303.0000"|"1047630.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6119238"|"LILLIAN PRENDERGAST IRREVOCABLE CHARITABLE TRUST 407260017"|"552793"|"14402.0000"|""|""|""|"575.0000"|""|""|"971.0000"|""|""|""|""|"75.0000"|"16023.0000"|"62650.0000"|"78673.0000"|"92305.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2660275"|"Roberta M. Childs Charitable Foundation"|"552797"|"35675.0000"|""|""|""|""|""|""|"12641.0000"|""|""|""|""|"70.0000"|"48386.0000"|"335500.0000"|"383886.0000"|"759797.0000"|"236577.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"552798"|"0.0000"|""|""|""|"2574.0000"|""|""|"510.0000"|""|""|""|""|"51.0000"|"3135.0000"|"66916.0000"|"70051.0000"|"8122.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3353896"|"BANGOR SAVINGS BANK FOUNDATION"|"552800"|"0.0000"|""|""|""|"1225.0000"|"22988.0000"|""|"1876.0000"|""|""|""|""|"314.0000"|"26403.0000"|"619065.0000"|"645468.0000"|"119838.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"552801"|"30628.0000"|""|""|""|""|"6302.0000"|""|"2005.0000"|""|""|""|""|"349.0000"|"39284.0000"|"86500.0000"|"125784.0000"|"102191.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3657039"|"RICHARD AND SCARLETT CHANG FAMILY FOUNDATION"|"552803"|"0.0000"|""|""|""|"550.0000"|"168.0000"|""|"193.0000"|""|""|""|""|"125.0000"|"1036.0000"|"49000.0000"|"50036.0000"|"19319.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"552805"|"0.0000"|""|""|""|"3030.0000"|"15437.0000"|""|"3300.0000"|""|""|""|""|"546.0000"|"22313.0000"|"95825.0000"|"118138.0000"|"100613.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"552806"|"11177.0000"|""|""|"147.0000"|"1432.0000"|"8906.0000"|""|"780.0000"|""|""|""|""|""|"22442.0000"|"50000.0000"|"72442.0000"|"95398.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
