"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"INVESTMENTS_GOV_FAIR_MARKET"|"INVESTMENTS_STOCKS_FAIR_MARKET"|"INVESTMENTS_BONDS_FAIR_MARKET"|"INVESTMENTS_DEPRECIATION_FAIR_MARKET"|"INVESTMENTS_LOANS_FAIR_MARKET"|"INVESTMENTS_OTHER_FAIR_MARKET"|"LAND_DEPRECIATION_FAIR_MARKET"|"OTHER_ASSETS_FAIR_MARKET"|"TOTAL_ASSETS_BOOK"|"TOTAL_ASSETS_FAIR_MARKET"|"TOTAL_LIABILITIES"|"CASH_NONINT"|"SAV_TEMPCASH"
"01-0721940"|"FRED J HARDER FOUNDATION"|"552781"|""|"986286.0000"|"1646687.0000"|""|""|""|""|"1609.0000"|"2637427.0000"|"2743288.0000"|"0.0000"|""|"108706.0000"
"01-6010161"|"WILLIAM FARWELL TRUST U/W 10 -101160026720"|"552782"|""|""|""|""|""|"1465771.0000"|""|""|"1273016.0000"|"1465771.0000"|""|""|""
"02-0499456"|"SALEM COMMUNITY BENEFITS, INC."|"552788"|""|""|""|""|""|""|""|""|"210024.0000"|"210024.0000"|"0.0000"|""|"185024.0000"
"02-6015152"|"ETTA M SHAW TR #3020002192"|"552790"|"383044.0000"|"1080778.0000"|"51729.0000"|""|""|"1352319.0000"|""|""|"2438200.0000"|"2879812.0000"|""|""|"11942.0000"
"02-6055400"|"ANNIE L ROWELL CHARITABLE REMAINDER TRUST 401451018"|"552791"|"930587.0000"|"3511440.0000"|"708926.0000"|""|""|""|""|""|"4805557.0000"|"5199276.0000"|""|""|"48323.0000"
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"552792"|"3564537.0000"|"11337888.0000"|"3677978.0000"|""|""|""|""|""|"17293840.0000"|"18808098.0000"|""|""|"227695.0000"
"02-6119238"|"LILLIAN PRENDERGAST IRREVOCABLE CHARITABLE TRUST 407260017"|"552793"|"177500.0000"|"942466.0000"|"232950.0000"|""|""|""|""|""|"1285120.0000"|"1386368.0000"|""|""|"33452.0000"
"04-2660275"|"Roberta M. Childs Charitable Foundation"|"552797"|""|"6553606.0000"|"445300.0000"|""|""|""|""|""|"3392987.0000"|"7319331.0000"|"0.0000"|"113424.0000"|"207001.0000"
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"552798"|""|""|""|""|""|""|""|""|"1273883.0000"|"1273883.0000"|"0.0000"|""|"1273883.0000"
"04-3353896"|"BANGOR SAVINGS BANK FOUNDATION"|"552800"|""|"3272301.0000"|"852152.0000"|""|""|""|""|""|"3446338.0000"|"4297047.0000"|"0.0000"|"500.0000"|"172094.0000"
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"552801"|"377580.0000"|"2184059.0000"|"108400.0000"|""|""|""|""|""|"2011579.0000"|"2693731.0000"|"0.0000"|"-1.0000"|"23693.0000"
"04-3657039"|"RICHARD AND SCARLETT CHANG FAMILY FOUNDATION"|"552803"|"53420.0000"|"498078.0000"|"218464.0000"|""|""|""|""|""|"775928.0000"|"834839.0000"|"0.0000"|"2.0000"|"63898.0000"
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"552805"|"280492.0000"|"1184597.0000"|"0.0000"|""|""|"693963.0000"|""|""|"1798626.0000"|"2159052.0000"|"0.0000"|""|""
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"552806"|"0.0000"|"966974.0000"|"149715.0000"|""|""|"0.0000"|""|""|"905899.0000"|"1245367.0000"|"0.0000"|""|"91178.0000"
"04-6731724"|"WARMAN SCHOLARSHIP FUND PFDN 10 -101160523040"|"552807"|""|""|""|""|""|"542221.0000"|""|""|"504243.0000"|"542221.0000"|""|""|""
"04-6385523"|"ELIZABETH KILLAM RODGERS TR U/W #0713941"|"555155"|"795039.0000"|"6534100.0000"|"113511.0000"|""|""|""|""|""|"3022357.0000"|"8165762.0000"|"0.0000"|"500.0000"|"722612.0000"
"04-3190300"|"DR ANTON R FRIED MEMORIAL TRUST"|"555422"|"187725.0000"|"1001850.0000"|"96449.0000"|""|""|""|""|""|"943524.0000"|"1428983.0000"|""|""|"142959.0000"
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|"562833"|"81605.0000"|"272523.0000"|"54776.0000"|""|""|""|""|""|"308680.0000"|"423103.0000"|"1000.0000"|""|"14199.0000"
"01-6020236"|"BRACKETT WADE F & ISABEL"|"562839"|""|"3256548.0000"|""|""|""|""|""|""|"2904279.0000"|"3435655.0000"|""|""|"179107.0000"
"01-6023401"|"MAYBURY IMOGENE U/W N PL"|"562842"|""|"3144969.0000"|""|""|""|""|""|""|"2680423.0000"|"3220538.0000"|""|""|"75569.0000"
"02-0222133"|"Oliver JM Gilman Trust"|"562844"|"139975.0000"|"791007.0000"|"380719.0000"|""|""|""|"267000.0000"|"11030.0000"|"1243244.0000"|"1598223.0000"|""|"253.0000"|"8239.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"562847"|""|"591474.0000"|""|""|""|""|""|""|"659850.0000"|"659849.0000"|"0.0000"|"9733.0000"|"58642.0000"
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"562853"|"179041.0000"|"286991.0000"|"127465.0000"|""|""|"205749.0000"|""|""|"757696.0000"|"818873.0000"|"0.0000"|""|"19627.0000"
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"562859"|"754468.0000"|"10318016.0000"|"1888185.0000"|"455000.0000"|""|"571389.0000"|"3585171.0000"|""|"15540919.0000"|"18226823.0000"|"596.0000"|""|"654594.0000"
"04-2235130"|"THE HORACE SMITH FUND"|"562862"|"0.0000"|"4579031.0000"|"1711822.0000"|""|""|""|"4053.0000"|"17023.0000"|"5881046.0000"|"6603578.0000"|"6268.0000"|"5281.0000"|"227291.0000"
"04-2598211"|"Gardinor-Prunaret Foundation"|"562864"|""|""|"6111330.0000"|""|""|""|""|""|"3731920.0000"|"6516129.0000"|""|"90292.0000"|"84657.0000"
"04-3298628"|"CO-TTEE OF ROAF MEMORIAL FUND"|"562870"|""|"1138143.0000"|"162153.0000"|""|""|""|""|""|"2769492.0000"|"2909858.0000"|""|""|"41062.0000"
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"562872"|""|"2642405.0000"|""|""|""|""|""|""|"2246356.0000"|"2695199.0000"|""|""|"52794.0000"
"04-3671809"|"WISH YOU WELL FOUNDATION"|"562874"|"98627.0000"|"188630.0000"|"0.0000"|"0.0000"|""|"99324.0000"|"0.0000"|"0.0000"|"388512.0000"|"433989.0000"|"0.0000"|"651.0000"|"46757.0000"
"04-6095808"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"562878"|""|"713146.0000"|""|""|""|""|""|""|"570567.0000"|"718851.0000"|""|""|"5705.0000"
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"562880"|""|"754100.0000"|""|""|""|""|""|""|"700887.0000"|"761401.0000"|""|""|"7301.0000"
"04-6421513"|"PETSAS CHARIABLE TRUST UA"|"562882"|""|"691288.0000"|""|""|""|""|""|""|"701975.0000"|"701878.0000"|""|""|"10590.0000"
"01-6080221"|"GREENLAW VERA GRACE TR SC"|"567083"|""|"572497.0000"|""|""|""|""|""|""|"548622.0000"|"586087.0000"|""|""|"13590.0000"
"04-3547221"|"TALBOTS CHARITABLE FOUNDATION, INC."|"567826"|""|""|""|""|""|""|""|""|"692821.0000"|"692821.0000"|""|"692821.0000"|""
"04-2104681"|"Faith Home, Inc."|"573628"|""|"314837.0000"|"96164.0000"|""|""|""|""|""|"361222.0000"|"437533.0000"|"0.0000"|"1826.0000"|"24706.0000"
"04-6072512"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"573629"|""|""|""|""|""|"1879256.0000"|""|""|"1598972.0000"|"1894510.0000"|""|""|"15254.0000"
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"576691"|"702512.0000"|"2363759.0000"|"582251.0000"|"577303.0000"|"77984.0000"|"148306.0000"|""|"765965.0000"|"5248787.0000"|"5248787.0000"|"670.0000"|"24410.0000"|"6297.0000"
"02-0536250"|"THE MATTHEW J & ANNE B SMITH FOUNDATION INC"|"576693"|"2597880.0000"|"2094625.0000"|"0.0000"|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"4328314.0000"|"4830303.0000"|"0.0000"|"24345.0000"|"113453.0000"
"02-6068307"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"576694"|"240322.0000"|"759189.0000"|"105008.0000"|""|""|"903622.0000"|""|""|"1756248.0000"|"2059198.0000"|""|""|"51057.0000"
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"576696"|"163737.0000"|"1031855.0000"|""|""|""|"1469871.0000"|""|""|"2237646.0000"|"2663389.0000"|""|""|"-2074.0000"
"04-3359500"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"576708"|"51774.0000"|"551847.0000"|"0.0000"|""|""|"358932.0000"|""|""|"1024363.0000"|"1109197.0000"|"0.0000"|""|"146644.0000"
"04-3608094"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"576712"|""|""|""|""|""|"3645065.0000"|""|""|"3646066.0000"|"3646066.0000"|"1689108.0000"|"1001.0000"|""
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"576714"|""|""|""|""|""|"16874900.0000"|"947.0000"|""|"17496972.0000"|"17496972.0000"|"0.0000"|""|"621125.0000"
"02-0312307"|"MARY A. SWEENEY HOME"|"582702"|""|"3674832.0000"|"2718740.0000"|""|""|""|"628408.0000"|""|"6157435.0000"|"7138512.0000"|"2136.0000"|"25592.0000"|"90940.0000"
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"582704"|""|"1400069.0000"|"105611.0000"|""|""|"863094.0000"|""|""|"1832023.0000"|"2395762.0000"|"102320.0000"|""|"26029.0000"
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"583443"|"45671.0000"|"1015589.0000"|"198520.0000"|""|""|""|""|""|"1000631.0000"|"1320365.0000"|"0.0000"|"17863.0000"|"42722.0000"
"01-0351827"|"HELEN R COE TRUST"|"583842"|"215953.0000"|"1703071.0000"|"205688.0000"|""|""|""|""|""|"1965749.0000"|"2226052.0000"|""|""|"101340.0000"
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"583843"|""|"2347446.0000"|""|""|""|""|""|""|"2153237.0000"|"2366432.0000"|""|""|"18986.0000"
"02-6061834"|"ANDREWS MARIE B T/U/W"|"583844"|""|"922047.0000"|"346524.0000"|""|""|"16575.0000"|""|"40206.0000"|"1202474.0000"|"1496518.0000"|""|"30861.0000"|"140305.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"583845"|""|"809368.0000"|"919448.0000"|""|""|""|""|""|"1758421.0000"|"1921634.0000"|"0.0000"|"27336.0000"|"165482.0000"
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"583846"|""|""|""|""|""|"559913.0000"|""|""|"523309.0000"|"582007.0000"|""|""|"22094.0000"
"04-6029538"|"SOPHIA F ROMERO T/U/W"|"583847"|""|"2703513.0000"|""|""|""|""|""|""|"2322636.0000"|"2794084.0000"|""|""|"90571.0000"
"04-6460749"|"ELMER DELOURA FOR SCHOLARSHIPS"|"584493"|""|"4313783.0000"|""|""|""|""|""|""|"2509811.0000"|"4380533.0000"|""|""|"66750.0000"
"04-6429961"|"BROWN EMMA S U/DECL 3/12/79"|"584880"|""|"6157583.0000"|""|""|""|""|""|""|"6140061.0000"|"6374172.0000"|""|""|"216589.0000"
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"586094"|""|"841725.0000"|""|""|""|""|""|""|"730833.0000"|"855026.0000"|""|""|"13301.0000"
"01-6040690"|"MEANS ELIZABETH W"|"586710"|""|"717415.0000"|""|""|""|""|""|""|"668234.0000"|"758593.0000"|""|""|"41178.0000"
"03-6070999"|"HARRY WOLFF TRUST"|"586712"|""|"1608318.0000"|""|""|""|""|""|""|"1392523.0000"|"1624043.0000"|""|""|"15725.0000"
"04-3222995"|"MILLER UA MOREY & HELEN SCHOOL"|"586714"|""|"3176160.0000"|""|""|""|""|""|""|"3080730.0000"|"3281120.0000"|""|""|"104960.0000"
"04-6020389"|"L BIRD-EDWARD V BIRD TRUST"|"586715"|""|"5204323.0000"|""|""|""|""|""|""|"4660282.0000"|"5385383.0000"|""|"-9385.0000"|"190445.0000"
