"C_EIN"|"C_Org_Name"|"activity_id"|"XML_DOCUMENT_ID"|"ACTIVITY"|"EXPENSES"
"02-0406835"|"NASH FOUNDATION, INC."|"38170"|"562847"|"GIRLS INC."|"5000.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"38171"|"562847"|"HOME, HEALTH, AND HOSPICE"|"2500.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"38172"|"562847"|"BOYS AND GIRLS CLUB"|"2000.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"38173"|"562847"|"HUDSON HISTORICAL SOCIETY"|"2000.0000"
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"38177"|"562859"|"SINCE 1946, THE DAVENPORT MEMORIAL FOUNDATION HAS OPERATED AND MAINTAINED A PERPETUAL HOME FOR THE CARE, SUPPORT, AND MAINTENANCE OF COUPLES AND SINGLES, AT LEAST 65 YEARS OF AGE AS ITS PRINCIPAL FUNCTIONAL PURPOSE. THE FACILITY, LOCATED AT 70 SALEM STREET, MALDEN MASSACHUSETTS, IS CURRENTLY LICENSED FOR 18 LEVEL IV (SELF CARE) RESIDENTIAL BEDS. DURING 2010 THE AVERAGE RESIDENT OCCUPANCY WAS 15."|"0.0000"
"04-2235130"|"THE HORACE SMITH FUND"|"38178"|"562862"|"SCHOLARSHIPS"|"219838.0000"
"04-2235130"|"THE HORACE SMITH FUND"|"38179"|"562862"|"FELLOWSHIPS"|"33515.0000"
"04-2598211"|"Gardinor-Prunaret Foundation"|"38181"|"562864"|"No such activities."|""
"04-3547221"|"TALBOTS CHARITABLE FOUNDATION, INC."|"38926"|"567826"|"The only charitable activity of the Foundation is to make grants in support of women's education, health research/awareness initiatives and cultural enrichment programs"|"33644.0000"
"04-2104681"|"Faith Home, Inc."|"40029"|"573628"|"Providing financial assistance in the form of camperships, donations and emergency requests for underprivileged youths."|"33602.0000"
"04-3608094"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"40448"|"576712"|"DIRECT DISTRIBUTIONS TO OTHER CHARITABLE ENTITITES"|"0.0000"
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"40449"|"576714"|"THE ORGANIZATION AIDES AGED WOMEN AND OTHER EXEMPT ORGANIZATIONS BY FURNISHING FINANCIAL ASSISTANCE AND RELIEF"|"621234.0000"
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"40969"|"583443"|"PROGRAMS WITH SPEAKERS OR PERFORMERS GIVEN SEVERAL TIMES DURING THE YEAR FREE OF CHARGE TO ALL CITIZENS OF THE TOWN OF LEXINGTON, MA"|"10064.0000"
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"40970"|"583443"|"PROVIDED EDUCATIONAL SCHOLARSHIPS TO APPROXIMATELY TWENTY STUDENTS."|"52800.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"41007"|"583845"|"INDIVIDUAL GRANTS FOR EXTRACURRICULAR ACTIVITIES"|"55950.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"41008"|"583845"|"INDIVIDUAL GRANTS FOR SCHOLARSHIPS"|"46500.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"41009"|"583845"|"INDIVIDUAL GRANTS FOR SUMMER CAMPS"|"33087.0000"
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"41010"|"583846"|"THE FOUNDATION PROVIDES SCHOLARSHIPS TO GRADUATES OF HIGH SCHOOLS IN THE CHESTER, VT AREA, TO FURTHER THEIR EDUCATION."|"26520.0000"
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"41273"|"588015"|"AWARDS ARE MADE TO VARIOUS IRC SECTION 501(C)(3) ORGANIZATIONS."|"105000.0000"
"01-6080947"|"WILLIAM C. BULLOCK, JR FAMILY FOUNDATION"|"41346"|"589196"|"SUPPORT OF CHARITABLE ORANIZATIONS, PURSUANT TO TRUST DOC."|"37125.0000"
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"42118"|"607602"|"BURR AND BURTON ACADEMY - ANNUAL GRANT PAYMENT"|"25000.0000"
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"42119"|"607602"|"ARLINGTON AREA CHILD CARE - ANNUAL GRANT PAYMENT"|"3500.0000"
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"42120"|"607602"|"VERMONT SPECIAL OLYMPICS - ANNUAL GRANT PAYMENT"|"4500.0000"
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"42121"|"607602"|"RILEY RINK AT HUNTER PARK - ANNUAL GRANT PAYMENT"|"4000.0000"
"04-3292646"|"Information Research Foundation"|"42764"|"611093"|"One summer research grant to work on modeling and learning for pattern detection another reseach grant to work on character recognition for the benefit of the disadvantaged"|"17300.0000"
"04-3292646"|"Information Research Foundation"|"42765"|"611093"|"Journal publication and subscription grants 3300 Book series publication grant 4500"|"7800.0000"
