"C_EIN"|"C_Org_Name"|"investment_id"|"XML_DOCUMENT_ID"|"DESC"|"AMOUNT"
"04-2235130"|"THE HORACE SMITH FUND"|"2055"|"562862"|"STUDENT LOANS - NO NEW LOANS IN 2010"|"0.0000"
"04-2598211"|"Gardinor-Prunaret Foundation"|"2056"|"562864"|"No such investments."|""
"04-3292646"|"Information Research Foundation"|"2288"|"611093"|"We plan to continue to invest 20000, for untinmed bio-imaging research next year for grants."|"20000.0000"
"04-2680681"|"ALBERT E. MARKS CHARITABLE TRUST"|"2620"|"692905"|"NONE - GRANT MAKING ORGANIZATION"|"0.0000"
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"2691"|"747791"|"Improvements to properties"|"24593.0000"
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"2692"|"747791"|"Land purchase for housing"|"68000.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"2729"|"777775"|"Scholarship Awards Paid"|"0.0000"
"04-3105650"|"The Hanover Insurance Group Foundation, Inc."|"2807"|"935964"|"Note Receivable from Worcester Center for Performing Arts"|"30000.0000"
"04-6626994"|"LIBRA FOUNDATION"|"2850"|"941151"|"CAPITAL CONTRIBUTIONS MADE TO PINELAND FARMS NATURAL MEATS, INC. FOR BUSINESS EXPANSION PURPOSES TO PROVIDE THE OPPORTUNITY TO OFFER MORE JOBS IN THE COMMUNITY."|"2861251.0000"
"04-6626994"|"LIBRA FOUNDATION"|"2851"|"941151"|"CAPITAL CONTRIBUTIONS MADE TO BIG ROCK FOR BUSINESS EXPANSION PURPOSES TO PROVIDE THE OPPORTUNITY TO OFFER MORE JOBS IN THE COMMUNITY."|"140000.0000"
"04-2306840"|"THE SWAN SOCIETY IN BOSTON, INC."|"2926"|"963326"|"ALL INVESTMENTS ARE HELD FOR THE PURPOSE OF PRODUCING INCOME TO FUND THE CHARITABLE ACTIVITIES OF THE ORGANIZATION."|"3623875.0000"
"04-3267731"|"H PATTERSO HALE CHARITABLE FOUNDATI"|"2958"|"972925"|"HISTORICAL SOCIETY OF OLD NEWBURY UNRESTRICTED"|"10000.0000"
