"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"DIST_RATIO_1"|"DIST_RATIO_2"|"DIST_RATIO_3"|"DIST_RATIO_4"|"DIST_RATIO_5"|"AVG_DIST_RATIO"|"VALUE_NONCHAR_ASSETS"|"ONE_PCT_INV_INC"|"RATIO_PLUS_INV_INC"|"QUAL_DIST_V"|"DIST_RATIO_NONCHAR_ASSETS"
"01-0721940"|"FRED J HARDER FOUNDATION"|"552781"|"0.0529870000"|"0.0550080000"|"0.0464770000"|"0.0521830000"|"0.0603240000"|""|""|""|""|""|""
"01-6010161"|"WILLIAM FARWELL TRUST U/W 10 -101160026720"|"552782"|"0.0324549689"|"0.0461864336"|""|""|""|""|""|""|""|""|""
"02-0499456"|"SALEM COMMUNITY BENEFITS, INC."|"552788"|"0.0418280000"|"0.5781940000"|"0.0223870000"|"0.2980500000"|"0.0709040000"|""|""|""|""|""|""
"02-6015152"|"ETTA M SHAW TR #3020002192"|"552790"|"0.0517432707"|"0.0510852268"|"0.0457144554"|"0.0484748163"|"0.0553447316"|""|""|""|""|""|""
"02-6055400"|"ANNIE L ROWELL CHARITABLE REMAINDER TRUST 401451018"|"552791"|"0.0374220204"|"0.0503264293"|"0.0502214766"|"0.0500508120"|"0.0481608779"|""|""|""|""|""|""
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"552792"|"0.0374338859"|"0.0503307431"|"0.0502097533"|"0.0500322919"|"0.0505159255"|""|""|""|""|""|""
"02-6119238"|"LILLIAN PRENDERGAST IRREVOCABLE CHARITABLE TRUST 407260017"|"552793"|"0.0469142760"|"0.0644002305"|"0.0493067655"|"0.0484722974"|"0.0494989795"|""|""|""|""|""|""
"04-2660275"|"Roberta M. Childs Charitable Foundation"|"552797"|"0.0438300000"|"0.0476500000"|"0.0519800000"|"0.0485900000"|"0.0564300000"|""|""|""|""|""|""
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"552798"|"0.0302410000"|"0.0359700000"|"0.0529390000"|"0.0504700000"|"0.0453250000"|""|""|""|""|""|""
"04-3353896"|"BANGOR SAVINGS BANK FOUNDATION"|"552800"|"0.1641680000"|"0.1507070000"|"0.1508910000"|"0.1406160000"|"0.0975470000"|""|""|""|""|""|""
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"552801"|"0.0546390000"|"0.0619750000"|"0.0478420000"|"0.0510390000"|"0.0519670000"|""|""|""|""|""|""
"04-3657039"|"RICHARD AND SCARLETT CHANG FAMILY FOUNDATION"|"552803"|"0.0556910000"|"0.0496020000"|"0.0727410000"|"0.0754130000"|"0.0821070000"|""|""|""|""|""|""
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"552805"|""|""|""|""|""|""|""|""|""|""|""
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"552806"|"0.0450280000"|"0.0695440000"|"0.0446310000"|"0.0388060000"|"0.0555610000"|""|""|""|""|""|""
"04-6731724"|"WARMAN SCHOLARSHIP FUND PFDN 10 -101160523040"|"552807"|"0.0561319196"|"0.0252001628"|"0.0477555376"|"0.0370424204"|"0.0583287967"|""|""|""|""|""|""
"04-6385523"|"ELIZABETH KILLAM RODGERS TR U/W #0713941"|"555155"|"0.0307890000"|"0.0880680000"|"0.0515130000"|"0.0546480000"|"0.0729260000"|""|""|""|""|""|""
"04-3190300"|"DR ANTON R FRIED MEMORIAL TRUST"|"555422"|"0.0684887397"|"0.0635778603"|"0.0574252729"|"0.0615298443"|"0.0589884387"|""|""|""|""|""|""
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|"562833"|"0.5647150000"|"0.3332360000"|"0.2063650000"|"0.2124560000"|"0.2184550000"|""|""|""|""|""|""
"01-6020236"|"BRACKETT WADE F & ISABEL"|"562839"|"0.0356967667"|"0.0628989979"|""|""|""|""|""|""|""|""|""
"01-6023401"|"MAYBURY IMOGENE U/W N PL"|"562842"|"0.0747582015"|"0.0675583337"|"0.0561032503"|"0.0455615919"|"0.0461178075"|""|""|""|""|""|""
"02-0222133"|"Oliver JM Gilman Trust"|"562844"|"0.0553000000"|"0.0512000000"|"0.0451000000"|"0.0542000000"|"0.0444000000"|""|""|""|""|""|""
"02-0406835"|"NASH FOUNDATION, INC."|"562847"|"0.0538710000"|"0.0512620000"|"0.0790470000"|"0.0509200000"|"0.0562420000"|""|""|""|""|""|""
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"562853"|"0.0552460000"|"0.0540100000"|"0.0515060000"|"0.0503340000"|"0.0437140000"|""|""|""|""|""|""
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"562859"|""|""|""|""|""|""|""|""|""|""|""
"04-2235130"|"THE HORACE SMITH FUND"|"562862"|"0.0598590000"|"0.0613400000"|"0.0495120000"|"0.0482200000"|"0.0476570000"|""|""|""|""|""|""
"04-2598211"|"Gardinor-Prunaret Foundation"|"562864"|"0.0493200000"|"0.0584900000"|"0.0581300000"|"0.0478200000"|"0.0685400000"|""|""|""|""|""|""
"04-3298628"|"CO-TTEE OF ROAF MEMORIAL FUND"|"562870"|"0.0585929111"|"0.0589108886"|""|""|""|""|""|""|""|""|""
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"562872"|"0.0585329266"|"0.0422843103"|"0.0518145015"|"0.0495428037"|"0.0501172687"|""|""|""|""|""|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"562874"|"0.2142940000"|"0.2040210000"|"0.1245140000"|"0.2550110000"|"0.2146140000"|""|""|""|""|""|""
"04-6095808"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"562878"|"0.0358493016"|"0.0463372045"|"0.0430844424"|"0.0333849600"|"0.0345062793"|""|""|""|""|""|""
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"562880"|"0.0473740446"|"0.0522282265"|"0.0504719982"|"0.0460898470"|"0.0354536259"|""|""|""|""|""|""
"04-6421513"|"PETSAS CHARIABLE TRUST UA"|"562882"|"0.0472765256"|"0.0600179436"|"0.0501277180"|"0.0445003501"|"0.0521530888"|""|""|""|""|""|""
"01-6080221"|"GREENLAW VERA GRACE TR SC"|"567083"|"0.0520922371"|"0.0643265698"|"0.0546572473"|"0.0514978039"|"0.0430730140"|""|""|""|""|""|""
"04-3547221"|"TALBOTS CHARITABLE FOUNDATION, INC."|"567826"|"4.6200000000"|"4.0900000000"|"1.0800000000"|"0.4800000000"|""|""|""|""|""|""|""
"04-2104681"|"Faith Home, Inc."|"573628"|"0.0789120000"|"0.0815080000"|"0.0618290000"|"0.0545180000"|"0.0513320000"|""|""|""|""|""|""
"04-6072512"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"573629"|"0.0568340996"|"0.0738327860"|"0.0603721854"|"0.0589802874"|"0.0603080065"|""|""|""|""|""|""
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"576691"|"0.0511180000"|"0.0576890000"|"0.0445680000"|"0.0545570000"|"0.0481870000"|""|""|""|""|""|""
"02-0536250"|"THE MATTHEW J & ANNE B SMITH FOUNDATION INC"|"576693"|"0.0503250000"|"0.0536900000"|"0.0608660000"|"0.0426080000"|"0.0871290000"|""|""|""|""|""|""
"02-6068307"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"576694"|"0.0496694428"|"0.0483347336"|"0.0437098190"|"0.0486214835"|"0.0548049893"|""|""|""|""|""|""
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"576696"|"0.0538782215"|"0.0504654359"|"0.0456488074"|"0.0463160280"|"0.0526357379"|""|""|""|""|""|""
"04-3359500"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"576708"|"0.0854140000"|"0.0751690000"|"0.0747800000"|"0.0583270000"|"0.1896280000"|""|""|""|""|""|""
"04-3608094"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"576712"|"0.0511000000"|"0.0444000000"|"0.0408000000"|"0.0393000000"|"0.0643000000"|""|""|""|""|""|""
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"576714"|"0.0530910000"|"0.0575300000"|"0.0591670000"|"0.0604890000"|"0.0633580000"|""|""|""|""|""|""
"02-0312307"|"MARY A. SWEENEY HOME"|"582702"|"0.0681810000"|"0.0478010000"|"0.0463760000"|"0.0427230000"|"0.0481490000"|""|""|""|""|""|""
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"582704"|"0.0573870000"|"0.0595330000"|"0.0482300000"|"0.0457630000"|"0.0514100000"|""|""|""|""|""|""
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"583443"|"0.0483430000"|"0.0614360000"|"0.0498870000"|"0.0497310000"|"0.0495160000"|""|""|""|""|""|""
