"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"INVEST_INC_TAX"|"TAX_DUE"
"02-0560941"|"NAUGATUCK VALLEY MEDICAL SCHOLARSHIP FUND, INC"|"1255915"|"0.0000"|"0.0000"
"04-6397711"|"MAHONEY FOR ST PATRICK'S MANOR"|"1255941"|"3469.0000"|"2236.0000"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"1260882"|"15967.0000"|"15034.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"1260893"|"18088.0000"|""
"04-3493830"|"Santos Family Foundation"|"1260895"|"1554.0000"|""
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"1260897"|"8586.0000"|""
"01-0493311"|"FRANCIS T AND LOUISE T NICHOLS FOUNDATION"|"1260914"|"17191.0000"|"17191.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"1260915"|"57.0000"|""
"04-6907024"|"THOMAS M & NANCY H O'NEILL FOUNDATION"|"1260916"|"79.0000"|""
"04-3739441"|"THE PROVIDENT BANK FOUNDATION"|"1260962"|"28552.0000"|""
"04-3412829"|"THE POSS FAMILY FOUNDATION"|"1260990"|"7713.0000"|"171.0000"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"1260991"|"22046.0000"|""
"04-6015965"|"GRACE T. BLANCHARD TRUST U/W EASTERN BANK, TRUSTEE"|"1267175"|"52.0000"|"8.0000"
"01-0442078"|"MORTON-KELLY CHARITABLE TRUST"|"1267206"|"4707.0000"|""
"01-0483892"|"HANNAFORD CHARITABLE FOUNDATION"|"1267207"|"684.0000"|"184.0000"
"01-0496879"|"MARGARET E BURNHAM CHARITABLE TRUST"|"1267208"|"23709.0000"|"2945.0000"
"01-0504173"|"MARGARET & DONALD MATHESON SCHOL"|"1267209"|"479.0000"|"79.0000"
"01-0518429"|"ATLANTIC RESIDENTIAL RESOURCE"|"1267210"|"367.0000"|""
"01-0525593"|"DN"|"1267211"|"407.0000"|""
"01-0547392"|"Kennebunk Savings Bank Foundation"|"1267212"|"1834.0000"|"457.0000"
"01-0551686"|"JOE AND MISSY WALSH FAMILY FOUNDATION"|"1267213"|"585.0000"|""
"01-0553690"|"THURBER FAMILY FOUNDATION, INC."|"1267214"|"232.0000"|"72.0000"
"01-0617231"|"FORDNEY FOUNDATION"|"1267216"|"297.0000"|"297.0000"
"01-0620097"|"THE WARNER FOUNDATION"|"1267217"|"4319.0000"|""
"01-0643285"|"MWH CARING FOUNDATION, INC"|"1267219"|"0.0000"|"0.0000"
"01-0658759"|"AMERICA FIRST FOUNDATION"|"1267221"|"1391.0000"|""
"01-0671468"|"THE CLYDE WILLIAMS FOUNDATION"|"1267222"|"542.0000"|"550.0000"
"01-0676696"|"EVERETT TRUST FBO CAYUGA"|"1267223"|"171.0000"|""
"01-0693374"|"THE RONALD E. & ELEANOR J. HALL FOUNDATION"|"1267224"|"865.0000"|""
"01-0720431"|"CHERYL C & BLAIR EFFRON FAMILY FOUNDATION"|"1267225"|"1992.0000"|""
"01-0724780"|"Foundation For Hope"|"1267226"|"0.0000"|"0.0000"
"01-0772925"|"ASHNER FAMILY EVERGREEN FOUNDATION"|"1267228"|"3555.0000"|"1755.0000"
"01-0852305"|"KALT FAMILY FOUNDATION"|"1267229"|"374.0000"|""
"01-0936787"|"NARROW GATE FOUNDATION"|"1267231"|"87.0000"|"87.0000"
"01-6008575"|"Z A MERSEREAU TRUST U/W"|"1267232"|"647.0000"|"127.0000"
"01-6009246"|"DAVENPORT TRUST FUND"|"1267233"|"2312.0000"|""
"01-6010195"|"JOSEPH HOW CHARITABLE TRUST"|"1267234"|"1509.0000"|""
"01-6019476"|"ROSAMOND THAXTER FOUNDATION"|"1267236"|"1600.0000"|"448.0000"
"01-6028898"|"SUMNER O HANCOCK SCHOLARSHIP FUND"|"1267237"|"45.0000"|"0.0000"
"01-6048187"|"F ROGER MILLER TRUST"|"1267238"|"761.0000"|"312.0000"
"01-6070773"|"MUHS FLORENCE H IRREV TR"|"1267239"|"2603.0000"|"1122.0000"
"01-6115166"|"LOIS M. GAUTHEIR CHARITABLE TRUST"|"1267240"|"12.0000"|"12.0000"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|"1267242"|"238.0000"|""
