"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"DISTRIBUTABLE_AMOUNT"|"DIST_MIN_INVEST_RETURN"|"DIST_INVEST_INC_TAX"|"DIST_INC_TAX"|"DIST_INV_INC_TAX"|"DIST_BEFORE_ADJ"|"DIST_RECOV"|"DIST_BEFORE_ADJ_RECOV"|"DIST_DEDUCT"
"01-0721940"|"FRED J HARDER FOUNDATION"|"552781"|"127131.0000"|""|""|""|""|""|""|""|""
"01-6010161"|"WILLIAM FARWELL TRUST U/W 10 -101160026720"|"552782"|"67917.0000"|""|""|""|""|""|""|""|""
"02-0499456"|"SALEM COMMUNITY BENEFITS, INC."|"552788"|"7063.0000"|""|""|""|""|""|""|""|""
"02-6015152"|"ETTA M SHAW TR #3020002192"|"552790"|"129197.0000"|""|""|""|""|""|""|""|""
"02-6055400"|"ANNIE L ROWELL CHARITABLE REMAINDER TRUST 401451018"|"552791"|"251786.0000"|""|""|""|""|""|""|""|""
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"552792"|"911045.0000"|""|""|""|""|""|""|""|""
"02-6119238"|"LILLIAN PRENDERGAST IRREVOCABLE CHARITABLE TRUST 407260017"|"552793"|"64817.0000"|""|""|""|""|""|""|""|""
"04-2660275"|"Roberta M. Childs Charitable Foundation"|"552797"|"316717.0000"|""|""|""|""|""|""|""|""
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"552798"|"64119.0000"|""|""|""|""|""|""|""|""
"04-3353896"|"BANGOR SAVINGS BANK FOUNDATION"|"552800"|"191501.0000"|""|""|""|""|""|""|""|""
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"552801"|"123656.0000"|""|""|""|""|""|""|""|""
"04-3657039"|"RICHARD AND SCARLETT CHANG FAMILY FOUNDATION"|"552803"|"1377.0000"|""|""|""|""|""|""|""|""
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"552805"|"101115.0000"|""|""|""|""|""|""|""|""
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"552806"|"57083.0000"|""|""|""|""|""|""|""|""
"04-6731724"|"WARMAN SCHOLARSHIP FUND PFDN 10 -101160523040"|"552807"|"25345.0000"|""|""|""|""|""|""|""|""
"04-6385523"|"ELIZABETH KILLAM RODGERS TR U/W #0713941"|"555155"|"364861.0000"|""|""|""|""|""|""|""|""
"04-3190300"|"DR ANTON R FRIED MEMORIAL TRUST"|"555422"|"67031.0000"|""|""|""|""|""|""|""|""
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|"562833"|"17815.0000"|""|""|""|""|""|""|""|""
"01-6020236"|"BRACKETT WADE F & ISABEL"|"562839"|"148883.0000"|""|""|""|""|""|""|""|""
"01-6023401"|"MAYBURY IMOGENE U/W N PL"|"562842"|"141853.0000"|""|""|""|""|""|""|""|""
"02-0222133"|"Oliver JM Gilman Trust"|"562844"|"77526.0000"|""|""|""|""|""|""|""|""
"02-0406835"|"NASH FOUNDATION, INC."|"562847"|"30055.0000"|""|""|""|""|""|""|""|""
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"562853"|"38723.0000"|""|""|""|""|""|""|""|""
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"562859"|""|""|""|""|""|""|""|""|""
"04-2235130"|"THE HORACE SMITH FUND"|"562862"|"304810.0000"|""|""|""|""|""|""|""|""
"04-2598211"|"Gardinor-Prunaret Foundation"|"562864"|"280466.0000"|""|""|""|""|""|""|""|""
"04-3298628"|"CO-TTEE OF ROAF MEMORIAL FUND"|"562870"|"137825.0000"|""|""|""|""|""|""|""|""
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"562872"|"119743.0000"|""|""|""|""|""|""|""|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"562874"|"21589.0000"|""|""|""|""|""|""|""|""
"04-6095808"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"562878"|"32585.0000"|""|""|""|""|""|""|""|""
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"562880"|"36972.0000"|""|""|""|""|""|""|""|""
"04-6421513"|"PETSAS CHARIABLE TRUST UA"|"562882"|"32226.0000"|""|""|""|""|""|""|""|""
"01-6080221"|"GREENLAW VERA GRACE TR SC"|"567083"|"26455.0000"|""|""|""|""|""|""|""|""
"04-3547221"|"TALBOTS CHARITABLE FOUNDATION, INC."|"567826"|"9648.0000"|""|""|""|""|""|""|""|""
"04-2104681"|"Faith Home, Inc."|"573628"|"19508.0000"|""|""|""|""|""|""|""|""
"04-6072512"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"573629"|"89418.0000"|""|""|""|""|""|""|""|""
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"576691"|""|""|""|""|""|""|""|""|""
"02-0536250"|"THE MATTHEW J & ANNE B SMITH FOUNDATION INC"|"576693"|"219673.0000"|""|""|""|""|""|""|""|""
"02-6068307"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"576694"|"92944.0000"|""|""|""|""|""|""|""|""
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"576696"|"121683.0000"|""|""|""|""|""|""|""|""
"04-3359500"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"576708"|"53721.0000"|""|""|""|""|""|""|""|""
"04-3608094"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"576712"|"68505.0000"|""|""|""|""|""|""|""|""
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"576714"|"734101.0000"|""|""|""|""|""|""|""|""
"02-0312307"|"MARY A. SWEENEY HOME"|"582702"|""|""|""|""|""|""|""|""|""
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"582704"|"102321.0000"|""|""|""|""|""|""|""|""
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"583443"|"59371.0000"|""|""|""|""|""|""|""|""
"01-0351827"|"HELEN R COE TRUST"|"583842"|"89781.0000"|""|""|""|""|""|""|""|""
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"583843"|"105421.0000"|""|""|""|""|""|""|""|""
"02-6061834"|"ANDREWS MARIE B T/U/W"|"583844"|"71333.0000"|""|""|""|""|""|""|""|""
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"583845"|"90416.0000"|""|""|""|""|""|""|""|""
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"583846"|"27186.0000"|""|""|""|""|""|""|""|""
"04-6029538"|"SOPHIA F ROMERO T/U/W"|"583847"|"107945.0000"|""|""|""|""|""|""|""|""
"04-6460749"|"ELMER DELOURA FOR SCHOLARSHIPS"|"584493"|"199902.0000"|""|""|""|""|""|""|""|""
"04-6429961"|"BROWN EMMA S U/DECL 3/12/79"|"584880"|"286322.0000"|""|""|""|""|""|""|""|""
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"586094"|"34480.0000"|""|""|""|""|""|""|""|""
"01-6040690"|"MEANS ELIZABETH W"|"586710"|"33362.0000"|""|""|""|""|""|""|""|""
"03-6070999"|"HARRY WOLFF TRUST"|"586712"|"74214.0000"|""|""|""|""|""|""|""|""
"04-3222995"|"MILLER UA MOREY & HELEN SCHOOL"|"586714"|"149589.0000"|""|""|""|""|""|""|""|""
"04-6020389"|"L BIRD-EDWARD V BIRD TRUST"|"586715"|"226285.0000"|""|""|""|""|""|""|""|""
"03-0433603"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"586824"|"430223.0000"|""|""|""|""|""|""|""|""
"04-2104012"|"COBURN CHARITABLE SOCIETY, INC"|"586825"|"41686.0000"|""|""|""|""|""|""|""|""
