"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ADJUSTED_QUALIFYING_DISTRIBUTIONS"|"PAID_CHAR_ASSETS"|"CHAR_DIST_TEST"|"QUAL_DIST_XII"|"REDUCED_TAX_RATE"|"CHAR_SUIT_TEST"
"01-0721940"|"FRED J HARDER FOUNDATION"|"552781"|"120954.0000"|""|""|""|""|""
"01-6010161"|"WILLIAM FARWELL TRUST U/W 10 -101160026720"|"552782"|"58876.0000"|""|""|""|""|""
"02-0499456"|"SALEM COMMUNITY BENEFITS, INC."|"552788"|"12150.0000"|""|""|""|""|""
"02-6015152"|"ETTA M SHAW TR #3020002192"|"552790"|"124138.0000"|""|""|""|""|""
"02-6055400"|"ANNIE L ROWELL CHARITABLE REMAINDER TRUST 401451018"|"552791"|"313241.0000"|""|""|""|""|""
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"552792"|"1135074.0000"|""|""|""|""|""
"02-6119238"|"LILLIAN PRENDERGAST IRREVOCABLE CHARITABLE TRUST 407260017"|"552793"|"62650.0000"|""|""|""|""|""
"04-2660275"|"Roberta M. Childs Charitable Foundation"|"552797"|"335027.0000"|""|""|""|""|""
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"552798"|"66835.0000"|""|""|""|""|""
"04-3353896"|"BANGOR SAVINGS BANK FOUNDATION"|"552800"|"618793.0000"|""|""|""|""|""
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"552801"|"105091.0000"|""|""|""|""|""
"04-3657039"|"RICHARD AND SCARLETT CHANG FAMILY FOUNDATION"|"552803"|"49718.0000"|""|""|""|""|""
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"552805"|"95825.0000"|""|""|""|""|""
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"552806"|"50000.0000"|""|""|""|""|""
"04-6731724"|"WARMAN SCHOLARSHIP FUND PFDN 10 -101160523040"|"552807"|"24075.0000"|""|""|""|""|""
"04-6385523"|"ELIZABETH KILLAM RODGERS TR U/W #0713941"|"555155"|"162163.0000"|""|""|""|""|""
"04-3190300"|"DR ANTON R FRIED MEMORIAL TRUST"|"555422"|"92157.0000"|""|""|""|""|""
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|"562833"|"157741.0000"|""|""|""|""|""
"01-6020236"|"BRACKETT WADE F & ISABEL"|"562839"|"101461.0000"|""|""|""|""|""
"01-6023401"|"MAYBURY IMOGENE U/W N PL"|"562842"|"101290.0000"|""|""|""|""|""
"02-0222133"|"Oliver JM Gilman Trust"|"562844"|"70140.0000"|""|""|""|""|""
"02-0406835"|"NASH FOUNDATION, INC."|"562847"|"26095.0000"|""|""|""|""|""
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"562853"|"28746.0000"|""|""|""|""|""
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"562859"|"966592.0000"|""|""|""|""|""
"04-2235130"|"THE HORACE SMITH FUND"|"562862"|"331932.0000"|""|""|""|""|""
"04-2598211"|"Gardinor-Prunaret Foundation"|"562864"|"226450.0000"|""|""|""|""|""
"04-3298628"|"CO-TTEE OF ROAF MEMORIAL FUND"|"562870"|"156527.0000"|""|""|""|""|""
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"562872"|"120734.0000"|""|""|""|""|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"562874"|"142135.0000"|""|""|""|""|""
"04-6095808"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"562878"|"32198.0000"|""|""|""|""|""
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"562880"|"38516.0000"|""|""|""|""|""
"04-6421513"|"PETSAS CHARIABLE TRUST UA"|"562882"|"31242.0000"|""|""|""|""|""
"01-6080221"|"GREENLAW VERA GRACE TR SC"|"567083"|"20657.0000"|""|""|""|""|""
"04-3547221"|"TALBOTS CHARITABLE FOUNDATION, INC."|"567826"|"240394.0000"|""|""|""|""|""
"04-2104681"|"Faith Home, Inc."|"573628"|"33308.0000"|""|""|""|""|""
"04-6072512"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"573629"|"104724.0000"|""|""|""|""|""
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"576691"|"184353.0000"|""|""|""|""|""
"02-0536250"|"THE MATTHEW J & ANNE B SMITH FOUNDATION INC"|"576693"|"130560.0000"|""|""|""|""|""
"02-6068307"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"576694"|"86893.0000"|""|""|""|""|""
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"576696"|"119831.0000"|""|""|""|""|""
"04-3359500"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"576708"|"137456.0000"|""|""|""|""|""
"04-3608094"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"576712"|"110800.0000"|""|""|""|""|""
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"576714"|"813017.0000"|""|""|""|""|""
"02-0312307"|"MARY A. SWEENEY HOME"|"582702"|"273804.0000"|""|""|""|""|""
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"582704"|"88334.0000"|""|""|""|""|""
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"583443"|"63635.0000"|""|""|""|""|""
"01-0351827"|"HELEN R COE TRUST"|"583842"|"84139.0000"|""|""|""|""|""
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"583843"|"110101.0000"|""|""|""|""|""
"02-6061834"|"ANDREWS MARIE B T/U/W"|"583844"|"71926.0000"|""|""|""|""|""
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"583845"|"136568.0000"|""|""|""|""|""
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"583846"|"27728.0000"|""|""|""|""|""
"04-6029538"|"SOPHIA F ROMERO T/U/W"|"583847"|"93379.0000"|""|""|""|""|""
"04-6460749"|"ELMER DELOURA FOR SCHOLARSHIPS"|"584493"|"196429.0000"|""|""|""|""|""
"04-6429961"|"BROWN EMMA S U/DECL 3/12/79"|"584880"|"294542.0000"|""|""|""|""|""
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"586094"|"36319.0000"|""|""|""|""|""
"01-6040690"|"MEANS ELIZABETH W"|"586710"|"61122.0000"|""|""|""|""|""
"03-6070999"|"HARRY WOLFF TRUST"|"586712"|"69766.0000"|""|""|""|""|""
"04-3222995"|"MILLER UA MOREY & HELEN SCHOOL"|"586714"|"130128.0000"|""|""|""|""|""
"04-6020389"|"L BIRD-EDWARD V BIRD TRUST"|"586715"|"231349.0000"|""|""|""|""|""
"03-0433603"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"586824"|"417973.0000"|""|""|""|""|""
"04-2104012"|"COBURN CHARITABLE SOCIETY, INC"|"586825"|"85671.0000"|""|""|""|""|""
"04-2103755"|"CHARLESBANK HOMES"|"588012"|"960474.0000"|""|""|""|""|""
"04-2743143"|"THE VANDERBILT FAMILY FOUNDATION"|"588013"|"236284.0000"|""|""|""|""|""
"04-6020266"|"E. P. BINNEY CHARITABLE FND"|"588014"|"486693.0000"|""|""|""|""|""
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"588015"|"105000.0000"|""|""|""|""|""
"01-0705471"|"THE NORWOOD FOUNDATION"|"588413"|"629828.0000"|""|""|""|""|""
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"588415"|"19132.0000"|""|""|""|""|""
"04-2104291"|"Humane Society of the Communwalth of MA"|"588417"|"166475.0000"|""|""|""|""|""
"04-6420685"|"CONSTANCE KILLAM TRUST U/W #0714865"|"588418"|"882973.0000"|""|""|""|""|""
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"589195"|"64441.0000"|""|""|""|""|""
"01-6080947"|"WILLIAM C. BULLOCK, JR FAMILY FOUNDATION"|"589196"|"37061.0000"|""|""|""|""|""
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"589197"|"163128.0000"|""|""|""|""|""
"01-0514859"|"THE OLD BUG LIGHT CHARITABLE FOUNDATION"|"590191"|"1226817.0000"|""|""|""|""|""
"01-0637863"|"MYRA & JEAN KENT ANGUS FOUNDATION"|"590192"|"146405.0000"|""|""|""|""|""
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"590198"|"133464.0000"|""|""|""|""|""
"04-6382377"|"Mary Elizabeth Pearce Foundation Tr."|"590199"|"549600.0000"|""|""|""|""|""
"01-6027394"|"KENNEDY, MARGARET SCSHIP TRUST"|"590733"|"17791.0000"|""|""|""|""|""
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"605546"|"20276.0000"|""|""|""|""|""
"02-6004800"|"ARTHUR H BRITTON TR U/W 360097018"|"605547"|"96928.0000"|""|""|""|""|""
"04-2103910"|"BOSTON CENTER FOR BLIND CHILDREN INC"|"605548"|"170062.0000"|""|""|""|""|""
"01-0523143"|"OXFORD HILLS SCHOLARSHIP FOUNDATION 686792011"|"607597"|"223114.0000"|""|""|""|""|""
"02-0534424"|"THE MICHAEL & HELEN SCHAFFER FOUNDATION"|"607598"|"886701.0000"|""|""|""|""|""
"02-6012645"|"DEERING FOUNDATION, INC."|"607599"|"28000.0000"|""|""|""|""|""
"02-6058742"|"BENJAMIN S COHEN TRUST U/W 361722010"|"607600"|"73440.0000"|""|""|""|""|""
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"607602"|"53021.0000"|""|""|""|""|""
"04-2714929"|"WILLIAM HAROLD FRANCIS AUSTIN TRUST U/W EASTERN BANK, TRUSTEE"|"607603"|"60480.0000"|""|""|""|""|""
"04-3371560"|"JOHN A. MCNEICE, JR. CHARITABLE FOUNDATION"|"607605"|"279162.0000"|""|""|""|""|""
"04-3417222"|"ARCHIBALD FAMILY FOUNDATION"|"607606"|"156727.0000"|""|""|""|""|""
"04-3663738"|"DONALD D. ROGERS FOUNDATION INC."|"607607"|"28508.0000"|""|""|""|""|""
"04-6049261"|"THE JEFFE FOUNDATION"|"607609"|"292248.0000"|""|""|""|""|""
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"607611"|"34458.0000"|""|""|""|""|""
"04-6111827"|"TR UW G GORHAM PETERS 7567 7552007373"|"607612"|"755000.0000"|""|""|""|""|""
"04-6555836"|"MANUEL, VIOLA G. TRUST 42C081017"|"607613"|"20709.0000"|""|""|""|""|""
"04-6864140"|"CATHERINE HAWKINS FOUNDATION T PECKHAM, ESQ & E TAYLOR, TTEES"|"607615"|"261501.0000"|""|""|""|""|""
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOFSKA, TRUSTEES"|"607616"|"149731.0000"|""|""|""|""|""
"01-6007504"|"JOHN W MANSON TRUST"|"609898"|"67110.0000"|""|""|""|""|""
"04-6838152"|"ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION"|"609900"|"531500.0000"|""|""|""|""|""
"01-0469155"|"JOHN SAGE FOUNDATION"|"611079"|"25918.0000"|""|""|""|""|""
"01-6007180"|"JOHN ANSON KITTRIDGE EDUCATIONAL FUND TRUST U/A 10-101230022680"|"611080"|"116695.0000"|""|""|""|""|""
"01-6008389"|"SHAW'S SUPERMARKETS CHAR FOUNDATION"|"611081"|"215112.0000"|""|""|""|""|""
"02-6004792"|"TRUST U/W HERBERT G ABBOT 360090013"|"611085"|"74665.0000"|""|""|""|""|""
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"611086"|"67328.0000"|""|""|""|""|""
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION INC"|"611088"|"848652.0000"|""|""|""|""|""
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON, INC."|"611089"|"420927.0000"|""|""|""|""|""
"04-2121771"|"Newburyport Society for the Relief of Aged Women, Inc."|"611090"|"168111.0000"|""|""|""|""|""
"04-2399760"|"THE TJX FOUNDATION, INC."|"611091"|"7304696.0000"|""|""|""|""|""
