"C_EIN"|"C_Org_Name"|"approved_grant_id"|"XML_DOCUMENT_ID"|"ORGNAME"|"CITY"|"STATE"|"COUNTRY"|"AMOUNT"
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"103301"|"582704"|"HOSPICE FOUNDATION OF CAPE COD INC"|""|""|"USA"|"30696.0000"
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"103302"|"582704"|"ST. PETER'S LUTHERAN CHURCH"|""|""|"USA"|"10232.0000"
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"103303"|"582704"|"THE HEALTH CARE FOUNDATION OF CAPE COD INC"|""|""|"USA"|"30696.0000"
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"103304"|"582704"|"THE HEALTH CARE FOUNDATION OF CAPE COD INC"|""|""|"USA"|"30696.0000"
"04-3292646"|"Information Research Foundation"|"107489"|"611093"|"Bio-imaging research"|""|""|"USA"|"20000.0000"
"02-6008379"|"THE GREENSPAN FOUNDATION"|"108347"|"613606"|"ELLIOT HOSPITAL"|"MANCHESTER"|"NH"|"USA"|"20000.0000"
"02-6008379"|"THE GREENSPAN FOUNDATION"|"108348"|"613606"|"MARY & JOHN ELLIOT CHARITABLE FOUNDATION"|"MANCHESTER"|"NH"|"USA"|"13500.0000"
"04-3466878"|"RCB CHARITABLE FOUNDATION, INC."|"108349"|"613610"|"MISSION OF DEEDS"|""|""|"USA"|"20000.0000"
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"109723"|"631639"|"CHILDREN'S HOSPITAL"|"BOSTON"|"MA"|"USA"|"28492.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION MARVIN SPARROW TRUSTEE"|"109724"|"631649"|"BETH ISRAEL DEACONESS MEDICAL CENTER"|"BOSTON"|"MA"|"USA"|"10000.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION MARVIN SPARROW TRUSTEE"|"109725"|"631649"|"BOSTON PUBLIC LIBRARY"|"BOSTON"|"MA"|"USA"|"25000.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION MARVIN SPARROW TRUSTEE"|"109726"|"631649"|"BRAZELTON TOUCHPOINT PROJECT INC"|"BOSTON"|"MA"|"USA"|"65000.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION MARVIN SPARROW TRUSTEE"|"109727"|"631649"|"BRAZELTON TOUCHPOINT PROJECT INC"|"BOSTON"|"MA"|"USA"|"150000.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION MARVIN SPARROW TRUSTEE"|"109728"|"631649"|"GREATER BOSTON LEGAL SERVICES"|"BOSTON"|"MA"|"USA"|"75000.0000"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"111665"|"646420"|"MERRIMACK VALLEY HOSPICE"|"LAWRENCE"|"MA"|"USA"|"25000.0000"
"04-1611615"|"MEMORIAL FOUNDATION FOR THE BLIND INC"|"113611"|"647227"|"AUDIO JOURNAL"|"WORCESTER"|"MA"|"USA"|"90000.0000"
"04-1611615"|"MEMORIAL FOUNDATION FOR THE BLIND INC"|"113612"|"647227"|"MAB COMMUNITY SERVICES"|"WORCESTER"|"MA"|"USA"|"105000.0000"
"04-3021374"|"THE SAMUEL HUNTINGTON FUND, INC"|"121168"|"655105"|"Archa Cisse"|"Brooklyn"|"NY"|"USA"|"5000.0000"
"04-3021374"|"THE SAMUEL HUNTINGTON FUND, INC"|"121169"|"655105"|"Cory Rodger"|"Somerset"|"PA"|"USA"|"5000.0000"
"04-3021374"|"THE SAMUEL HUNTINGTON FUND, INC"|"121170"|"655105"|"Kelsey Tackett"|"Franklin"|"TN"|"USA"|"5000.0000"
"04-6056778"|"North Attleboro Scholarship Foundation"|"121171"|"655114"|"Emily Davis"|"N Attleboro"|"MA"|"USA"|"5000.0000"
"04-6056778"|"North Attleboro Scholarship Foundation"|"121172"|"655114"|"Daniel Johnson"|"N Attleboro"|"MA"|"USA"|"5000.0000"
"04-6056778"|"North Attleboro Scholarship Foundation"|"121173"|"655114"|"Ian McDonald"|"N Attleboro"|"MA"|"USA"|"5000.0000"
"04-6056778"|"North Attleboro Scholarship Foundation"|"121174"|"655114"|"Emily Tierney"|"N Attleboro"|"MA"|"USA"|"5000.0000"
"04-6056778"|"North Attleboro Scholarship Foundation"|"121175"|"655114"|"Frank Cai"|"N Attleboro"|"MA"|"USA"|"10400.0000"
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"121176"|"655120"|"I H SCHWARTZ REHABILITATION CENTER"|"DARTMOUTH"|"MA"|"USA"|"226000.0000"
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"121177"|"655120"|"LIVE IT LEARN IT"|"WASHINGTON"|"DC"|"USA"|"25000.0000"
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURYPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"127994"|"690924"|"NEWBURYPORT EDUCATION FOUNDATION"|"NEWBURYPORT"|"MA"|"USA"|"50000.0000"
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURYPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"127995"|"690924"|"AMESBURY SENIOR CENTER"|"AMESBURY"|"MA"|"USA"|"10000.0000"
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURYPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"127996"|"690924"|"ANNA JAQUES HOSPITAL ANNUAL FUND"|"NEWBURYPORT"|"MA"|"USA"|"200000.0000"
