USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
AL	0101	15713026281	2275882448	    6066.834	     878.723	 31.002052	 -87.787972                                                                                                                         
AL	0102	26266692521	306846884	   10141.627	     118.474	 31.702085	 -86.076842                                                                                                                          
AL	0103	19538947327	470563663	    7544.030	     181.686	 33.150564	 -85.700228                                                                                                                          
AL	0104	23022866978	572885003	    8889.179	     221.192	 34.118180	 -87.213808                                                                                                                          
AL	0105	9524262561	461158047	    3677.338	     178.054	 34.755074	 -86.710163                                                                                                                           
AL	0106	10803479813	176071775	    4171.247	      67.982	 33.260212	 -86.713427                                                                                                                          
AL	0107	26304093951	330576867	   10156.068	     127.636	 32.449235	 -87.640501                                                                                                                          
AK	0200	1477946338495	245391672906	  570638.296	   94746.259	 63.346191	-152.837069                                                                                                                     
AZ	0401	142550296795	354326243	   55038.980	     136.806	 34.971013	-110.725925                                                                                                                         
AZ	0402	20300724551	138380234	    7838.154	      53.429	 31.916618	-109.938728                                                                                                                          
AZ	0403	40633375850	8411271	   15688.635	       3.248	 32.423816	-112.402590                                                                                                                            
AZ	0404	85986138620	503963005	   33199.435	     194.581	 34.590918	-113.204528                                                                                                                          
AZ	0405	760241568	2272683	     293.531	       0.877	 33.339708	-111.712452                                                                                                                              
AZ	0406	1618585153	10779717	     624.939	       4.162	 33.665518	-111.888589                                                                                                                            
AZ	0407	530617544	1645136	     204.873	       0.635	 33.427819	-112.118768                                                                                                                              
AZ	0408	1398012598	4391235	     539.776	       1.695	 33.695581	-112.299574                                                                                                                             
AZ	0409	426482311	3389600	     164.666	       1.309	 33.406007	-111.949996                                                                                                                              
AR	0501	50035024220	1235265144	   19318.632	     476.939	 35.293909	 -91.258306                                                                                                                         
AR	0502	12894843907	303337813	    4978.727	     117.119	 35.099526	 -92.379265                                                                                                                          
AR	0503	13983476340	375017958	    5399.051	     144.795	 36.138288	 -94.062449                                                                                                                          
AR	0504	57855934634	1048904358	   22338.302	     404.984	 34.224191	 -93.221121                                                                                                                         
CA	0601	72745820349	1947859056	   28087.319	     752.073	 40.731988	-121.510516                                                                                                                         
CA	0602	33546458437	4122538872	   12952.361	    1591.721	 40.094059	-123.464974                                                                                                                         
CA	0603	16016009350	456718941	    6183.816	     176.340	 39.031952	-122.089573                                                                                                                          
CA	0604	33247296220	858147109	   12836.853	     331.332	 37.982452	-119.927973                                                                                                                          
CA	0605	4482867913	318962871	    1730.845	     123.152	 38.515806	-122.462559                                                                                                                           
CA	0606	453510665	11103487	     175.101	       4.287	 38.594033	-121.479768                                                                                                                             
CA	0607	1421426289	13615373	     548.816	       5.257	 38.479477	-121.215371                                                                                                                            
CA	0608	85126210480	450307265	   32867.415	     173.865	 35.662557	-116.819546                                                                                                                          
CA	0609	3242797049	136796396	    1252.051	      52.817	 38.010873	-121.307147                                                                                                                           
CA	0610	4710544130	59087113	    1818.751	      22.814	 37.586366	-121.054083                                                                                                                            
CA	0611	1278249894	92424585	     493.535	      35.685	 37.903869	-122.000933                                                                                                                            
CA	0612	101086657	211580326	      39.030	      81.692	 37.785514	-122.434000                                                                                                                            
CA	0613	250595885	127431128	      96.756	      49.201	 37.778962	-122.239248                                                                                                                            
CA	0614	672277732	827548174	     259.568	     319.518	 37.574676	-122.494794                                                                                                                            
CA	0615	1552875750	69374049	     599.569	      26.785	 37.657136	-121.836245                                                                                                                            
CA	0616	7354278768	118616551	    2839.503	      45.798	 37.108653	-120.518867                                                                                                                           
CA	0617	477488962	24431172	     184.360	       9.433	 37.441028	-121.966578                                                                                                                             
CA	0618	1803034371	329896892	     696.155	     127.374	 37.202132	-122.153712                                                                                                                           
CA	0619	2372242343	15213802	     915.928	       5.874	 37.216236	-121.529023                                                                                                                            
CA	0620	12624185548	1574913163	    4874.225	     608.077	 36.373286	-121.275218                                                                                                                         
CA	0621	17430392398	35944103	    6729.912	      13.878	 36.086714	-119.851500                                                                                                                           
CA	0622	3017827354	9715410	    1165.190	       3.751	 36.476861	-119.389551                                                                                                                             
CA	0623	25636042190	100586550	    9898.132	      38.837	 35.610684	-118.539057                                                                                                                          
CA	0624	17832799687	3683662579	    6885.283	    1422.270	 34.919633	-120.112845                                                                                                                         
CA	0625	4378760030	30951865	    1690.649	      11.951	 34.588060	-118.280269                                                                                                                            
CA	0626	2432374538	807090323	     939.145	     311.619	 34.167023	-119.129955                                                                                                                           
CA	0627	1812793199	7559686	     699.923	       2.919	 34.265083	-117.934887                                                                                                                             
CA	0628	565796998	2415551	     218.455	       0.933	 34.250058	-118.291452                                                                                                                              
CA	0629	238367009	1621911	      92.034	       0.626	 34.266695	-118.430313                                                                                                                              
CA	0630	352103956	5012017	     135.948	       1.935	 34.201873	-118.546956                                                                                                                              
CA	0631	565007001	6412076	     218.150	       2.476	 34.109675	-117.353329                                                                                                                              
CA	0632	321774529	5320498	     124.238	       2.054	 34.089564	-117.914142                                                                                                                              
CA	0633	747448594	489617624	     288.592	     189.042	 34.047000	-118.783135                                                                                                                            
CA	0634	123458364	784655	      47.668	       0.303	 34.074655	-118.228269                                                                                                                               
CA	0635	437439791	309741	     168.896	       0.120	 34.044570	-117.583212                                                                                                                               
CA	0636	15313284807	201938200	    5912.493	      77.969	 33.730013	-115.739337                                                                                                                          
CA	0637	143131706	351787	      55.263	       0.136	 34.016897	-118.371764                                                                                                                               
CA	0638	262667699	3822532	     101.417	       1.476	 33.939479	-118.062604                                                                                                                              
CA	0639	529385490	3117073	     204.397	       1.204	 33.940378	-117.834936                                                                                                                              
CA	0640	149406790	1743217	      57.686	       0.673	 33.969867	-118.179207                                                                                                                              
CA	0641	819873792	4240410	     316.555	       1.637	 33.918075	-117.297420                                                                                                                              
CA	0642	2424227185	44673127	     935.999	      17.248	 33.679953	-117.227523                                                                                                                            
CA	0643	186580212	555896	      72.039	       0.215	 33.903110	-118.336303                                                                                                                               
CA	0644	205536404	66883685	      79.358	      25.824	 33.818750	-118.250983                                                                                                                             
CA	0645	855913031	5327953	     330.470	       2.057	 33.714258	-117.668355                                                                                                                              
CA	0646	185673009	2402661	      71.689	       0.928	 33.790804	-117.896363                                                                                                                              
CA	0647	560002790	1176469688	     216.218	     454.238	 33.367336	-118.480709                                                                                                                           
CA	0648	377328407	282589732	     145.687	     109.109	 33.622910	-117.905096                                                                                                                            
CA	0649	1432623041	512378639	     553.139	     197.831	 33.314786	-117.379519                                                                                                                           
CA	0650	7219205047	43666727	    2787.351	      16.860	 33.113548	-116.622590                                                                                                                            
CA	0651	12410188755	870584665	    4791.601	     336.135	 32.996249	-115.525421                                                                                                                          
CA	0652	691527661	296833864	     267.000	     114.608	 32.857173	-117.165337                                                                                                                            
CA	0653	350757638	6842137	     135.428	       2.642	 32.718314	-117.031482                                                                                                                              
CO	0801	491987823	7057884	     189.958	       2.725	 39.732286	-104.908758                                                                                                                              
